PARTNER,ADDRNUMBER,XDFADR
0003001171,0000501171,X
0003001172,0000501172,X
0003001173,0000501173,X
0003001174,0000501174,X
0003001175,0000501175,X
0003001176,0000501176,X
0003001177,0000501177,X
0003001178,0000501178,X
0003001179,0000501179,X
0003001180,0000501180,X
0003001181,0000501181,X
0003001182,0000501182,X
0003001183,0000501183,X
0003001184,0000501184,X
0003001185,0000501185,X
0003001186,0000501186,X
0003001187,0000501187,X
0003001188,0000501188,X
0003001189,0000501189,X
0003001190,0000501190,X
0003001191,0000501191,X
0003001192,0000501192,X
0003001193,0000501193,X
0003001194,0000501194,X
0003001195,0000501195,X
0003001196,0000501196,X
0003001197,0000501197,X
0003001198,0000501198,X
0003001199,0000501199,X
0003001200,0000501200,X
0003001201,0000501201,X
0003001202,0000501202,X
0003001203,0000501203,X
0003001204,0000501204,X
0003001205,0000501205,X
0003001206,0000501206,X
0003001207,0000501207,X
0003001209,0000501209,X
0003001210,0000501210,X
0003001211,0000501211,X
0003001212,0000501212,X
0003001213,0000501213,X
0003001214,0000501214,X
0003001215,0000501215,X
0003001216,0000501216,X
0003001217,0000501217,X
0003001218,0000501218,X
0003001219,0000501219,X
0003001220,0000501220,X
0003001221,0000501221,X
0003001222,0000501222,X
0003001223,0000501223,X
0003001224,0000501224,X
0003001225,0000501225,X
0003001226,0000501226,X
0003001227,0000501227,X
0003001228,0000501228,X
0003001229,0000501229,X
0003001230,0000501230,X
0003001231,0000501231,X
0003001232,0000501232,X
0003001233,0000501233,X
0003001234,0000501234,X
0003001235,0000501235,X
0003001236,0000501236,X
0003001237,0000501237,X
0003001238,0000501238,X
0003001239,0000501239,X
0003001240,0000501240,X
0003001241,0000501241,X
0003001242,0000501242,X
0003001243,0000501243,X
0003001244,0000501244,X
0003001246,0000501246,X
0003001247,0000501247,X
0003001248,0000501248,X
0003001249,0000501249,X
0003001250,0000501250,X
0003001251,0000501251,X
0003001252,0000501252,X
0003001253,0000501253,X
0003001254,0000501254,X
0003001255,0000501255,X
0003001256,0000501256,X
0003001257,0000501257,X
0003001258,0000501258,X
0003001259,0000501259,X
0003001260,0000501260,X
0003001261,0000501261,X
0003001262,0000501262,X
0003001263,0000501263,X
0003001264,0000501264,X
0003001265,0000501265,X
0003001266,0000501266,X
0003001267,0000501267,X
0003001268,0000501268,X
0003001269,0000501269,X
0003001270,0000501270,X
0003001271,0000501271,X
0003001272,0000501272,X
0003001273,0000501273,X
0003001274,0000501274,X
0003001275,0000501275,X
0003001276,0000501276,X
0003001277,0000501277,X
0003001278,0000501278,X
0003001279,0000501279,X
0003001280,0000501280,X
0003001281,0000501281,X
0003001282,0000501282,X
0003001283,0000501283,X
0003001284,0000501284,X
0003001285,0000501285,X
0003001286,0000501286,X
0003001287,0000501287,X
0003001288,0000501288,X
0003001289,0000501289,X
0003001290,0000501290,X
0003001291,0000501291,X
0003001292,0009999999,X
0003001293,0000501293,X
0003001294,0000501294,X
0003001295,0000501295,X
0003001296,0000501296,X
0003001297,0000501297,X
0003001298,0000501298,X
0003001299,0000501299,X
0003001300,0000501300,X
0003001301,0000501301,X
0003001302,0000501302,X
0003001303,0000501303,X
0003001304,0000501304,X
0003001305,0000501305,X
0003001306,0000501306,X
0003001307,0000501307,X
0003001308,0000501308,X
0003001309,0000501309,X
0003001310,0000501310,X
0003001311,0000501311,X
0003001312,0000501312,X
0003001313,0000501313,X
0003001314,0000501314,X
0003001315,0000501315,X
0003001316,0000501316,X
0003001317,0000501317,X
0003001318,0000501318,X
0003001319,0000501319,X
0003001320,0000501320,X
0003001321,0000501321,X
0003001322,0000501322,X
0003001323,0000501323,X
0003001324,0000501324,X
0003001325,0000501325,X
0003001326,0000501326,X
0003001327,0000501327,X
0003001328,0000501328,X
0003001329,0000501329,X
0003001330,0000501330,X
0003001331,0000501331,X
0003001332,0000501332,X
0003001334,0000501334,X
0003001335,0000501335,X
0003001336,0000501336,X
0003001337,0000501337,X
0003001338,0000501338,X
0003001339,0000501339,X
0003001340,0000501340,X
0003001341,0000501341,X
0003001342,0000501342,X
0003001343,0000501343,X
0003001344,0000501344,X
0003001345,0000501345,X
0003001346,0000501346,X
0003001347,0000501347,X
0003001349,0000501349,X
0003001350,0000501350,X
0003001351,0000501351,X
0003001352,0000501352,X
0003001353,0000501353,X
0003001354,0000501354,X
0003001355,0000501355,X
0003001356,0000501356,X
0003001357,0000501357,X
0003001358,0000501358,X
0003001359,0000501359,X
0003001360,0000501360,X
0003001361,0000501361,X
0003001362,0000501362,X
0003001363,0000501363,X
0003001364,0000501364,X
0003001365,0000501365,X
0003001366,0000501366,X
0003001367,0000501367,X
0003001368,0000501368,X
0003001369,0000501369,X
0003001370,0000501370,X
0003001371,0000501371,X
0003001372,0000501372,X
0003001373,0000501373,X
0003001374,0000501374,X
0003001375,0000501375,X
0003001376,0000501376,X
0003001377,0000501377,X
0003001378,0000501378,X
0003001379,0000501379,X
0003001380,0000501380,X
0003001381,0000501381,X
0003001382,0000501382,X
0003001383,0000501383,X
0003001384,0000501384,X
0003001385,0000501385,X
0003001386,0000501386,X
0003001387,0000501387,X
0003001388,0000501388,X
0003001389,0000501389,X
0003001390,0000501390,X
0003001392,0000501392,X
0003001393,0000501393,X
0003001394,0000501394,X
0003001395,0000501395,X
0003001396,0000501396,X
0003001397,0000501397,X
0003001398,0000501398,X
0003001399,0000501399,X
0003001400,0000501400,X
0003001401,0000501401,X
0003001402,0000501402,X
0003001403,0000501403,X
0003001404,0000501404,X
0003001405,0000501405,X
0003001406,0000501406,X
0003001407,0000501407,X
0003001408,0000501408,X
0003001409,0000501409,X
0003001410,0000501410,X
0003001411,0000501411,X
0003001412,0000501412,X
0003001413,0000501413,X
0003001414,0000501414,X
0003001415,0000501415,X
0003001416,0000501416,X
0003001417,0000501417,X
0003001418,0000501418,X
0003001419,0000501419,X
0003001420,0000501420,X
0003001421,0000501421,X
0003001422,0000501422,X
0003001423,0000501423,X
0003001424,0000501424,X
0003001425,0000501425,X
0003001426,0000501426,X
0003001427,0000501427,X
0003001428,0000501428,X
0003001429,0000501429,X
0003001430,0000501430,X
0003001431,0000501431,X
0003001432,0000501432,X
0003001433,0000501433,X
0003001434,0000501434,X
0003001435,0000501435,X
0003001436,0000501436,X
0003001437,0000501437,X
0003001438,0000501438,X
0003001439,0000501439,X
0003001440,0000501440,X
0003001441,0000501441,X
0003001442,0000501442,X
0003001443,0000501443,X
0003001444,0000501444,X
0003001445,0000501445,X
0003001446,0000501446,X
0003001447,0000501447,X
0003001448,0000501448,X
0003001449,0000501449,X
0003001450,0000501450,X
0003001451,0000501451,X
0003001452,0000501452,X
0003001453,0000501453,X
0003001454,0000501454,X
0003001455,0000501455,X
0003001456,0000501456,X
0003001457,0000501457,X
0003001458,0000501458,X
0003001459,0000501459,X
0003001460,0000501460,X
0003001461,0000501461,X
0003001462,0000501462,X
0003001463,0000501463,X
0003001464,0000501464,X
0003001465,0000501465,X
0003001466,0000501466,X
0003001467,0000501467,X
0003001468,0000501468,X
0003001469,0000501469,X
0003001470,0000501470,X
0003001471,0000501471,X
0003001472,0000501472,X
0003001473,0000501473,X
0003001474,0000501474,X
0003001475,0000501475,X
0003001476,0000501476,X
0003001477,0000501477,X
0003001478,0000501478,X
0003001479,0000501479,X
0003001480,0000501480,X
0003001481,0000501481,X
0003001482,0000501482,X
0003001483,0000501483,X
0003001484,0000501484,X
0003001485,0000501485,X
0003001486,0000501486,X
0003001487,0000501487,X
0003001488,0000501488,X
0003001489,0000501489,X
0003001490,0000501490,X
0003001491,0000501491,X
0003001492,0000501492,X
0003001493,0000501493,X
0003001494,0000501494,X
0003001495,0000501495,X
0003001496,0000501496,X
0003001497,0000501497,X
0003001498,0000501498,X
0003001499,0000501499,X
0003001500,0000501500,X
0003001501,0000501501,X
0003001502,0000501502,X
0003001503,0000501503,X
0003001504,0000501504,X
0003001505,0000501505,X
0003001506,0000501506,X
0003001507,0000501507,X
0003001508,0000501508,X
0003001509,0000501509,X
0003001510,0000501510,X
0003001511,0000501511,X
0003001512,0000501512,X
0003001513,0000501513,X
0003001514,0000501514,X
0003001515,0000501515,X
0003001516,0000501516,X
0003001517,0009999999,X
0003001518,0000501518,X
0003001519,0000501519,X
0003001520,0000501520,X
0003001521,0000501521,X
0003001522,0000501522,X
0003001523,0000501523,X
0003001524,0000501524,X
0003001525,0000501525,X
0003001526,0000501526,X
0003001527,0000501527,X
0003001528,0000501528,X
0003001529,0000501529,X
0003001530,0000501530,X
0003001531,0000501531,X
0003001532,0000501532,X
0003001533,0000501533,X
0003001534,0000501534,X
0003001535,0000501535,X
0003001536,0000501536,X
0003001537,0000501537,X
0003001538,0000501538,X
0003001539,0000501539,X
0003001540,0000501540,X
0003001541,0000501541,X
0003001542,0000501542,X
0003001543,0000501543,X
0003001544,0000501544,X
0003001545,0000501545,X
0003001546,0000501546,X
0003001547,0000501547,X
0003001548,0000501548,X
0003001549,0000501549,X
0003001550,0000501550,X
0003001551,0000501551,X
0003001552,0000501552,X
0003001553,0000501553,X
0003001554,0000501554,X
0003001555,0000501555,X
0003001556,0000501556,X
0003001557,0000501557,X
0003001558,0000501558,X
0003001559,0000501559,X
0003001560,0000501560,X
0003001561,0009999999,X
0003001562,0000501562,X
0003001563,0000501563,X
0003001564,0000501564,X
0003001565,0000501565,X
0003001566,0000501566,X
0003001567,0000501567,X
0003001568,0000501568,X
0003001569,0000501569,X
0003001570,0000501570,X
0003001571,0000501571,X
0003001572,0000501572,X
0003001573,0000501573,X
0003001574,0000501574,X
0003001575,0000501575,X
0003001576,0000501576,X
0003001577,0000501577,X
0003001578,0000501578,X
0003001579,0000501579,X
0003001580,0000501580,X
0003001581,0000501581,X
0003001582,0000501582,X
0003001583,0000501583,X
0003001584,0000501584,X
0003001585,0000501585,X
0003001586,0000501586,X
0003001587,0000501587,X
0003001588,0000501588,X
0003001589,0000501589,X
0003001590,0000501590,X
0003001591,0000501591,X
0003001592,0000501592,X
0003001593,0000501593,X
0003001594,0000501594,X
0003001595,0000501595,X
0003001596,0000501596,X
0003001597,0000501597,X
0003001598,0000501598,X
0003001599,0000501599,X
0003001600,0009999999,X
0003001601,0000501601,X
0003001602,0000501602,X
0003001603,0000501603,X
0003001604,0000501604,X
0003001605,0000501605,X
0003001606,0000501606,X
0003001607,0000501607,X
0003001608,0000501608,X
0003001609,0000501609,X
0003001610,0000501610,X
0003001611,0000501611,X
0003001612,0000501612,X
0003001613,0000501613,X
0003001614,0000501614,X
0003001615,0000501615,X
0003001616,0000501616,X
0003001617,0000501617,X
0003001618,0000501618,X
0003001619,0000501619,X
0003001620,0000501620,X
0003001621,0000501621,X
0003001622,0000501622,X
0003001623,0000501623,X
0003001624,0000501624,X
0003001625,0000501625,X
0003001626,0000501626,X
0003001627,0000501627,X
0003001628,0000501628,X
0003001629,0000501629,X
0003001630,0000501630,X
0003001631,0000501631,X
0003001632,0000501632,X
0003001633,0000501633,X
0003001634,0000501634,X
0003001635,0000501635,X
0003001636,0000501636,X
0003001637,0000501637,X
0003001638,0000501638,X
0003001639,0000501639,X
0003001640,0000501640,X
0003001641,0000501641,X
0003001642,0000501642,X
0003001643,0000501643,X
0003001644,0000501644,X
0003001645,0000501645,X
0003001646,0000501646,X
0003001647,0000501647,X
0003001648,0000501648,X
0003001649,0000501649,X
0003001650,0000501650,X
0003001651,0000501651,X
0003001652,0000501652,X
0003001653,0000501653,X
0003001654,0000501654,X
0003001655,0000501655,X
0003001656,0000501656,X
0003001657,0000501657,X
0003001658,0000501658,X
0003001659,0000501659,X
0003001660,0000501660,X
0003001661,0000501661,X
0003001662,0000501662,X
0003001663,0000501663,X
0003001664,0000501664,X
0003001665,0000501665,X
0003001666,0000501666,X
0003001667,0000501667,X
0003001668,0000501668,X
0003001669,0000501669,X
0003001670,0000501670,X
0003001671,0000501671,X
0003001672,0000501672,X
0003001673,0000501673,X
0003001674,0000501674,X
0003001675,0000501675,X
0003001676,0000501676,X
0003001677,0000501677,X
0003001678,0000501678,X
0003001679,0000501679,X
0003001680,0000501680,X
0003001681,0000501681,X
0003001682,0000501682,X
0003001683,0000501683,X
0003001684,0000501684,X
0003001685,0000501685,X
0003001686,0000501686,X
0003001687,0000501687,X
0003001688,0000501688,X
0003001689,0000501689,X
0003001690,0009999999,X
0003001691,0000501691,X
0003001692,0000501692,X
0003001693,0000501693,X
0003001694,0000501694,X
0003001695,0000501695,X
0003001696,0000501696,X
0003001697,0000501697,X
0003001698,0000501698,X
0003001699,0000501699,X
0003001700,0000501700,X
0003001701,0000501701,X
0003001702,0000501702,X
0003001703,0000501703,X
0003001704,0000501704,X
0003001705,0000501705,X
0003001706,0000501706,X
0003001707,0000501707,X
0003001708,0000501708,X
0003001709,0000501709,X
0003001710,0000501710,X
0003001711,0000501711,X
0003001712,0000501712,X
0003001713,0000501713,X
0003001714,0000501714,X
0003001715,0000501715,X
0003001716,0000501716,X
0003001717,0000501717,X
0003001718,0000501718,X
0003001719,0000501719,X
0003001720,0000501720,X
0003001721,0000501721,X
0003001722,0000501722,X
0003001723,0000501723,X
0003001724,0000501724,X
0003001725,0000501725,X
0003001726,0000501726,X
0003001727,0000501727,X
0003001728,0000501728,X
0003001729,0000501729,X
0003001730,0000501730,X
0003001731,0000501731,X
0003001732,0000501732,X
0003001733,0000501733,X
0003001734,0000501734,X
0003001735,0000501735,X
0003001736,0000501736,X
0003001737,0000501737,X
0003001738,0000501738,X
0003001739,0000501739,X
0003001740,0000501740,X
0003001741,0000501741,X
0003001742,0000501742,X
0003001743,0000501743,X
0003001744,0000501744,X
0003001745,0000501745,X
0003001746,0000501746,X
0003001747,0000501747,X
0003001748,0000501748,X
0003001749,0000501749,X
0003001750,0000501750,X
0003001751,0000501751,X
0003001752,0000501752,X
0003001753,0000501753,X
0003001754,0000501754,X
0003001755,0000501755,X
0003001756,0000501756,X
0003001757,0000501757,X
0003001758,0000501758,X
0003001759,0000501759,X
0003001760,0000501760,X
0003001761,0000501761,X
0003001762,0000501762,X
0003001763,0000501763,X
0003001764,0000501764,X
0003001765,0000501765,X
0003001766,0000501766,X
0003001767,0000501767,X
0003001768,0000501768,X
0003001769,0000501769,X
0003001770,0000501770,X
0003001771,0000501771,X
0003001772,0000501772,X
0003001773,0000501773,X
0003001774,0000501774,X
0003001775,0000501775,X
0003001776,0000501776,X
0003001777,0000501777,X
0003001778,0000501778,X
0003001779,0000501779,X
0003001780,0000501780,X
0003001781,0000501781,X
0003001782,0000501782,X
0003001783,0000501783,X
0003001784,0000501784,X
0003001785,0000501785,X
0003001786,0000501786,X
0003001787,0000501787,X
0003001788,0000501788,X
0003001789,0000501789,X
0003001790,0000501790,X
0003001791,0000501791,X
0003001792,0000501792,X
0003001793,0000501793,X
0003001794,0000501794,X
0003001795,0000501795,X
0003001796,0000501796,X
0003001797,0000501797,X
0003001798,0000501798,X
0003001799,0000501799,X
0003001800,0000501800,X
0003001801,0000501801,X
0003001802,0000501802,X
0003001803,0000501803,X
0003001804,0000501804,X
0003001805,0000501805,X
0003001806,0000501806,X
0003001807,0000501807,X
0003001808,0000501808,X
0003001809,0000501809,X
0003001810,0000501810,X
0003001811,0000501811,X
0003001812,0000501812,X
0003001813,0000501813,X
0003001814,0000501814,X
0003001815,0000501815,X
0003001816,0000501816,X
0003001817,0000501817,X
0003001818,0000501818,X
0003001819,0000501819,X
0003001820,0000501820,X
0003001821,0000501821,X
0003001822,0000501822,X
0003001823,0000501823,X
0003001824,0000501824,X
0003001825,0000501825,X
0003001826,0000501826,X
0003001827,0000501827,X
0003001828,0000501828,X
0003001829,0000501829,X
0003001830,0000501830,X
0003001831,0000501831,X
0003001832,0000501832,X
0003001833,0000501833,X
0003001834,0000501834,X
0003001835,0000501835,X
0003001836,0000501836,X
0003001837,0000501837,X
0003001838,0000501838,X
0003001839,0000501839,X
0003001840,0000501840,X
0003001841,0000501841,X
0003001842,0000501842,X
0003001843,0000501843,X
