ADDRNUMBER,NAME1,STREET,HOUSE_NUM1,CITY1,POST_CODE1,COUNTRY,REGION,TEL_NUMBER,SMTP_ADDR
0000500426,Kornblum Frischdienst AG,Otto-Hahn-Straße,38,Frankfurt am Main,,DE,,+49 69 8444 8336,einkauf@kornblum-frischdienst.de
0000500427,Osterbach AG,,,Münster,48176,DE,,+49 421 449 0088,rechnung@osterbach.de
0000500428,Eichberg Ladenbau AG,Robert-Bosch-Straße,51,Graz,8015,AT,,+43 1 9451 5825,r.verma@eichberg-ladenbau.at
0000500429,Maibach Getränke GmbH,Carl-Benz-Straße,72,Nürnberg,90404,DE,,+49 69 6213 9719,info@maibach-getranke.de
0000500430,Mühlbach Service Logistik GmbH,Industriestraße,26,Frankfurt am Main,60380,DE,,+49 421 290 4788,kontakt@muhlbach-service.de
0000500431,Falkenstein Möbel AG,Am Handelshof,205,Dresden,01151,DE,,+49 221 369 5887,verwaltung@falkenstein-mobel.de
0000500432,Reinhardt & Grünwald AG,Bahnhofstraße,147,Salzburg,5024,AT,,+43 316 718468,
0000500433,Julia Lindner AG,Otto-Hahn-Straße,84,Hamburg,20171,DE,,+49 221 407 3999,kontakt@julia-lindner.de
0000500434,Julia Tannhof AG,Bahnhofstraße,69,Hamburg,20185,DE,,+49 89 5644 5495,einkauf@julia-tannhof.de
0000500435,Rheinland Kosmetik & Partner GmbH,Werkstrasse,53,Genève,1205,CH,,+41 44 805 2075,einkauf@rheinland-kosmetik.ch
0000500436,Falkenstein Ladenbau GmbH,Industriestraße,103,München,80372,DE,,+49 421 557 2913,service@falkenstein-ladenbau.de
0000500437,Seibert Ladenbau AG,Fabrikweg,53, MÜNCHEN ,80332,DE,,+49 511 315 6420,vertrieb@seibert-ladenbau.de
0000500438,Marion Elbtal e.K.,Robert-Bosch-Straße,2,München,80394,DE,,+49 40 9066 0439,info@marion-elbtal.de
0000500439,Martin Westphal GmbH,Fabrikweg,107,Münster,48143,DE,,+49 211 592 5248,s.okonkwo@martin-westphal.de
0000500440,Osterbach Reinigung AG,Carl-Benz-Straße,233,Münster,48143,DE,,+49 341 948 8797,info@osterbach-reinigung.de
0000500441,Hanse Lebensmittel GmbH,Carl-Benz-Straße,109,Dresden,01096,DE,,,verwaltung@hanse-lebensmittel.de
0000500442,Lindner Vertrieb AG,Industriestraße,144,Salzburg,5025,AT,,+43 662 702775,info@lindner-vertrieb.at
0000500443,Schönfeld GmbH,Bahnhofstraße,234,Hamburg,20130,DE,,+49 511 539 5125,office@schonfeld.de
0000500444,Lindner Möbel GmbH & Co. KG,Hauptstraße,21,Berlin,10162,DE,,+49 511 725 7932,info@lindner-mobel.de
0000500445,Hochstätt Getränke GmbH & Co. KG,Bahnhofstraße,187,Hannover,30232,DE,,+49 711 288 0932,vertrieb@hochstatt-getranke.de
0000500446,Ackermann-Hanse Vertrieb GmbH,Hafenstraße,95,Bremen,28268,DE,,+49 211 329 8340,service@ackermann-hanse.de
0000500447,Vogel Möbel GmbH,Bahnhofstraße,117,Leipzig,X4135,DE,,+49 711 206 8610,buchhaltung@vogel-mobel.de
0000500448,Marion Kessler AG,Am Handelshof,87,Bremen,28232,DE,,+49 511 265 3932,
0000500449,Clara Tannhof GmbH,Robert-Bosch-Straße,173,Münster,48208,DE,,+49 421 990 4616,service@clara-tannhof.de
0000500450,Mühlbach GmbH,Hafenstraße,169,Münster,48209,DE,,+49 341 367 4851,einkauf@muhlbach.de
0000500451,Vogel Ladenbau GmbH & Co. KG,Industriestraße,144,Dortmund,44147,DE,,+49 511 872 2366,
0000500452,Schönfeld Frischdienst e.K.,Industriestraße,69,Hannover,30164,DE,,+49 511 743 8378,vertrieb@schonfeld-frischdienst.de
0000500453,Mühlbach Reinigung SA,Seestrasse,19,Zürich,8009,CH,,+41 22 335 0727,muhlbach-reinigung.ch
0000500454,Haustein Sicherheit GmbH & Co. KG,,,Essen,45206,DE,,+49 69 5416 6534,rechnung@haustein-sicherheit.de
0000500455,Grünwald Textil & Partner GmbH,Carl-Benz-Straße,32,Köln,50688,DE,,+49 40 7656 5430,vertrieb@grunwald-textil.de
0000500456,Weissmann Druck GmbH,Am Handelshof,228,Köln,50682,DE,,+49 511 855 5500,office@weissmann-druck.de
0000500457,Kessler Reinigung AG,Lindenallee,210,Münster,48188,DE,,+49 711 876 4222,vertrieb@kessler-reinigung.de
0000500458,Grünwald Getränke & Partner GmbH,Fabrikweg,190,München,80350,DE,,,einkauf@grunwald-getranke.de
0000500459,Eichberg Vertrieb AG,Industriestraße,141,Frankfurt am Main,60366,DE,,+49 711 736 2642,export@eichberg-vertrieb.de
0000500460,Westphal-Schwarzwald Lebensmittel GmbH,Hauptstraße,217,Linz,4026,AT,,+43 732 895453,info@westphal-schwarzwald.at
0000500461,Ackermann Ladenbau GmbH & Co. KG,Otto-Hahn-Straße,227,Berlin,10182,DE,,+49 711 976 1903,verwaltung@ackermann-ladenbau.de
0000500462,KESSLER-DONAUTAL FRISCHDIENST GMBH & CO. KG,HAFENSTRASSE,110,Frankfurt am Main,60346,DE,,+49 421 964 9375,
0000500463,Julia Eichberg AG,Robert-Bosch-Straße,96,Bremen,28249,DE,,+49 341 750 2124,info@julia-eichberg.de
0000500464,Hanse Möbel GmbH,Zur Mühle,162,Frankfurt am Main,60390,DE,,+49 511 344 0090,
0000500465,Bühler Sicherheit & Partner e.K.,Robert-Bosch-Straße,100,Frankfurt am Main,60331,DE,,+49 30 6653 6364,vertrieb@buhler-sicherheit.de
0000500466,Sophie Hanse AG,Hauptstraße,47,Dortmund,44199,DE,,,@sophie-hanse.de
0000500467,Nordwind-Ackermann Getränke GmbH,Bahnhofstraße,114,Hannover,30236,DE,,,einkauf@nordwind-ackermann.de
0000500468,Bergmann-Tannhof Textil GmbH,Hauptstraße,32,Düsseldorf,40297,DE,,+49 711 929 4531,
0000500469,  Elbtal  Lebensmittel AG ,Hafenstraße,159,Stuttgart,70223,DE,,+49 40 9355 2667,buchhaltung@elbtal-lebensmittel.de
0000500470,Ackermann Handels GmbH & Co. KG,Lindenallee,32,Köln,50737,,,,kontakt@ackermann-handels.de
0000500471,Sonnenfeld-Reinhardt Getränke AG,Hafenstraße,92,Berlin,10184,DE,,+49 69 2221 0874,verwaltung@sonnenfeld-reinhardt.de
0000500472,Maibach-Reinhardt Vertrieb e.K.,Robert-Bosch-Straße,5,München,80393,DE,,+49 30 7467 7790,service@maibach-reinhardt.de
0000500473,Kornblum Elektronik GmbH,Bahnhofstraße,178,Stuttgart,70241,DE,,+49 421 392 9044,kontakt@kornblum-elektronik.de
0000500474,Seibert Getränke & Partner GmbH,Robert-Bosch-Straße,174,Köln,,DE,,,office@seibert-getranke.de
0000500475,Falkenstein Sicherheit SA,Bahnhofstrasse,197, BASEL ,4052,CH,,+41 44 833 1899,verwaltung@falkenstein-sicherheit.ch
0000500476,Schönfeld Handels GmbH,Otto-Hahn-Straße,44,Berlin,10153,DE,,+49 69 9590 8111,info@schonfeld-handels.de
0000500477,Grünwald Logistik & Partner AG,Seestrasse,102,Bern,3017,EU,,+41 31 236 7973,vertrieb@grunwald-logistik.ch
0000500478,Kessler Vertrieb GmbH,Fabrikweg,159,Bremen,28276,DE,,+49 89 4895 4983,
0000500479,Donautal & Adler GmbH,Zur Mühle,139,Nürnberg,90459,DE,,+49 421 569 6025,service@donautal-adler.de
0000500480,Martin Grünwald e.K.,Hafenstraße,11,Köln,50722,DE,,+49 421 874 2651,rechnung@martin-grunwald.de
0000500481,Tannhof Handels e.K.,Gewerbepark,222,Essen,45180,DE,,+49 711 264 9401,einkauf@tannhof-handels.de
0000500482,Kaltenbach Ladenbau e.K.,Hafenstraße,159,Hamburg,20115,DE,,+49 421 798 8570,mailto:info@kaltenbach-ladenbau.de
0000500483,Ortolani S.p.A.,Via Giuseppe Verdi,109,Roma,00156,IT,,+39 02 5729 28639,billing@ortolani-s.it
0000500484,Thornbury Foods LLC,75 Enterprise,Court,Atlanta,,US,,,orders@thornbury-foods.com
0000500485,Matosinhos & Bragança Lda.,Rua da Indústria,156,Porto,4000-760,PT,,+351 22 710 3197,finance@matosinhos-braganca.pt
0000500486,"Dongguan Fuhua Import & Export Co., Ltd.",No. 82 Hongqiao,Road,Dongguan,523002,CN,,+86 574 312 9202,info@dongguan-fuhua.com.cn
0000500487,Jelínek-Havlíček Textil s.r.o.,Tovární,226,Praha,110 76,CZ,,+420 2 6073 3534,office@jelinek-havlicek.cz
0000500488,Clara Ashford Ltd,"Unit 187, Trafford",Park,Manchester,M1 6TN,GB,,+44 117 531 9647,
0000500489,Rajhans Packaging & Partner Pvt Ltd,"Plot 123, MIDC Industrial",Area,Ludhiana,141004,IN,,+91 161 786 5352,
0000500490,Fuentes S.A.,Avenida de la Constitución,192,Barcelona,08028,ES,,+34 976 809747,orders@fuentes-s.es
0000500491,An Binh JSC,"Lot C69, Tan Binh Industrial",Park,Binh Duong,820759,VN,,+84 236 263 8784,contact@an-binh.com.vn
0000500492,De Groot N.V.,Distributiestraat,24,Eindhoven,5628 KH,NL,,,admin@de-groot-61.nl
0000500493,Gaudin Textiles SASU,"ZI Nord, Lot",48,Paris,75005,FR,,+33 3 3286 1231,contact@gaudin-textiles.fr
0000500494,"Phuong Nam Garment Co., Ltd",153 Nguyen Van Linh,Street,Da Nang,550672,VN,,+84 274 207 0170,accounts@phuong-nam.com.vn
0000500495,"QINGDAO MINGDA HARDWARE CO., LTD.",NO. 197 JINSHAN,ROAD,Qingdao,266050,CN,,+86 532 921 3598,accounts@qingdao-mingda.com.cn
0000500496,"Dongguan Haiyu-Zhenxing Homeware Industrial Co., Ltd.",No. 135 Zhenhai Industrial,Zone,Dongguan,523013,CN,,+86 532 869 0426,sales@dongguan-haiyu.com.cn
0000500497,Ravenscroft Packaging Inc.,38 Commerce,Drive,Los Angeles,90014,US,,+1 213 555 6770,contact@ravenscroft-packaging.com
0000500498,Julia Crestwood Inc.,201 Industrial,Parkway,Los Angeles,90060,US,,+1 214 555 3643,office@julia-crestwood.com
0000500499,ZZZ GESPERRT Co.,24 Queens,Road,London,N1 5TB,GB,,,export@underhill.co.uk
0000500500,Ganapathy Knitwear & Partner Pvt Ltd,"131/A Andheri East,",Marol,New Delhi,110019,IN,,+91 79 2783 7804,
0000500501,Dai Viet Furniture JSC,"Lot 214, Song Than Industrial",Zone,Binh Duong,820629,,,+84 28 8200 4191,finance@dai-viet-7.com.vn
0000500502,Lombardi & Navarra S.p.A.,Via Roma,178,Bologna,40134,IT,,+39 06 8262 00688,finance@lombardi-navarra.it
0000500503,Blackwell Inc.,238 Industrial,Parkway,Dallas,75245,US,,+1 312 555 0587,
0000500504,Bosphorus Dış Ticaret & Partner A.Ş.,Atatürk Bulvarı,No:162,Denizli,N/A,TR,,+90 258 973 9785,export@bosphorus-dıs.com.tr
0000500505,  Kaczmarek  Logistyka & Partner Sp. z o.o. ,al. Jerozolimskie,155,Poznań,60-501,PL,,+48 61 674 7308,sales@kaczmarek-logistyka.pl
0000500506,Brnenská Textil s.r.o.,Nádražní,112,Brno,602 10,CZ,,+420 2 9957 4848,
0000500507,"AN BINH FOOTWEAR & PARTNER CO., LTD","LOT 85, SONG THAN INDUSTRIAL",ZONE,Ho Chi Minh City,700594,VN,,+84 28 8513 1022,admin@an-binh-31.com.vn
0000500508,Yardley Facilities & Partner PLC,224 Mill,Lane,Glasgow,G1 9WL,GB,,+44 141 453 7448,admin@yardley-facilities.co.uk
0000500509,Crestwood Electronics Limited,202 Queens,Road,Birmingham,B1 2XH,GB,,+44 141 541 0530,export@crestwood-electronics.co.uk
0000500510,Ironbridge Fulfilment Inc.,160 Commerce,Drive,Newark,07102,UK,,+1 973 555 2621,billing@ironbridge-fulfilment.com
0000500511,Jelínek s.r.o.,Průmyslová,115,Praha,110 97,CZ,,+420 2 6080 1430,info@jelinek-s.cz
0000500512,Carrara Imballaggi S.p.A.,Viale della Repubblica,97,Torino,10144,IT,,+39 051 8343 5132,ap@carrara-imballaggi.it
0000500513,Sangam Leathers Ltd,38 Avinashi,Road,Ahmedabad,380030,IN,,+91 79 8773 1483,finance@sangam-leathers.in
0000500514,"Quang Minh-An Binh Furniture Co., Ltd",29 Le Duan,Street,,700757,VN,,+84 236 329 3362,finance@quang-minh.com.vn
0000500515,Montclair & Ourcq SASU,214 Chemin des,Vignes,Lille,59031,FR,,+33 1 7443 5500,
0000500516,Jabłoński Serwis & Partner S.A.,ul. Kolejowa,96,Gdańsk,80-623,PL,,+48 42 640 0632,finance@jabłonski-serwis.pl
0000500517,Escaut Impression SAS,213 Boulevard,Gambetta,Marseille,13012,FR,,,comptabilite@escaut-impression.fr
0000500518,Mahavir Enterprises Pvt Ltd,"105/A Andheri East,",Marol,New Delhi,110057,IN,,+91 120 947 4801,ap@mahavir-enterprises.in
0000500519,"Shenzhen Hongsheng-Meilin Garment Industrial Co., Ltd.","Building 16, Xingye",Road,Shenzhen,518017,CN,,+86 532 644 3455,finance@shenzhen-hongsheng.com.cn
0000500520,Vanturi Stampa & Partner S.p.A.,Via Giuseppe Verdi,64,Torino,10131,IT,,+39 06 9277 90603,export@venturi-stampa.it
0000500521,Longacre Cosmetics Ltd,200 Victoria,Road,Bristol,BS1 8WU,GB,,+44 121 372 2333,accounts@longacre-cosmetics.co.uk
0000500522,Fairhaven Logistics Inc.,28 Commerce,Drive,Atlanta,30340,US,,+1 312 555 3278,accounts@fairhaven-logistics.com
0000500523,"SHENZHEN CHENGHUI GARMENT CO., LTD.","BLOCK 148, LONGGANG",DISTRICT,Shenzhen,518011,CN,,+86 592 570 3523,finance@shenzhen-chenghui.com.cn
0000500524,Lewandowski Spożywcze Sp. z o.o.,ul. Kolejowa,205,Gdańsk,80-277,PL,,,
0000500525,"Shanghai Lixin-Longxin Packaging Industrial Co., Ltd.","Block 230, Longgang",District,Shanghai,,CN,,+86 532 940 8188,info@shanghai-lixin.com.cn
0000500526,Jansen-Kuipers Systemen B.V.,Industrieweg,65,Amsterdam,1067 HW,NL,,+31 20 740 2816,info@jansen-kuipers.nl
0000500527,"Shanghai Huayang Industrial & Partner Co., Ltd.","Block 225, Longgang",District,Shanghai,200151,CN,,+86 571 696 8197,sales@shanghai-huayang-11.com.cn
0000500528,Brambleton & Greystone Corp.,156 Airport,Road,Los Angeles,90026,US,,+1 404 555 0405,accounts@brambleton-greystone.com
0000500529,Jamuna Composite Mills Ltd.,94 Agrabad,C/A,Narayanganj,1401,BD,,+880 821 803476,orders@jamuna-composite.com.bd
0000500530,Duvivier Impression SASU,,,Nantes,293175,FR,,,
0000500531,Bao Tin Garment JSC,24 Le Duan,Street,Ho Chi Minh City,00000,VN,,,purchasing@bao-tin.com.vn
0000500532,Pembroke Services Inc.,59 Enterprise,Court,Newark,07120,US,,,finance@pembroke-services.com
0000500533,Sázava s.r.o.,Tovární,131,Praha,110 33,CZ,,+420 5 7648 7379,accounts@sazava-s.cz
0000500534,Bragança Lda.,"Zona Industrial, Lote",131,Lisboa,1000-849,PT,,+351 21 619 2260,info@braganca.pt
0000500535,"Shenzhen Huayang Plastics Co., Ltd.",No. 35 Zhenhai Industrial,Zone,Shenzhen,518021,CN,,+86 574 428 8756,accounts@shenzhen-huayang.com.cn
0000500536,Dunmore Cosmetics Co.,26 Enterprise,Court,Dallas,75261,US,,+1 206 555 2198,purchasing@dunmore-cosmetics.com
0000500537,Stanmore Electronics Ltd,-,,Bristol,BS2 1AZ,GB,,+44 117 468 3960,orders@stanmore-electronics.co.uk
0000500538,Wróblewski & Piotrowski Sp. z o.o.,ul. Fabryczna,45,Łódź,90-751,PL,,+48 71 586 7137,
0000500539,Denizli Konfeksiyon A.Ş.,Atatürk Bulvarı,No:17,Denizli,20063,TR,,+90 312 789 9236,admin@denizli-konfeksiyon.com.tr
0000500540,"SHENZHEN JINFENG GARMENT & PARTNER CO., LTD.",NO. 45 ZHENHAI INDUSTRIAL,ZONE,Shenzhen,518054,CN,,+86 532 372 4482,accounts@shenzhen-jinfeng.com.cn
0000500541,"Xiamen Lixin-Meilin Furniture Industrial Co., Ltd.",No. 16 Jinshan,Road,Xiamen,361084,UAE,,+86 755 284 8367,export@xiamen-lixin.com.cn
0000500542,Estoril Lda. ^ Holdings,Avenida da Liberdade,226,Lisboa,1000-507,PT,,+351 21 277 9545,orders@estoril.pt
0000500543,"Guangzhou Weilong Packaging & Partner Co., Ltd",No. 142 Hongqiao,Road,Guangzhou,510039,CN,,+86 21 6629 4285,admin@guangzhou-weilong.com.cn
0000500544,Jansen Verpakkingen & Partner N.V.,Industrieweg,187,Amsterdam,1070 GR,NL,,+31 30 649 8287,finance@jansen-verpakkingen.nl
0000500545,,"Plot 222, MIDC Industrial",Area,Mumbai,400008,IN,,+91 80 8846 0416,accounts@sangam.in
0000500546,Castaño S.A.,Calle Mayor,8,Barcelona,08040,ES,,+34 95 274 0890,orders@castano-s.es
0000500547,Vaishnavi Knitwear Ltd,229 Avinashi,Road,Bengaluru,560051,IN,,+91 80 5724 5025,contact@vaishnavi-knitwear.in
0000500548,Hoa Sen Packaging JSC,37 Nguyen Van Linh,Street, BINH DUONG ,820276,VN,,+84 236 681 3211,ap@hoa-sen-36.com.vn
0000500549,Wassenaar Druk & Partner B.V.,Ondernemersweg,43,Venlo,5976 WR,NL,,+31 20 415 6477,billing@wassenaar-druk.nl
0000500550,Deverill Technologies Ltd,"Unit 190, Riverside Industrial",Estate,Birmingham,B7 0XS,GB,,+44 117 757 3631,purchasing@deverill-technologies.co.uk
0000500551,Dunmore Co.,56 Airport,Road,Columbus,43251,US,,+1 214 555 0493,finance@dunmore.com
0000500552,Tangail Garments Limited,46 Tejgaon Industrial,Area,Chattogram,4010,BD,,+880 2 2981 4596,accounts@tangail-garments.com.bd
0000500553,Bellini Sistemi S.r.l.,Via del Commercio,55,Bologna,40147,IT,,+39 051 4103 5388,accounts@bellini-sistemi.it
0000500554,MARMARA ENDUSTRI A.S.,ORGANIZE SANAYI BOLGESI 42.,CADDE,Ankara,06020,TR,,+90 212 558 2500,billing@marmara-endustri.com.tr
0000500555,Granville Co.,11 Distribution,Way,Atlanta,,US,,+1 312 555 4909,export@granville.com
0000500556,Firuzköy Ltd. Şti.,Sanayi Caddesi,No:209,Ankara,06019,TR,,+90 258 644 8576,sales@firuzkoy.com.tr
0000500557,Hung Phat Textile & Partner JSC,44 Le Duan,Street,Da Nang,550163,VN,,+84 24 8880 2495,sales@hung-phat-36.com.vn
0000500558,Havlíček & Sázava a.s.,Průmyslová,20,Praha,110 91,CZ,,+420 5 6421 6673,
0000500559,Haverkamp Textiel B.V.,Distributiestraat,156,Eindhoven,5628 KG,NL,,+31 40 300 8229,sales@haverkamp-textiel.nl
0000500560,Cascais Logística Lda.,Avenida da Liberdade,118,Braga,4700-489,PT,,+351 21 937 1636,
0000500561,"Qingdao Jiade & Zhenxing Co., Ltd.","Block 129, Longgang",District,Qingdao,266056,CN,,,finance@qingdao-jiade.com.cn
0000500562,Pratesi Arredamenti S.p.A.,Viale della Repubblica,235,Bologna,40149,IT,,+39 055 9708 6364,purchasing@pratesi-arredamenti.it
0000500563,Ostrowski-Kaczmarek Druk S.A.,ul. Kolejowa,34,Poznań,X0-459,PL,,+48 12 862 6690,finance@ostrowski-kaczmarek.pl
0000500564,Ekström Inredning AB,Fabriksgatan,112,Göteborg,411 35,SE,,+46 8 8942 4160,info@ekstrom-inredning.se
0000500565,Fuentes-Espinosa Embalajes S.A.,Calle Industria,136,Madrid,28015,ES,,+34 91 318 8649,office@fuentes-espinosa.es
0000500566,Quarrymill Textiles Limited,6 Mill,Lane,Bristol,BS2 3BS,GB,,+44 117 591 0197,admin@quarrymill-textiles.co.uk
0000500567,Gallico S.p.A.,Via Industriale,46,Milano,20130,IT,,,sales@gallico-s.it
0000500568,Van Dijken Distributie N.V.,Ondernemersweg,67,Rotterdam,3082 VX,NL,,+31 77 828 9205,ap@van-dijken.nl
0000500569,Peter Dunmore Corp.,61 Commerce,Drive,Dallas,75237,US,,+1 214 555 7282,contact@peter-dunmore.com
0000500570,Aubry Textiles & Partner SAS,33 Boulevard,Gambetta,Lille,59031,FR,,+33 1 9499 1446,
0000500571,Westbrook Distribution & Partner Ltd,"Unit 155, Riverside Industrial",Estate,Manchester,M1 4QN,GB,,+44 117 852 3247,sales@westbrook-distribution.co.uk
0000500572,Karnaphuli Apparels & Partner Ltd.,166 Agrabad,C/A,Dhaka,1215,BD,,+880 31 753 8697,info@karnaphuli-apparels.com.bd
0000500573,Vermeer Techniek N.V.,Distributiestraat,71,Rotterdam,3058 GO,NL,,+31 30 351 8563,sales@vermeer-techniek.nl
0000500574,"Hung Phat-Phuong Nam Industries Co., Ltd","Lot C213, Tan Binh Industrial",Park,Ho Chi Minh City,700316,VN,,+84 24 5973 6535,sales@hung-phat.com.vn
0000500575,GAUDIN TECHNOLOGIES S.A.,,,Lille,59011,FR,,+33 5 8539 7653,achats@gaudin-technologies.fr
0000500576,Venturi Commerciale & Partner S.r.l.,Via Giuseppe Verdi,11,Prato,59106,UAE,,+39 011 9657 1987,contact@venturi-commerciale.it
0000500577,Shatabdi Composite Mills Limited,"House 100, Road 7,",Banani,Chattogram,4025,BD,,+880 821 666753,info@shatabdi-composite.com.bd
0000500578,,"Unit 98, Riverside Industrial",Estate,Leeds,LS1 1GA,GB,,+44 141 816 3744,orders@hollingwood-kingsmere.co.uk
0000500579,De Groot Voeding B.V.,Ondernemersweg,123,Venlo,5976 EO,NL,,+31 30 874 1245,sales@de-groot.nl
0000500580,Alvarado-Duarte Alimentación S.L.,Calle Industria,79,Zaragoza,50038,ES,,+34 96 428 4683,info@alvarado-duarte.es
0000500581,MONTERO MOBILIARIO S.L.,"CARRETERA DE VALENCIA, KM",93,Madrid,28019,ES,,+34 91 735 3246,finance@montero-mobiliario.es
0000500582,Wassenaar Druk & Partner Logistik B.V.,Ondernemersweg,43,Venlo,5976 WR,NL,,+31 20 415 6477,admin@wassenaar-druk.nl
0000500583,Wassenaar Winkelinrichting B.V.,Havenstraat,128,Rotterdam,3015 HW,EU,,+31 77 994 5108,ap@wassenaar-winkelinrichting.nl
0000500584,Blackwell Cosmetics LLC,183 Airport,Road,Atlanta,30358,US,,+1 614 555 0166,ap@blackwell-cosmetics.com
0000500585,Hautefort Impression SARL,222 Avenue de la,République,Paris,75040,FR,,+33 1 7931 2443,contact@hautefort-impression.fr
0000500586,Navarro Sistemas S.L.,Calle Mayor,97,Sevilla,41002,ES,,+34 976 398764,orders@navarro-sistemas.es
0000500587,Lakshmi Knitwear Pvt Ltd,"SIDCO Industrial Estate, Unit",133,New Delhi,N/A,IN,,+91 120 931 5398,ap@lakshmi-knitwear.in
0000500588,Moravia a.s.,Tovární,194, OSTRAVA ,702 63,CZ,,+420 59 394 6415,finance@moravia-a.cz
0000500589,Ferraro Arredamenti S.p.A.,Via Giuseppe Verdi,77,Milano,20121,IT,,+39 02 6148 94623,export@ferraro-arredamenti.it
0000500590,"Xiamen Hongsheng Co., Ltd.","Block 212, Longgang",District,Xiamen,361074,CN,,+86 769 510 1173,
0000500591,Brnenská Obaly s.r.o.,Průmyslová,16,Ostrava,702 69,CZ,,+420 59 343 7959,finance@brnenska-obaly.cz
0000500592,Blackwell-Quarrymill Packaging Ltd,"Unit 47, Trafford",Park,Glasgow,G1 4DQ,GB,,+44 121 472 9012,sales@blackwell-quarrymill.co.uk
0000500593,Chanterelle-Jonquières Services SAS,"ZI Nord, Lot",179,Nantes,44005,FR,,+33 3 4899 8103,commercial@chanterelle-jonquieres.fr
0000500594,Ricciardi-Lombardi Servizi S.r.l.,Viale della Repubblica,29,Firenze,50151,IT,,+39 02 3686 56392,accounts@ricciardi-lombardi.it
0000500595,Trimurti Packaging Pvt Ltd,"SIDCO Industrial Estate, Unit",138,Noida,201336,IN,,+91 11 8493 0543,finance@trimurti-packaging.in
0000500596,Tan Thanh Trading JSC,211 Le Duan,Street,Da Nang,550098,VN,,,purchasing@tan-thanh.com.vn
0000500597,Harlow Shopfitting PLC,57 Station,Road,Bristol,BS2 9PF,GB,,+44 20 8368 9652,sales@harlow-shopfitting.co.uk
0000500598,Greystone & Ellsworth Co.,13 Commerce,Drive,Atlanta,30358,US,,+1 312 555 9802,billing@greystone-ellsworth.com
0000500599,Piotrowski Sp. z o.o.,ul. Kolejowa,221,Warszawa,00-202,PL,,tbd,finance@piotrowski.pl
0000500600,Fairhaven Ltd,124 Station,Road,Nottingham,90111,GB,,+44 161 576 7808,info@fairhaven.co.uk
0000500601,Hoa Sen JSC,"Lot C91, Tan Binh Industrial",Park,Binh Duong,820828,VN,,+84 24 6724 4164,office@hoa-sen.com.vn
0000500602,  Ravenscroft  Logistics Corp. ,214 Airport,Road,Columbus,43245,US,,+1 973 555 5716,orders@ravenscroft-logistics.com
0000500603,  Moravia  Technika & Partner a.s. ,Tovární,239,Praha,110 08,CZ,,+420 5 5604 0193,admin@moravia-technika.cz
0000500604,Kingsmere Ltd,229 Albion,Way,Manchester,13936,GB,,+44 113 698 7630,accounts@kingsmere.co.uk
0000500605,Ortolani Distribuzione S.r.l.,Via del Commercio,155,Milano,20127,IT,,+39 06 9153 10378,accounts@ortolani-distribuzione.it
0000500606,Northgate Technologies Ltd,183 High,Street,Bristol,BS1 1QS,GB,,+44 141 618 8046,t.yilmaz@northgate-technologies.co.uk
0000500607,Sázava Technika & Partner s.r.o.,Tovární,239,Praha,110 47,CZ,,+420 5 6747 0750,contact@sazava-technika.cz
0000500608,Matosinhos Lda.,"Zona Industrial, Lote",110, PORTO ,4000-103,PT,,+351 21 657 7995,finance@matosinhos.pt
0000500609,Castellane Impression S.A.,60 Rue du,Commerce,Marseille,13024,FR,,+33 4 2163 6697,achats@castellane-impression.fr
0000500610,Górski Handel Sp zoo,ul. Przemysłowa,135,Łódź,90-803,PL,,+48 22 397 6774,sales@gorski-handel.pl
0000500611,Kingsmere & Dunmore PLC,"Unit 176, Riverside Industrial",Estate,Bristol,BS2 6HJ,GB,,+44 121 965 5075,"purchasing@kingsmere-dunmore.co.uk,kingsmere-dunmore.co.uk"
0000500612,Zanetti-Marchetti Alimentari S.r.l.,Viale della Repubblica,19,Bologna,40138,IT,,+39 051 7188 2540,export@zanetti-marchetti.it
0000500613,Delacour Mobilier & Partner SAS,"ZI Nord, Lot",92,Bordeaux,340611,FR,,+33 2 5928 7818,mailto:info@delacour-mobilier.fr
0000500614,Underhill Fulfilment & Partner Limited,2 Station,Road,Nottingham,NG7 5GQ,GB,,+44 121 676 5442,billing@underhill-fulfilment.co.uk
0000500615,Deverill Logistics & Partner PLC,162 Station,Road,Leeds,LS1 5FJ,GB,,+44 113 726 1325,ap@deverill-logistics.co.uk
0000500616,Haverkamp Logistik B.V.,Handelskade,66,Venlo,5973 IM,NL,,+31 77 916 4443,info@haverkamp-b.nl
0000500617,XXX,"Polígono Industrial Sur, Nave",47,Valencia,46009,ES,,+34 95 407 4878,info@duarte-logistica.es
0000500618,Anadolu Konfeksiyon Ltd. Şti.,Organize Sanayi Bölgesi 134.,Cadde,Ankara,06062,TR,,+90 312 884 8327,office@anadolu-konfeksiyon.com.tr
0000500619,Bosman B.V.,Distributiestraat,112,Utrecht,3533 DT,NL,,+31 30 891 3941,orders@bosman-b.nl
0000500620,Bhagwati-Lakshmi Packaging Private Limited,66 Avinashi,Road,Bengaluru,560014,IN,,+91 421 951 3020,ap@bhagwati-lakshmi.in
0000500621,Toros Deri Ltd. Şti.,Atatürk Bulvarı,No:164,Denizli,20038,TR,,+90 258 392 9338,ap@toros-deri.com.tr
0000500622,Ferraro Servizi S.p.A.,Via Giuseppe Verdi,9,Prato,59137,IT,,+39 06 7614 12375,@ferraro-servizi.it
