MATNR,BWKEY,VPRSV,BKLAS,VERPR,STPRS,PEINH,LBKUM,SALK3
000000000000100356,1000,V,3100,12.70,0.00,1,899,11417.30
000000000000100356,2000,V,3100,10.33,0.00,1,2108,21775.64
000000000000100357,1000,V,3100,9.16,0.00,1,0,0.00
000000000000100357,2000,V,3100,6.82,0.00,1,0,0.00
000000000000100359,1000,V,3100,4.29,0.00,1,1800,7722.00
000000000000100359,2000,V,3100,19.63,0.00,1,1422,27913.86
000000000000100360,2000,V,3100,6.04,0.00,1,1553,9380.12
000000000000100361,2000,V,3100,14.49,0.00,1,2286,33124.14
000000000000100362,2000,V,3100,3.30,0.00,1,3489,11513.70
000000000000100363,1000,V,3100,5.93,0.00,1,2273,13478.89
000000000000100365,1000,V,3100,22.42,0.00,1,2322,52059.24
000000000000100365,2000,V,3100,14.73,0.00,1,3927,0.00
000000000000100366,3000,V,3000,4.79,0.00,1,1020,4885.80
000000000000100367,2000,V,3100,23.90,0.00,1,1338,31978.20
000000000000100368,1000,V,3100,4.37,0.00,1,3134,13695.58
000000000000100369,3000,S,7900,0.00,2.40,1,3977,9544.80
000000000000100372,1000,V,3030,8.80,0.00,1,726,6388.80
000000000000100372,2000,V,3030,19.98,0.00,1,2412,48191.76
000000000000100373,1000,V,3100,0.98,0.00,1,814,797.72
000000000000100373,2000,V,3100,1.00,0.00,1,2080,2080.00
000000000000100374,3000,S,7900,0.00,14.08,1,529,7448.32
000000000000100376,2000,V,3030,9.07,0.00,1,1567,14212.69
000000000000100377,2000,V,3100,18.34,0.00,1,2232,40934.88
000000000000100379,1000,V,3100,17.86,0.00,1,2489,44453.54
000000000000100380,2000,V,3100,12.09,0.00,1,255,3082.95
000000000000100381,2000,V,3100,18.78,0.00,1,3974,74631.72
000000000000100382,3000,S,7900,0.00,0.40,1,1664,665.60
000000000000100383,1000,V,3100,19.23,0.00,1,3203,61593.69
000000000000100384,1000,V,3100,9.85,0.00,1,1021,10056.85
000000000000100384,2000,V,3100,21.02,0.00,1,2348,49354.96
000000000000100385,1000,V,3100,21.72,0.00,1,3202,69547.44
000000000000100385,2000,V,3100,3.71,0.00,1,40,148.40
000000000000100386,1000,V,3100,18.29,0.00,1,0,0.00
000000000000100386,2000,V,3100,21.37,0.00,1,0,0.00
000000000000100387,1000,S,7920,0.00,14.25,1,1891,26946.75
000000000000100387,3000,S,7920,0.00,23.45,1,1892,44367.40
000000000000100388,2000,V,3100,22.65,0.00,1,2806,63555.90
000000000000100389,3000,S,7900,0.00,13.51,1,2081,28114.31
000000000000100390,1000,V,3100,8.95,0.00,1,1840,16468.00
000000000000100390,2000,V,3100,23.38,0.00,1,1800,42084.00
000000000000100391,1000,V,3100,13.72,0.00,1,3966,54413.52
000000000000100391,2000,V,3100,13.98,0.00,1,360,5032.80
000000000000100392,3000,V,3000,20.27,0.00,1,804,16297.08
000000000000100393,1000,V,3100,9.62,0.00,1,599,5762.38
000000000000100393,2000,V,3100,8.59,0.00,1,3463,29747.17
000000000000100394,1000,S,7920,0.00,15.67,1,24,376.08
000000000000100394,3000,S,7920,0.00,13.34,1,3881,51772.54
000000000000100395,2000,V,3100,1.87,0.00,1,2731,5106.97
000000000000100396,1000,V,3100,16.47,0.00,1,3240,53362.80
000000000000100396,2000,V,3100,11.74,0.00,1,30,352.20
000000000000100398,1000,V,3100,9.22,0.00,1,3761,34676.42
000000000000100399,3000,S,7900,0.00,4.22,1,1385,5844.70
000000000000100400,3000,S,7900,0.00,4.52,1,2672,12077.44
000000000000100401,3000,S,7900,0.00,13.67,1,926,12658.42
000000000000100402,1000,V,3100,3.72,0.00,1,329,1223.88
000000000000100402,2000,V,3100,17.87,0.00,1,1522,27198.14
000000000000100403,1000,V,3100,1.38,0.00,1,975,1345.50
000000000000100404,2000,V,3100,12.63,0.00,1,3548,44811.24
000000000000100405,2000,V,3100,22.69,0.00,1,961,21805.09
000000000000100406,1000,V,3030,15.84,0.00,1,646,10232.64
000000000000100407,1000,V,3100,1.88,0.00,1,3210,6034.80
000000000000100408,3000,V,3000,11.46,0.00,1,728,8342.88
000000000000100409,1000,V,3100,3.04,0.00,1,1143,3474.72
000000000000100411,1000,V,3100,22.80,0.00,0,3022,68901.60
000000000000100411,2000,V,3100,12.38,0.00,1,3287,40693.06
000000000000100412,2000,V,3100,14.96,0.00,1,3741,55965.36
000000000000100413,2000,V,3100,1.37,0.00,1,3881,5316.97
000000000000100414,2000,V,3100,8.35,0.00,1,3617,30201.95
000000000000100415,2000,V,3100,23.73,0.00,1,904,21451.92
000000000000100416,1000,V,3100,22.34,0.00,1,3928,87751.52
000000000000100416,2000,V,3100,3.28,0.00,1,3623,11883.44
000000000000100418,1000,V,3100,7.34,0.00,1,0,0.00
000000000000100421,1000,V,3100,23.45,0.00,1,1543,36183.35
000000000000100422,1000,V,3100,22.57,0.00,1,2357,53197.49
000000000000100423,2000,V,3100,18.89,0.00,1,2584,48811.76
000000000000100424,2000,V,3100,9.17,0.00,1,799,7326.83
000000000000100426,1000,V,3100,5.21,0.00,1,2525,13155.25
000000000000100427,1000,V,3100,18.84,0.00,1,2098,39526.32
000000000000100427,2000,V,3100,20.46,0.00,1,3328,68090.88
000000000000100428,1000,V,3100,2.52,0.00,1,994,2504.88
000000000000100429,3000,S,7900,0.00,2.71,1,1166,3159.86
000000000000100430,2000,V,3100,7.19,0.00,1,0,0.00
000000000000100431,2000,V,3030,9.31,0.00,1,2055,19132.05
000000000000100432,1000,V,3100,13.90,0.00,1,2776,38586.40
000000000000100432,2000,V,3100,19.42,0.00,1,1864,0.00
000000000000100433,1000,V,3100,13.70,0.00,1,1441,19741.70
000000000000100433,2000,V,3100,22.36,0.00,1,2725,60931.00
000000000000100434,1000,V,3100,15.68,0.00,1,0,0.00
000000000000100435,1000,V,3030,20.60,0.00,1,3518,72470.80
000000000000100435,2000,V,3030,0.00,0.00,1,3720,71833.20
000000000000100436,3000,V,3000,7.52,0.00,1,1349,10144.48
000000000000100437,1000,V,3100,2.45,0.00,1,3917,9596.65
000000000000100438,1000,V,3100,20.72,0.00,1,2433,50411.76
000000000000100439,2000,V,3100,0.52,0.00,1,2765,1437.80
000000000000100440,2000,V,3100,3.80,0.00,1,1116,4240.80
000000000000100441,2000,V,3030,20.84,0.00,1,10,208.40
000000000000100442,1000,V,3100,15.84,0.00,1,1401,22191.84
000000000000100443,2000,V,3100,16.75,0.00,1,0,0.00
000000000000100444,1000,V,3100,16.56,0.00,1,687,11376.72
000000000000100444,2000,V,3100,20.17,0.00,1,70,1411.90
000000000000100445,1000,V,3100,8.92,0.00,1,2103,18758.76
000000000000100445,2000,V,3100,3.34,0.00,1,292,975.28
000000000000100446,1000,V,3100,0.83,0.00,1,3483,2890.89
000000000000100446,2000,V,3100,2.71,0.00,1,531,1439.01
000000000000100447,2000,V,3100,13.32,0.00,1,306,4075.92
000000000000100448,1000,V,3100,13.20,0.00,1,157,2072.40
000000000000100449,3000,V,3000,13.95,0.00,1,1358,18944.10
000000000000100450,2000,V,3100,13.52,0.00,1,3459,46765.68
000000000000100452,3000,V,3000,18.43,0.00,1,1080,19904.40
000000000000100453,1000,V,3100,0.21,0.00,1,2730,573.30
000000000000100453,2000,V,3100,5.68,0.00,1,288,1635.84
000000000000100454,1000,V,3100,14.83,0.00,1,1570,23283.10
000000000000100455,2000,V,3100,6.32,0.00,1,398,2515.36
000000000000100456,1000,V,3100,2.42,0.00,1,2432,5885.44
000000000000100456,2000,V,3100,16.10,0.00,1,3610,58121.00
000000000000100457,2000,V,3100,1.76,0.00,1,2221,3908.96
000000000000100458,1000,V,3100,7.44,0.00,1,876,6517.44
000000000000100459,2000,V,3100,1.73,0.00,1,539,932.47
000000000000100461,2000,V,3100,8.83,0.00,1,2811,24821.13
000000000000100463,1000,V,3100,2.26,0.00,1,1961,4431.86
000000000000100464,1000,V,3100,19.13,0.00,1,2794,53449.22
000000000000100465,2000,V,3100,14.07,0.00,1,3235,45516.45
000000000000100466,1000,V,3030,8.71,0.00,1,1996,17385.16
000000000000100466,2000,V,3030,2.27,0.00,1,3923,8905.21
000000000000100467,3000,V,3000,14.83,0.00,1,3670,54426.10
000000000000100468,2000,V,3100,2.18,0.00,1,1301,2836.18
000000000000100469,2000,V,3100,6.62,0.00,1,859,5686.58
000000000000100470,3000,V,3000,18.42,0.00,1,2153,39658.26
000000000000100471,2000,V,3100,0.95,0.00,1,1791,1701.45
000000000000100472,2000,V,3030,10.93,0.00,1,2191,23947.63
000000000000100473,1000,V,3100,18.23,0.00,1,3629,66156.67
000000000000100473,2000,V,3100,16.75,0.00,1,3841,64336.75
000000000000100474,1000,V,3100,23.39,0.00,1,1415,33096.85
000000000000100474,2000,V,3100,19.80,0.00,1,3539,70072.20
000000000000100475,2000,V,3100,17.30,0.00,1,1546,26745.80
000000000000100476,1000,V,3100,2.34,0.00,1,1991,4658.94
000000000000100476,2000,V,3100,11.80,0.00,1,2823,-3267.00
000000000000100477,1000,V,3030,8.75,0.00,1,3338,29207.50
000000000000100478,3000,S,7920,0.00,2.86,1,3944,11279.84
000000000000100479,1000,V,3100,1.74,0.00,1,3113,5416.62
000000000000100479,2000,V,3100,24.46,0.00,1,917,22429.82
000000000000100480,1000,V,3100,0.56,0.00,1,3643,2040.08
000000000000100481,1000,V,3100,20.92,0.00,1,3334,69747.28
000000000000100481,2000,V,3100,6.38,0.00,1,233,1486.54
000000000000100482,1000,V,3100,15.02,0.00,1,0,0.00
000000000000100482,2000,V,3100,4.91,0.00,1,0,0.00
000000000000100483,2000,V,3100,13.88,0.00,1,2648,36754.24
000000000000100484,1000,V,3100,11.19,0.00,1,567,6344.73
000000000000100485,3000,V,3000,13.52,0.00,1,1993,26945.36
000000000000100486,3000,V,3000,3.51,0.00,1,2602,9133.02
000000000000100487,1000,V,3100,4.34,0.00,1,0,0.00
000000000000100487,2000,V,3100,19.13,0.00,1,0,0.00
000000000000100488,2000,V,3030,14.11,0.00,1,2904,40975.44
000000000000100491,2000,V,3100,3.19,0.00,1,3892,12415.48
000000000000100492,3000,V,3000,14.04,0.00,1,2847,39971.88
000000000000100493,1000,S,7920,0.00,17.23,1,2285,39370.55
000000000000100493,3000,V,7920,0.00,18.00,1,3924,70632.00
000000000000100494,2000,V,3100,22.31,0.00,1,2342,52250.02
000000000000100495,1000,V,3100,8.90,0.00,1,601,5348.90
000000000000100495,2000,V,3100,1.05,0.00,1,1109,1164.45
000000000000100496,3000,S,7920,0.00,19.13,1,2072,39637.36
000000000000100497,3000,V,3000,22.10,0.00,1,3077,68001.70
000000000000100498,1000,V,3030,20.90,0.00,1,717,14985.30
000000000000100499,1000,V,3100,8.42,0.00,1,3741,31499.22
000000000000100500,3000,V,3000,0.87,0.00,1,1385,1204.95
000000000000100501,3000,S,7900,0.00,4.56,1,1461,6662.16
000000000000100503,3000,S,7920,0.00,4.67,1,998,4660.66
000000000000100504,1000,V,3100,1.03,0.00,1,0,0.00
000000000000100504,2000,V,3100,1.42,0.00,1,0,0.00
000000000000100505,3000,S,7920,0.00,23.21,1,3878,90008.38
000000000000100506,1000,V,3100,14.92,0.00,0,0,0.00
000000000000100506,2000,V,3100,16.85,0.00,1,0,0.00
000000000000100508,1000,V,3100,17.28,0.00,1,83,1434.24
000000000000100509,2000,V,3100,23.43,0.00,1,1380,32333.40
000000000000100510,1000,V,3100,15.10,0.00,1,1101,16625.10
000000000000100510,2000,V,3100,20.77,0.00,1,2909,60419.93
000000000000100511,2000,V,3100,4.89,0.00,1,1735,8484.15
000000000000100512,1000,V,3100,2.53,0.00,1,1692,4280.76
000000000000100512,2000,V,3100,15.84,0.00,1,846,13400.64
000000000000100513,2000,V,3100,19.77,0.00,1,186,3677.22
000000000000100514,1000,V,3100,4.64,0.00,1,779,3614.56
000000000000100515,1000,V,3100,21.81,0.00,1,113,2464.53
000000000000100515,2000,V,3100,6.94,0.00,1,3969,27544.86
000000000000100516,1000,V,3100,3.90,0.00,1,3112,12136.80
000000000000100517,1000,V,3100,0.31,0.00,1,1476,457.56
000000000000100518,2000,V,3100,5.46,0.00,1,3473,18962.58
000000000000100519,1000,V,3100,0.00,0.00,1,0,0.00
000000000000100520,1000,V,3100,3.96,0.00,1,0,0.00
000000000000100520,2000,V,3100,15.67,0.00,1,0,0.00
000000000000100521,1000,V,3100,11.06,0.00,1,2186,24177.16
000000000000100521,2000,V,3100,1.90,0.00,1,3038,5772.20
000000000000100522,3000,S,7920,0.00,6.00,1,1949,11694.00
000000000000100523,1000,V,3030,22.57,0.00,1,362,8170.34
000000000000100524,2000,V,3100,20.32,0.00,1,2841,57729.12
000000000000100525,1000,V,3030,16.07,0.00,1,2003,32188.21
000000000000100525,2000,V,3030,9.86,0.00,1,3065,30220.90
000000000000100526,3000,V,3000,20.93,0.00,1,357,7472.01
000000000000100527,2000,V,3030,19.21,0.00,1,379,7280.59
000000000000100528,2000,V,3100,16.10,0.00,1,225,3622.50
000000000000100530,2000,V,3100,11.64,0.00,1,3677,42800.28
000000000000100531,2000,V,3100,1.31,0.00,1,2339,3064.09
000000000000100532,1000,V,3100,16.64,0.00,1,3268,54379.52
000000000000100533,3000,S,7900,0.00,10.90,1,1768,19271.20
000000000000100534,1000,V,3100,4.57,0.00,1,1960,8957.20
000000000000100534,2000,S,3100,6.57,0.00,1,1005,6602.85
000000000000100536,1000,S,7920,0.00,17.62,1,1915,33742.30
000000000000100536,3000,S,7920,0.00,12.89,1,176,2268.64
000000000000100537,2000,V,3100,16.14,0.00,1,3665,59153.10
000000000000100538,2000,V,3100,20.34,0.00,1,2211,44971.74
000000000000100539,3000,V,3000,5.16,0.00,1,3176,16388.16
000000000000100540,1000,V,3100,23.26,0.00,1,39,907.14
000000000000100540,2000,V,3100,11.81,0.00,1,3615,42693.15
000000000000100541,2000,V,3100,9.44,0.00,1,2799,26422.56
000000000000100542,2000,V,3100,10.09,0.00,1,128,1291.52
000000000000100543,2000,V,3100,9.00,0.00,1,1591,14319.00
000000000000100544,3000,V,3000,4.26,0.00,1,2136,9099.36
000000000000100545,1000,S,7920,0.00,19.64,1,197,3869.08
000000000000100545,3000,S,7920,0.00,17.67,1,2068,36541.56
000000000000100547,1000,V,3100,15.57,0.00,1,433,6741.81
000000000000100548,3000,S,7900,0.00,22.34,1,327,7305.18
000000000000100549,1000,V,3100,22.60,0.00,1,928,20972.80
000000000000100549,2000,V,3100,12.28,0.00,1,2248,27605.44
000000000000100550,2000,V,3100,6.48,0.00,1,1850,11988.00
000000000000100551,1000,V,3100,20.42,0.00,1,3633,74185.86
000000000000100552,1000,V,3100,0.82,0.00,1,2244,1840.08
000000000000100552,2000,V,3100,3.11,0.00,1,3958,12309.38
000000000000100553,1000,V,3030,5.96,0.00,1,1770,10549.20
000000000000100554,1000,S,7920,0.00,24.21,1,609,14743.89
000000000000100554,3000,S,7920,0.00,12.10,1,2727,32996.70
000000000000100556,1000,V,3100,11.70,0.00,1,3292,38516.40
000000000000100557,3000,V,3000,18.52,0.00,1,5,92.60
000000000000100558,3000,V,3000,13.85,0.00,1,2030,28115.50
000000000000100559,2000,V,3100,7.63,0.00,1,373,2845.99
000000000000100560,1000,V,3030,5.88,0.00,1,2621,15411.48
000000000000100562,2000,V,3030,1.45,0.00,1,133,192.85
000000000000100563,1000,V,3100,20.63,0.00,1,0,0.00
000000000000100563,2000,V,3100,13.14,0.00,1,0,0.00
000000000000100565,1000,V,3100,17.42,0.00,1,3282,57172.44
000000000000100565,2000,V,3100,24.25,0.00,1,3664,88852.00
000000000000100566,1000,V,3100,19.47,0.00,1,3476,67677.72
000000000000100567,1000,S,7920,0.00,18.48,1,259,4786.32
000000000000100567,3000,S,7920,0.00,16.87,1,3933,66349.71
000000000000100568,1000,V,3030,23.39,0.00,1,1814,42429.46
000000000000100568,2000,V,3030,13.96,0.00,1,437,6100.52
000000000000100569,1000,V,3030,0.63,0.00,1,2501,1575.63
000000000000100570,1000,V,3100,7.26,0.00,1,3732,27094.32
000000000000100571,1000,S,3100,4.95,0.00,1,1160,5742.00
000000000000100571,2000,V,3100,17.98,0.00,1,3436,61779.28
000000000000100572,3000,S,7920,0.00,3.47,1,3949,13703.03
000000000000100573,1000,V,3030,16.95,0.00,1,3937,66732.15
000000000000100573,2000,V,3030,13.81,0.00,1,2941,40615.21
000000000000100574,1000,V,3100,2.52,0.00,1,735,1852.20
000000000000100575,1000,V,3100,14.67,0.00,1,906,13291.02
000000000000100575,2000,V,3100,3.08,0.00,1,1831,5639.48
000000000000100576,2000,V,3100,3.15,0.00,1,2686,8460.90
000000000000100577,1000,V,3100,20.42,0.00,1,1438,29363.96
000000000000100578,1000,V,3100,1.95,0.00,1,3442,6711.90
000000000000100578,2000,S,3100,12.27,0.00,1,1051,12895.77
000000000000100579,1000,V,3100,8.91,0.00,1,3459,30819.69
000000000000100579,2000,V,3100,9.85,0.00,1,2581,25422.85
000000000000100580,1000,V,3100,12.01,0.00,1,2027,24344.27
000000000000100580,2000,V,3100,8.68,0.00,1,2638,22897.84
000000000000100581,1000,V,3100,21.57,0.00,1,1505,32462.85
000000000000100583,3000,V,3000,1.22,0.00,1,78,95.16
000000000000100584,2000,V,3100,9.64,0.00,1,208,2005.12
000000000000100585,1000,V,3100,13.25,0.00,1,2625,34781.25
000000000000100586,1000,V,3100,20.81,0.00,1,960,19977.60
000000000000100586,2000,V,3100,8.26,0.00,1,2103,17370.78
000000000000100587,1000,V,3100,12.90,0.00,1,2921,37680.90
000000000000100587,2000,V,3100,9.50,0.00,1,2951,28034.50
000000000000100588,2000,V,3100,9.22,0.00,1,2341,21584.02
000000000000100589,2000,V,3100,10.25,0.00,1,2912,29848.00
000000000000100590,3000,S,7900,0.00,8.59,1,2503,21500.77
000000000000100591,2000,V,3030,21.31,0.00,1,491,10463.21
000000000000100592,2000,V,3100,8.84,0.00,1,1358,12004.72
000000000000100593,1000,V,3100,9.14,0.00,1,2750,25135.00
000000000000100594,3000,V,3000,23.85,0.00,1,692,16504.20
000000000000100595,2000,V,3100,6.55,0.00,1,3792,24837.60
000000000000100596,3000,V,3000,17.46,0.00,1,3889,67901.94
000000000000100597,1000,S,3100,3.53,0.00,1,3910,13802.30
000000000000100597,2000,V,3100,23.60,0.00,1,950,22420.00
000000000000100598,1000,V,3100,1.07,0.00,1,2095,2241.65
000000000000100598,2000,V,3100,8.63,0.00,1,268,2312.84
000000000000100599,1000,V,3100,11.14,0.00,1,410,4567.40
000000000000100600,1000,V,3100,0.31,0.00,1,1481,459.11
000000000000100600,2000,V,3100,3.29,0.00,1,2991,9840.39
000000000000100602,3000,S,7900,0.00,14.79,1,3862,57118.98
000000000000100603,2000,V,3100,24.00,0.00,1,3035,72840.00
000000000000100604,3000,S,7920,0.00,13.64,1,2799,38178.36
000000000000100605,1000,V,3030,21.46,0.00,1,3206,68800.76
000000000000100605,2000,V,3030,23.03,0.00,1,2266,52185.98
000000000000100608,1000,S,7920,0.00,19.76,1,1606,31734.56
000000000000100608,3000,S,7920,0.00,19.19,1,3170,60832.30
000000000000100609,1000,V,3030,18.26,0.00,1,2991,54615.66
000000000000100609,2000,V,3030,8.40,0.00,1,1662,13960.80
000000000000100610,1000,V,3100,9.05,0.00,1,2949,26688.45
000000000000100611,1000,V,3100,23.77,0.00,1,1422,33800.94
000000000000100611,2000,V,3100,0.47,0.00,1,1929,906.63
000000000000100612,1000,V,3100,6.39,0.00,1,3810,24345.90
000000000000100612,2000,V,3100,23.49,0.00,1,339,7963.11
000000000000100614,1000,V,3100,22.68,0.00,1,1842,41776.56
000000000000100614,2000,V,3100,2.03,0.00,1,1369,2779.07
000000000000100615,1000,V,3100,12.08,0.00,1,3804,45952.32
000000000000100617,1000,V,3100,2.55,0.00,1,1259,3210.45
000000000000100618,1000,V,3030,12.90,0.00,1,3662,47239.80
000000000000100619,3000,V,3000,10.46,0.00,1,2877,30093.42
000000000000100620,1000,V,3100,12.49,0.00,1,3319,41454.31
000000000000100621,1000,V,3100,22.46,0.00,1,1409,31646.14
000000000000100622,2000,V,3100,15.38,0.00,1,2397,36865.86
000000000000100623,1000,V,3100,13.19,0.00,1,3888,51282.72
000000000000100624,1000,V,3100,15.55,0.00,1,2527,39294.85
000000000000100625,1000,V,3100,8.76,0.00,1,1680,14716.80
000000000000100626,1000,V,3100,12.62,0.00,1,2438,30767.56
000000000000100626,2000,V,3100,1.76,0.00,1,2007,3532.32
000000000000100627,1000,V,3100,4.71,0.00,1,3954,18623.34
000000000000100627,2000,V,3100,11.01,0.00,1,3221,35463.21
000000000000100628,3000,V,3000,8.48,0.00,1,1105,9370.40
000000000000100629,1000,V,3100,7.22,0.00,1,1180,8519.60
000000000000100630,2000,V,3100,14.04,0.00,1,583,8185.32
000000000000100631,3000,S,7900,0.00,13.08,1,2283,29861.64
000000000000100632,3000,V,3000,1.01,0.00,1,1297,1309.97
000000000000100633,2000,V,3100,1.59,0.00,1,2600,4134.00
000000000000100634,1000,S,7920,0.00,8.98,1,1019,9150.62
000000000000100634,3000,S,7920,0.00,16.74,1,2858,47842.92
000000000000100635,1000,V,3030,2.05,0.00,1,1115,2285.75
000000000000100635,2000,V,3030,13.07,0.00,1,3540,46267.80
000000000000100636,3000,S,7920,0.00,18.64,1,248,4622.72
000000000000100637,2000,V,3030,0.26,0.00,1,2821,733.46
000000000000100638,1000,V,7900,13.97,0.00,1,2170,30314.90
000000000000100639,1000,V,3100,20.65,0.00,1,3028,62528.20
000000000000100640,1000,V,3100,20.01,0.00,1,2428,48584.28
000000000000100640,2000,V,3100,3.10,0.00,1,783,2427.30
000000000000100641,1000,V,3100,8.27,0.00,1,856,7079.12
000000000000100641,2000,V,3100,22.69,0.00,1,1200,27228.00
000000000000100642,3000,V,3000,20.00,0.00,1,1746,34920.00
000000000000100643,2000,V,3030,4.08,0.00,1,2297,9371.76
000000000000100644,3000,S,7900,0.00,20.24,1,2188,44285.12
000000000000100646,1000,V,3100,13.05,0.00,1,131,1709.55
000000000000100646,2000,V,3100,11.31,0.00,1,303,3426.93
000000000000100647,3000,V,3000,1.34,0.00,1,1202,1610.68
000000000000100648,3000,S,7900,0.00,8.27,1,2427,20071.29
000000000000100649,1000,S,7920,0.00,1.70,1,2951,5016.70
000000000000100649,3000,S,7920,0.00,15.69,1,2335,36636.15
000000000000100650,1000,V,3030,0.25,0.00,1,2315,578.75
000000000000100651,1000,V,3100,11.71,0.00,1,144,1686.24
000000000000100651,2000,V,3100,9.74,0.00,1,1805,17580.70
000000000000100652,1000,S,7920,0.00,6.31,1,1859,-2016.00
000000000000100652,3000,S,7920,0.00,10.76,1,1408,15150.08
000000000000100653,1000,V,3100,0.23,0.00,1,3009,692.07
000000000000100653,2000,V,3100,24.00,0.00,1,2723,65352.00
000000000000100654,1000,V,3100,11.09,0.00,0,443,4912.87
000000000000100655,1000,V,3100,5.94,0.00,1,2578,15313.32
000000000000100656,2000,V,3100,3.13,0.00,1,700,2191.00
000000000000100657,1000,V,3100,17.58,0.00,1,1509,26528.22
000000000000100657,2000,V,3100,19.56,0.00,1,2459,48098.04
000000000000100658,2000,V,3100,17.77,0.00,1,3181,56526.37
000000000000100659,1000,V,3030,5.43,0.00,1,746,4050.78
000000000000100660,1000,V,3100,14.33,0.00,1,353,5058.49
000000000000100661,2000,V,3100,4.39,0.00,1,0,0.00
000000000000100662,1000,V,3100,0.70,0.00,1,3894,2725.80
000000000000100662,2000,V,3100,24.31,0.00,1,3942,95830.02
000000000000100663,3000,S,7900,0.00,19.65,1,1064,20907.60
000000000000100664,2000,V,3100,9.08,0.00,1,2045,18568.60
000000000000100665,3000,S,7920,0.00,8.23,1,3087,25406.01
000000000000100666,1000,V,3100,12.02,0.00,1,3631,43644.62
000000000000100666,2000,V,3100,8.94,0.00,1,1479,13222.26
000000000000100667,2000,V,3100,15.59,0.00,1,1456,22699.04
000000000000100668,1000,V,3030,1.89,0.00,1,2504,4732.56
000000000000100669,2000,V,3030,13.55,0.00,1,3454,46801.70
000000000000100670,3000,S,7900,0.00,18.27,1,1007,18397.89
000000000000100671,1000,S,7920,0.00,24.05,1,616,14814.80
000000000000100671,3000,S,7920,0.00,6.40,1,517,3308.80
000000000000100672,3000,V,3000,19.47,0.00,1,3967,77237.49
000000000000100673,1000,V,3030,18.20,0.00,1,3785,68887.00
000000000000100674,1000,V,3100,8.70,0.00,1,936,8143.20
000000000000100674,2000,V,3100,7.88,0.00,1,394,3104.72
000000000000100675,1000,V,3100,24.36,0.00,1,2663,64870.68
000000000000100675,2000,V,3100,19.08,0.00,1,3895,74316.60
000000000000100676,2000,V,3030,1.85,0.00,1,2494,4613.90
000000000000100677,1000,V,3100,3.66,0.00,1,103,376.98
000000000000100677,2000,V,3100,12.75,0.00,1,1510,0.00
000000000000100678,3000,V,3000,11.22,0.00,1,1997,22406.34
000000000000100679,2000,V,3100,8.52,0.00,1,3041,25909.32
000000000000100680,2000,V,3100,11.35,0.00,1,2611,29634.85
000000000000100681,1000,V,3030,23.28,0.00,1,3552,82690.56
000000000000100681,2000,V,3030,17.58,0.00,1,3462,60861.96
000000000000100682,2000,V,3100,3.96,0.00,1,2912,11531.52
000000000000100683,2000,V,3100,4.83,0.00,1,1574,7602.42
000000000000100684,1000,V,3100,21.40,0.00,1,0,0.00
000000000000100684,2000,V,3100,21.21,0.00,1,0,0.00
000000000000100685,2000,V,3100,0.35,0.00,1,3267,1143.45
000000000000100686,1000,V,3100,0.82,0.00,1,1044,856.08
000000000000100686,2000,V,3100,21.59,0.00,1,3012,65029.08
000000000000100687,2000,V,3100,23.05,0.00,1,2336,53844.80
000000000000100688,3000,V,3000,16.78,0.00,1,2607,43745.46
000000000000100689,1000,V,3100,3.36,0.00,1,3611,12132.96
000000000000100690,3000,S,7900,0.00,23.23,1,2486,57749.78
000000000000100691,1000,V,3100,9.80,0.00,1,3244,31791.20
000000000000100691,2000,V,3100,2.21,0.00,1,1435,3171.35
000000000000100692,2000,V,3100,0.00,0.00,1,1430,22308.00
000000000000100693,1000,V,3100,8.14,0.00,1,2065,16809.10
000000000000100693,2000,V,3100,22.71,0.00,1,2605,59159.55
000000000000100694,1000,V,3100,12.18,0.00,1,3754,45723.72
000000000000100695,1000,V,3100,2.60,0.00,1,1918,4986.80
000000000000100695,2000,V,3100,6.58,0.00,1,3222,21200.76
000000000000100696,1000,V,3100,22.09,0.00,1,1594,35211.46
000000000000100696,2000,V,3100,14.43,0.00,1,2747,39639.21
000000000000100697,1000,S,7920,0.00,19.62,1,1887,37022.94
000000000000100697,3000,S,7920,0.00,14.82,1,493,7306.26
000000000000100698,1000,V,3100,7.48,0.00,1,3327,24885.96
000000000000100699,1000,V,3100,12.29,0.00,1,1292,15878.68
000000000000100699,2000,V,3100,17.95,0.00,1,935,16783.25
000000000000100700,1000,V,3100,8.15,0.00,1,2150,17522.50
000000000000100700,2000,V,3100,19.94,0.00,1,507,10109.58
000000000000100701,2000,V,3100,20.72,0.00,1,117,2424.24
000000000000100702,2000,V,3100,23.81,0.00,1,91,2166.71
000000000000100703,2000,V,3100,0.56,0.00,1,2229,1248.24
000000000000100704,1000,V,3100,14.08,0.00,1,3831,53940.48
000000000000100705,1000,V,3100,10.64,0.00,1,2432,25876.48
000000000000100706,1000,V,3100,0.30,0.00,1,620,186.00
000000000000100707,2000,V,3100,21.08,0.00,1,0,0.00
000000000000100708,3000,V,3000,2.81,0.00,1,1368,3844.08
000000000000100709,1000,V,3100,23.82,0.00,1,3957,94255.74
000000000000100709,2000,V,3100,19.18,0.00,1,548,10510.64
000000000000100710,1000,V,3100,12.78,0.00,1,3661,46787.58
000000000000100711,1000,V,3100,0.37,0.00,1,1072,396.64
000000000000100712,1000,V,3100,10.64,0.00,1,0,0.00
