MATNR,MTART,MBRSH,MATKL,MEINS,BISMT,EAN11,NUMTP,BRGEW,NTGEW,GEWEI,MSTAE,LVORM,ERSDA,ERNAM
000000000000100221,HAWA,H,WG-TIER,ST,,4048203507762,HE,2.261,2.052,KG,,,2017-08-28,BATCHUSER
000000000000100222,HAWA,H,WG-MOPRO,ST,,4067392721285,HE,8.643,7.813,KG,,,2025-04-24,T.BRANDT
000000000000100223,HAWA,H,WG-HAUS,ST,,4031166963164,HE,11.980,10.896,KG,,,2019-10-22,T.BRANDT
000000000000100224,HAWA,H,WG-TIER,ST,,4055437113805,HE,11.677,10.738,KG,,,2021-06-09,M.HOFFMANN
000000000000100225,HAWA,H,WG-SUES,ST,ALT912973,4069150086254,HE,10.226,9.087,KG,,,2023-12-14,BATCHUSER
000000000000100226,HAWA,H,WG-SUES,ST,,4097807546783,HE,3.959,3.243,KG,,,2019-03-18,S.KELLER
000000000000100227,HAWA,H,WG-TK,ST,,4027800449446,HE,2.801,2.350,KG,,,2011-11-21,A.NOWAK
000000000000100228,HAWA,H,WG-KOER,ST,,4074419753884,HE,8.202,6.751,KG,,,2009-08-28,S.KELLER
000000000000100229,VERP,H,WG-VERP,ST,,4026936659255,HE,1.596,1.306,KG,,,2024-06-22,BATCHUSER
000000000000100230,ROH,H,WG-ROH,ST,,4060101683997,HE,7.032,5.867,KG,,,2023-07-23,M.HOFFMANN
000000000000100231,VERP,H,WG-VERP,ST,,4052468723287,HE,5.551,4.987,KG,,,2025-05-25,A.NOWAK
000000000000100232,ROH,H,WG-ROH,ST,,4028618994746,HE,5.000,4.127,KG,,,2009-09-19,BATCHUSER
000000000000100233,HAWA,H,WG-TK,ST,,4021007576127,HE,8.422,6.997,KG,,,2015-08-28,S.KELLER
000000000000100234,HAWA,H,WG-KONS,ST,ALT250555,4075566291656,HE,2.847,2.739,KG,,,2022-02-13,T.BRANDT
000000000000100235,NLAG,H,WG-MOPRO,ST,ALT959027,4035884564986,HE,,,,,,2013-09-19,S.KELLER
000000000000100236,HAWA,H,WG-TK,ST,,4092077150869,HE,5.148,4.747,KG,,,2021-04-15,A.NOWAK
000000000000100237,HAWA,H,WG-PAPI,ST,ALT791730,4030791756806,HE,4.950,4.499,KG,,,2016-12-10,S.KELLER
000000000000100238,HAWA,H,WG-GETR,ST,ALT288521,4075604737740,HE,5.905,7.656,KG,,,2016-09-28,M.HOFFMANN
000000000000100239,HAWA,H,WG-TIER,ST,ALT249566,4020415609984,HE,11.058,9.894,KG,,,2024-10-10,A.NOWAK
000000000000100240,VERP,H,WG-VERP,ST,,4061013760936,HE,8.206,7.206,KG,,,2010-07-24,BATCHUSER
000000000000100241,VERP,H,WG-VERP,ST,,4007856352013,HE,8.431,7.198,KG,,,2014-02-19,S.KELLER
000000000000100242,NLAG,H,WG-KONS,ST,,4073058501122,HE,,,,,,2014-11-19,M.HOFFMANN
000000000000100243,HAWA,H,WG-MOPRO,PCS,ALT572004,4010775617521,HE,2.567,2.183,KG,,,2022-11-11,A.NOWAK
000000000000100244,HAWA,H,,ST,,4046696500253,HE,1.532,1.255,KG,,,2012-12-02,S.KELLER
000000000000100245,FERT,H,WG-KOER,ST,,4015258977840,HE,1.928,1.629,KG,,,2018-11-08,S.KELLER
000000000000100246,FERT,H,WG-BACK,ST,,4018438959445,HE,8.055,7.459,KG,,,2021-05-07,A.NOWAK
000000000000100247,HALB,H,WG-PAPI,ST,,4080932585406,HE,0.098,0.082,KG,,,2016-09-23,BATCHUSER
000000000000100248,HAWA,H,WG-KOER,ST,ALT350364,4017928317864,HE,1.526,1.458,KG,,,2024-02-12,BATCHUSER
000000000000100249,HAWA,H,WG-MOPRO,ST,ALT325980,4000149585773,HE,5.304,4.345,KG,,,2025-06-06,BATCHUSER
000000000000100250,HAWA,H,WG-PAPI,ST,,4074707717321,HE,6.187,5.328,KG,,,2016-04-24,M.HOFFMANN
000000000000100251,DIEN,H,WG-DIEN,ST,,,,,,,,,2017-12-09,S.KELLER
000000000000100252,HAWA,H,WG-HAUS,ST,,4001376758188,HE,11.158,9.069,KG,,,2010-06-09,M.HOFFMANN
000000000000100253,HAWA,H,WG-PAPI,ST,,4074685494825,HE,3.615,3.033,KG,,,2020-06-13,T.BRANDT
000000000000100254,HAWA,H,WG-TIER,ST,,4014168745365,HE,4.336,3.825,KG,,,2020-02-15,S.KELLER
000000000000100255,HAWA,H,WG-BACK,ST,,4026642864110,HE,2.222,1.978,KG,02,,2009-12-13,T.BRANDT
000000000000100256,VERP,H,WG-VERP,ST,,4008414608634,HE,1.615,1.560,KG,,,2023-11-24,BATCHUSER
000000000000100257,HAWA,H,WG-KOER,ST,,4022385525875,HE,2.355,2.225,KG,,,2021-09-20,BATCHUSER
000000000000100258,FERT,H,WG-MOPRO,ST,ALT994748,4084145850788,HE,6.404,6.168,KG,,,2020-01-26,T.BRANDT
000000000000100259,HAWA,H,WG-HAUS,ST,,4037417199481,HE,9.327,7.624,KG,,,2017-09-22,S.KELLER
000000000000100260,HAWA,H,WG-KOER,ST,ALT878466,4088713037569,HE,9.478,9.117,KG,,,2019-01-13,T.BRANDT
000000000000100261,HAWA,H,WG-KONS,ST,ALT919283,4081679034592,HE,7.590,7.019,KG,,,2023-08-12,T.BRANDT
000000000000100262,HAWA,H,WG-BACK,ST,ALT237570,4042136931779,HE,3.677,3.195,KG,,,2020-10-07,BATCHUSER
000000000000100263,NLAG,H,WG-PAPI,ST,ALT153612,4068186605415,HE,,,,,,2009-08-09,BATCHUSER
000000000000100264,DIEN,H,WG-DIEN,ST,,,,,,,,,2020-09-18,M.HOFFMANN
000000000000100265,HAWA,H,WG-PAPI,ST,,4084287193491,HE,6.328,5.697,KG,,,2012-11-23,BATCHUSER
000000000000100266,HAWA,H,WG-PAPI,ST,ALT710698,4042957044160,HE,4.857,4.426,KG,,,2023-08-12,BATCHUSER
000000000000100267,ROH,H,WG-ROH,ST,,4047454973234,HE,4.566,3.785,KG,,,2014-10-21,T.BRANDT
000000000000100268,HAWA,H,WG-GETR,ST,,4062593541366,HE,0.441,0.412,KG,,,2012-12-28,A.NOWAK
000000000000100269,HALB,H,WG-SUES,ST,,4004742717475,HE,4.238,3.862,KG,,,2016-03-11,S.KELLER
000000000000100270,HAWA,H,WG-PAPI,ST,ALT539121,4092648279708,HE,3.036,2.669,KG,,,2009-07-08,A.NOWAK
000000000000100271,HAWA,H,WG-SUES,ST,,4093315932629,HE,5.674,5.361,KG,,,2017-10-27,A.NOWAK
000000000000100272,VERP,H,WG-VERP,ST,,4068420598640,HE,3.914,3.383,KG,,,2011-09-25,A.NOWAK
000000000000100273,HAWA,H,WG-GETR,ST,,4034630332251,HE,7.445,5.979,KG,,,2010-11-04,S.KELLER
000000000000100274,ROH,H,WG-ROH,ST,,4090933739494,HE,4.208,4.068,KG,,,2011-12-26,A.NOWAK
000000000000100275,HAWA,H,WG-KOER,ST,ALT537610,4052378968358,HE,11.946,9.701,KG,,,2019-06-25,M.HOFFMANN
000000000000100276,HAWA,H,WG-HAUS,ST,,4065781489891,HE,10.456,9.367,KG,,,2019-07-16,A.NOWAK
000000000000100277,HAWA,H,WG-KONS,ST,,4057363795353,HE,0.848,0.706,KG,,,2026-04-07,M.HOFFMANN
000000000000100278,HAWA,H,WG-BACK,ST,,4098260525810,HE,0.000,0.000,KG,,,2015-11-28,BATCHUSER
000000000000100279,HAWA,H,WG-HAUS,ST,ALT963168,4068666607366,HE,11.597,10.293,KG,,,2017-02-20,A.NOWAK
000000000000100280,HAWA,H,WG-SUES,ST,ALT591802,4083744672326,HE,7.135,6.183,KG,,,2010-03-19,A.NOWAK
000000000000100281,VERP,H,WG-VERP,ST,,4066391185258,HE,9.832,8.693,KG,,,2012-12-28,S.KELLER
000000000000100282,HALB,H,WG-HAUS,ST,,4079789194961,HE,2.419,2.219,KG,,,2020-02-07,T.BRANDT
000000000000100283,ROH,H,WG-ROH,ST,ALT176667,4015112186616,HE,9.461,8.673,KG,,,2020-04-10,T.BRANDT
000000000000100284,HAWA,H,WG-MOPRO,ST,,4002343786135,HE,6.054,5.251,KG,,,2014-03-08,BATCHUSER
000000000000100285,HAWA,H,WG-SUES,ST,,4006595161733,HE,8.897,7.740,KG,,,2013-04-21,S.KELLER
000000000000100286,HAWA,H,WG-PAPI,ST,,4056827606495,HE,6.141,5.653,KG,,,2025-05-10,BATCHUSER
000000000000100287,VERP,H,WG-VERP,ST,,4046208067472,HE,11.697,10.585,KG,,,2010-08-04,A.NOWAK
000000000000100288,HAWA,H,WG-SUES,ST,ALT796700,4010217974090,HE,5.474,4.577,KG,,,2020-10-25,T.BRANDT
000000000000100289,HAWA,H,WG-TIER,ST,,4082635579089,HE,8.073,6.934,KG,,,2012-07-26,T.BRANDT
000000000000100290,HAWA,H,WG-KONS,ST,,4067966887010,HE,4.780,4.383,KG,,,2020-04-14,BATCHUSER
000000000000100291,FERT,H,WG-TIER,ST,,4092350937699,HE,10.292,8.318,KG,,,2026-08-28,M.HOFFMANN
000000000000100292,HALB,H,WG-SUES,ST,,4064986523461,HE,1.634,1.485,KG,,,2010-02-20,S.KELLER
000000000000100293,NLAG,H,WG-TK,ST,,4045784749109,HE,,,,,,2011-11-26,T.BRANDT
000000000000100294,HAWA,H,WG-SUES,ST,ALT546828,4036955511403,HE,7.607,7.223,KG,,,2023-11-05,M.HOFFMANN
000000000000100295,HAWA,H,WG-HAUS,ST,ALT108617,4067728679211,HE,11.134,9.632,KG,,,2026-04-10,A.NOWAK
000000000000100296,NLAG,H,WG-KONS,ST,,4058792698192,HE,,,,,,2012-02-12,T.BRANDT
000000000000100297,HAWA,H,WG-SUES,ST,ALT532705,4037918060174,HE,11.318,9.225,KG,,,2010-07-28,S.KELLER
000000000000100298,HAWA,H,WG-TIER,ST,ALT980115,4034014526801,HE,2.917,2.697,KG,,,2020-07-22,A.NOWAK
000000000000100299,HAWA,H,WG-BACK,ST,,4047532244775,HE,8.446,6.925,KG,,,2022-09-25,T.BRANDT
000000000000100300,HAWA,H,WG-TK,ST,,4018647920922,HE,8.087,6.725,KG,,,2026-08-21,A.NOWAK
000000000000100301,HAWA,H,WG-MOPRO,ST,,4075817093336,HE,0.681,0.562,KG,,,2014-02-12,S.KELLER
000000000000100302,NLAG,H,WG-MOPRO,ST,ALT616506,4096953572509,HE,,,,,,2011-03-20,BATCHUSER
000000000000100303,HAWA,H,WG-HAUS,ST,,4038738533084,HE,2.790,2.582,KG,,,2013-03-14,BATCHUSER
000000000000100304,HAWA,H,,ST,,4052440931921,HE,1.764,1.593,KG,,,2014-12-20,S.KELLER
000000000000100305,VERP,H,WG-VERP,ST,ALT934004,4078823471846,HE,10.203,8.698,,,,2016-10-28,M.HOFFMANN
000000000000100306,ROH,H,WG-ROH,ST,,4085152178018,HE,7.698,6.524,KG,,,2009-04-05,A.NOWAK
000000000000100307,HAWA,H,WG-HAUS,ST,ALT837089,4005194800185,HE,11.672,10.974,KG,,,2015-07-08,S.KELLER
000000000000100308,DIEN,H,WG-DIEN,ST,,,,,,,,,2026-03-11,A.NOWAK
000000000000100309,HAWA,H,WG-TIER,ST,ALT251980,4031565705044,HE,3.670,3.364,KG,,,2013-12-24,M.HOFFMANN
000000000000100310,HAWA,H,WG-PAPI,ST,ALT590845,4079925013576,HE,1.727,1.486,KG,,,2021-08-07,S.KELLER
000000000000100311,HAWA,H,WG-SUES,ST,,4080942971367,HE,6.685,5.401,KG,,,2018-04-04,BATCHUSER
000000000000100312,NLAG,H,WG-MOPRO,ST,,4080723172990,HE,,,,,,2025-07-25,M.HOFFMANN
000000000000100313,HAWA,H,WG-PAPI,ST,,4024889221895,HE,4.102,3.741,KG,,,2018-09-25,M.HOFFMANN
000000000000100314,HAWA,H,WG-PAPI,ST,ALT766307,4019412567953,HE,4.827,4.448,KG,,,2017-01-22,S.KELLER
000000000000100315,HAWA,H,WG-MOPRO,ST,,4080227284304,HE,7.207,6.297,KG,,,2010-04-20,T.BRANDT
000000000000100316,HAWA,H,WG-TK,ST,,4001456591445,HE,9.642,9.349,KG,,,2023-05-07,S.KELLER
000000000000100317,HALB,H,,ST,ALT195349,4054921682544,HE,8.171,7.405,KG,,,2024-05-23,A.NOWAK
000000000000100318,HAWA,H,WG-TIER,ST,,4021191776488,HE,3.231,3.013,KG,,,2020-11-20,A.NOWAK
000000000000100319,DIEN,H,WG-DIEN,ST,,,,,,,,,2022-09-22,BATCHUSER
000000000000100320,ROH,H,WG-ROH,ST,,4093552594982,HE,5.841,4.876,KG,,,2011-04-02,M.HOFFMANN
000000000000100321,HAWA,H,WG-BACK,ST,,4034823124465,HE,5.645,4.991,KG,,,2010-08-18,S.KELLER
000000000000100322,HAWA,H,WG-TIER,ST,,4045716726437,HE,9.395,8.898,KG,,,2024-02-26,BATCHUSER
000000000000100323,FERT,H,WG-PAPI,ST,,4013575176403,HE,7.563,6.909,KG,,,2026-05-17,M.HOFFMANN
000000000000100324,HAWA,H,WG-KONS,ST,,4071340491786,HE,0.000,0.000,KG,,,2023-08-20,BATCHUSER
000000000000100325,HAWA,H,WG-GETR,ST,,4030868175202,HE,2.740,2.476,KG,,,2026-12-28,BATCHUSER
000000000000100326,HAWA,H,WG-SUES,ST,ALT978966,4040261467538,HE,9.927,8.814,KG,,,2026-10-12,BATCHUSER
000000000000100327,HAWA,H,WG-SUES,ST,,4036961154663,HE,5.780,4.888,KG,,,2021-08-06,M.HOFFMANN
000000000000100328,HAWA,H,WG-KOER,ST,,4095260518880,HE,10.898,9.686,KG,,,2025-07-28,M.HOFFMANN
000000000000100329,HAWA,H,WG-GETR,ST,ALT797505,4056418848020,HE,3.223,3.013,KG,,,2015-11-21,A.NOWAK
000000000000100330,HAWA,H,WG-PAPI,ST,ALT818406,4042990513159,HE,8.646,7.347,KG,,,2013-06-25,S.KELLER
000000000000100331,HAWA,H,WG-GETR,ST,,4096526065018,HE,5.534,4.830,KG,,,2021-06-14,T.BRANDT
000000000000100332,FERT,H,WG-GETR,ST,,4087048684511,HE,0.787,0.716,KG,,,2012-03-15,A.NOWAK
000000000000100333,HAWA,H,WG-MOPRO,ST,,4020475116118,HE,10.691,8.690,KG,,,2009-10-26,T.BRANDT
000000000000100334,HAWA,H,WG-GETR,ST,,4072444334252,HE,5.409,4.986,KG,,,2010-06-17,T.BRANDT
000000000000100335,HAWA,H,WG-PAPI,ST,,4079754386902,HE,7.539,6.920,KG,,,2013-11-24,S.KELLER
000000000000100336,VERP,H,WG-VERP,ST,,4092495497027,HE,0.730,0.590,KG,,,2025-08-04,A.NOWAK
000000000000100337,HAWA,H,WG-BACK,ST,ALT732500,4033484476081,HE,3.777,3.573,KG,,,2018-01-20,BATCHUSER
000000000000100338,HAWA,H,WG-SUES,ST,,4057650874297,HE,3.222,2.630,KG,,,2020-10-16,S.KELLER
000000000000100339,HAWA,H,WG-KOER,ST,,4096390382686,HE,8.065,7.276,KG,,,2024-10-23,M.HOFFMANN
000000000000100340,HAWA,H,WG-TIER,ST,,4036000917624,HE,1.947,1.665,KG,,,2025-11-26,M.HOFFMANN
000000000000100341,HAWA,H,WG-KOER,ST,,4058535792014,HE,7.593,6.621,KG,,,2018-05-21,M.HOFFMANN
000000000000100342,VERP,H,WG-VERP,ST,ALT747234,4037623232804,HE,8.044,6.758,KG,,,2009-10-07,BATCHUSER
000000000000100343,VERP,H,WG-VERP,ST,ALT368775,4019525361516,HE,1.008,0.902,KG,,,2022-11-05,M.HOFFMANN
000000000000100344,HALB,H,WG-PAPI,ST,,4044730148133,HE,11.134,9.016,KG,,,2010-01-11,M.HOFFMANN
000000000000100345,VERP,H,WG-VERP,ST,,4015356423140,HE,0.991,0.862,KG,,,2015-04-02,T.BRANDT
000000000000100346,VERP,H,WG-VERP,ST,ALT439205,4009314814613,HE,5.949,5.481,KG,,,2017-01-01,A.NOWAK
000000000000100347,HAWA,H,WG-KONS,ST,ALT404645,4023146025542,HE,11.939,9.688,KG,,,2013-01-27,BATCHUSER
000000000000100348,HAWA,H,WG-HAUS,ST,ALT538321,4049863904236,HE,4.641,4.249,KG,,,2025-01-14,S.KELLER
000000000000100349,HAWA,H,WG-SUES,ST,,4061727133521,HE,1.070,0.883,KG,,,2016-04-14,T.BRANDT
000000000000100350,HAWA,H,WG-SUES,ST,,4098810546036,HE,2.274,2.073,KG,,,2014-12-01,T.BRANDT
000000000000100351,ROH,H,WG-ROH,ST,,4062551797309,HE,2.393,2.009,KG,,,2026-09-09,T.BRANDT
000000000000100352,HAWA,H,WG-KONS,ST,,4038135451462,HE,4.584,4.355,KG,,,2013-12-10,M.HOFFMANN
000000000000100353,HAWA,H,WG-BACK,ST,,4068599716883,HE,9.784,8.342,KG,,,2023-06-20,BATCHUSER
000000000000100354,VERP,H,WG-VERP,ST,,4095406522030,HE,11.199,10.146,KG,,,2024-01-05,A.NOWAK
000000000000100355,HAWA,H,WG-PAPI,ST,ALT879965,4019075132680,HE,9.816,8.348,KG,,,2016-08-07,S.KELLER
000000000000100356,HAWA,H,WG-GETR,ST,,4069966728218,HE,4.795,4.140,KG,,,2015-01-10,T.BRANDT
000000000000100357,NLAG,H,WG-HAUS,ST,,4052731227979,HE,,,,,,2011-05-10,A.NOWAK
000000000000100358,HAWA,H,WG-PAPI,ST,ALT869960,4019995798492,HE,11.872,10.323,,,,2013-05-03,BATCHUSER
000000000000100359,HAWA,H,WG-MOPRO,ST,,4012820318582,HE,0.717,0.683,KG,,,2025-04-14,BATCHUSER
000000000000100360,HAWA,H,WG-KONS,ST,,4001694853282,HE,2.116,1.976,KG,,,2020-04-18,T.BRANDT
000000000000100361,HAWA,H,WG-KONS,ST,,4016037854673,HE,5.478,4.957,KG,,,2013-03-19,A.NOWAK
000000000000100362,HAWA,H,WG-SUES,ST,,4069106069737,HE,3.611,3.500,KG,,,2024-07-06,T.BRANDT
000000000000100363,HAWA,H,WG-BACK,ST,,4000574523901,HE,11.897,9.805,KG,,,2015-08-03,BATCHUSER
000000000000100364,HALB,H,WG-MOPRO,Stk,,4028641188877,HE,10.310,9.236,KG,,,2026-05-12,M.HOFFMANN
000000000000100365,HAWA,H,WG-GETR,ST,,4085936792355,HE,3.057,2.865,KG,,,2011-09-01,BATCHUSER
000000000000100366,ROH,H,WG-ROH,ST,,4000161265368,HE,9.139,7.763,KG,,,2011-03-01,BATCHUSER
000000000000100367,HAWA,H,WG-MOPRO,ST,,4021421999373,HE,7.228,6.026,KG,,,2016-02-06,BATCHUSER
000000000000100368,HAWA,H,WG-MOPRO,ST,,4036975148726,HE,2.577,2.218,KG,,,2013-05-11,A.NOWAK
000000000000100369,HALB,H,WG-MOPRO,ST,ALT318690,4043054455392,HE,1.726,1.660,KG,,,2025-12-17,A.NOWAK
000000000000100370,HAWA,H,WG-HAUS,ST,,4091594553887,HE,5.398,6.820,KG,,,2013-02-09,BATCHUSER
000000000000100371,HAWA,H,WG-TK,,,4011395270035,HE,10.480,9.639,KG,,,2022-09-01,M.HOFFMANN
000000000000100372,VERP,H,WG-VERP,ST,,4091251247159,HE,2.525,2.193,KG,,,2011-07-18,A.NOWAK
000000000000100373,HAWA,H,WG-TK,ST,,4094183680698,HE,1.637,1.577,KG,,,2019-03-17,A.NOWAK
000000000000100374,HALB,H,WG-MOPRO,ST,,4066593914885,HE,1.519,1.392,KG,,,2015-09-17,A.NOWAK
000000000000100375,HAWA,H,WG-SUES,ST,ALT200212,4066533319718,HE,3.738,4.200,KG,,,2011-08-20,T.BRANDT
000000000000100376,VERP,H,WG-VERP,ST,ALT813323,4000451372295,HE,6.938,5.640,KG,,,2019-02-10,BATCHUSER
000000000000100377,HAWA,H,WG-KONS,ST,ALT227789,4019046274012,HE,9.732,9.099,KG,,,2022-07-11,A.NOWAK
000000000000100378,DIEN,H,WG-DIEN,ST,,,,,,,,,2023-06-06,T.BRANDT
000000000000100379,HAWA,H,WG-GETR,ST,,4075264716628,HE,2.454,2.188,KG,,,2021-02-26,A.NOWAK
000000000000100380,HAWA,H,WG-KOER,ST,ALT534564,4002878620706,HE,0.000,0.000,KG,,,2020-12-08,A.NOWAK
000000000000100381,HAWA,H,WG-GETR,ST,,4074853497580,HE,10.141,8.645,KG,,,2018-11-15,A.NOWAK
000000000000100382,HALB,H,WG-TIER,ST,,4099672351264,HE,7.864,6.468,KG,,,2014-12-07,S.KELLER
000000000000100383,HAWA,H,WG-BACK,ST,ALT197491,4011470060742,HE,4.476,4.103,KG,,,2026-11-24,S.KELLER
000000000000100384,HAWA,H,WG-KOER,ST,,4067912837465,HE,0.995,0.825,KG,,,2011-01-22,M.HOFFMANN
000000000000100385,HAWA,H,WG-BACK,ST,ALT679824,4062894450701,HE,2.017,1.955,KG,,,2014-03-14,BATCHUSER
000000000000100386,NLAG,H,WG-MOPRO,ST,,4015698366716,HE,,,,,,2013-12-04,S.KELLER
000000000000100387,FERT,H,WG-PAPI,ST,ALT860793,4089922859923,HE,10.246,8.866,KG,,,2018-12-16,BATCHUSER
000000000000100388,HAWA,H,WG-SUES,ST,ALT425954,4045497441185,HE,8.088,6.910,KG,,,2011-12-12,T.BRANDT
000000000000100389,HALB,H,WG-KONS,ST,,4048326467929,HE,7.940,6.793,KG,,,2011-06-21,A.NOWAK
000000000000100390,HAWA,H,WG-HAUS,ST,,4055409762024,HE,9.631,9.166,KG,,,2023-04-01,S.KELLER
000000000000100391,HAWA,H,WG-MOPRO,ST,,4018388162384,HE,9.401,7.959,KG,,,2009-05-28,T.BRANDT
000000000000100392,ROH,H,WG-ROH,ST,,4074076407083,HE,5.829,4.874,KG,,,2016-01-12,T.BRANDT
000000000000100393,HAWA,H,WG-TK,ST,,4009976680717,HE,9.775,7.879,KG,,,2019-10-25,T.BRANDT
000000000000100394,FERT,H,WG-KONS,ST,,4058052751063,HE,4.221,4.083,KG,,,2020-10-10,T.BRANDT
000000000000100395,HAWA,H,WG-PAPI,ST,ALT663051,4057988729245,HE,0.240,0.204,KG,,,2019-06-24,M.HOFFMANN
000000000000100396,HAWA,H,WG-TIER,ST,ALT646952,4086963535151,HE,3.939,3.294,KG,,,2022-12-27,T.BRANDT
000000000000100397,DIEN,H,WG-DIEN,ST,ALT622841,,,,,,,,2020-06-13,S.KELLER
000000000000100398,HAWA,H,WG-GETR,ST,,4050535948977,HE,7.934,6.418,KG,,,2025-02-18,S.KELLER
000000000000100399,HALB,H,WG-TIER,ST,,4090066465611,HE,11.387,9.414,KG,,,2016-12-05,BATCHUSER
000000000000100400,HALB,H,WG-BACK,ST,,4073947586995,HE,4.505,4.119,KG,,,2020-10-22,S.KELLER
000000000000100401,HALB,H,WG-KONS,ST,,4059647950526,HE,7.971,7.472,KG,,,2020-07-06,S.KELLER
000000000000100402,HAWA,H,WG-SUES,ST,ALT379520,4034819035409,HE,0.883,0.823,KG,,,2013-02-24,BATCHUSER
000000000000100403,HAWA,H,WG-KONS,ST,,4016033744794,HE,7.056,5.958,KG,,,2017-04-19,S.KELLER
000000000000100404,HAWA,H,WG-KOER,ST,ALT141535,4051062447162,HE,11.279,10.352,KG,,,2009-09-09,A.NOWAK
000000000000100405,HAWA,H,WG-TIER,ST,,4086150538378,HE,10.962,10.628,KG,,,2016-05-09,A.NOWAK
000000000000100406,VERP,H,WG-VERP,ST,ALT784940,4001502346197,HE,1.002,0.963,KG,,,2016-04-26,S.KELLER
000000000000100407,HAWA,H,WG-HAUS,ST,ALT223740,4078340091268,HE,8.080,7.107,KG,,,2015-11-04,A.NOWAK
000000000000100408,ROH,H,WG-ROH,ST,,4005737152363,HE,7.882,7.359,KG,,,2022-12-10,T.BRANDT
000000000000100409,HAWA,H,WG-MOPRO,ST,,4061750357697,HE,2.578,2.260,KG,,,2020-03-18,M.HOFFMANN
000000000000100410,DIEN,H,WG-DIEN,ST,ALT658127,,,,,,,,2010-02-26,T.BRANDT
000000000000100411,HAWA,H,WG-BACK,ST,ALT160131,4077434220140,HE,2.136,1.945,KG,,,2014-05-11,S.KELLER
000000000000100412,HAWA,H,,ST,,4004101496140,HE,9.767,8.547,KG,,,2016-08-21,M.HOFFMANN
000000000000100413,HAWA,H,WG-BACK,ST,ALT622464,4016926389941,HE,5.622,4.890,KG,,,2014-04-06,BATCHUSER
000000000000100414,HAWA,H,WG-BACK,ST,ALT377252,4010408978432,HE,5.887,5.327,KG,,,2024-04-28,BATCHUSER
000000000000100415,HAWA,H,WG-TK,ST,,4073800374721,HE,9.068,7.563,KG,,,2025-11-04,M.HOFFMANN
000000000000100416,HAWA,H,WG-GETR,ST,,4068332928276,HE,7.302,6.406,KG,,,2014-08-09,A.NOWAK
000000000000100417,HAWA,H,WG-HAUS,ST,ALT109819,4092302536376,HE,0.000,0.000,KG,,,2023-06-27,T.BRANDT
000000000000100418,NLAG,H,WG-KOER,ST,,4014534619320,HE,,,,,,2015-02-18,T.BRANDT
000000000000100419,DIEN,H,WG-DIEN,ST,ALT979975,,,,,,,,2015-01-14,T.BRANDT
000000000000100420,HAWA,H,WG-BACK,ST,ALT575902,4087965042050,HE,2.669,3.072,KG,,,2025-01-20,S.KELLER
000000000000100421,HAWA,H,WG-KONS,ST,,4037383729248,HE,10.469,9.194,KG,,,2025-06-04,A.NOWAK
000000000000100422,HAWA,H,WG-MOPRO,ST,ALT682542,4069284732942,HE,8.312,6.951,KG,,,2015-05-05,M.HOFFMANN
000000000000100423,HAWA,H,WG-BACK,ST,ALT152631,4003587710030,HE,2.213,1.962,KG,,,2012-06-18,T.BRANDT
000000000000100424,HAWA,H,WG-TK,ST,,4056322499189,HE,10.459,9.959,KG,,,2010-01-25,BATCHUSER
000000000000100425,HALB,H,WG-MOPRO,ST,,4061584006204,HE,0.000,0.000,KG,,,2025-05-08,S.KELLER
000000000000100426,HAWA,H,WG-TIER,ST,,4007304778488,HE,7.209,6.511,KG,,,2009-09-26,S.KELLER
000000000000100427,HAWA,H,WG-BACK,ST,ALT872037,4050416542829,HE,10.653,9.335,KG,,,2014-06-18,S.KELLER
000000000000100428,HAWA,H,WG-KOER,ST,,4014288568837,HE,1.494,1.217,KG,,,2009-10-12,T.BRANDT
000000000000100429,HALB,H,WG-KOER,ST,,4035192517858,HE,8.470,7.848,KG,,,2010-06-21,S.KELLER
000000000000100430,NLAG,H,WG-TIER,ST,ALT646952,4083990951770,HE,,,,,,2018-10-04,A.NOWAK
000000000000100431,VERP,H,WG-VERP,ST,ALT192556,4097849849057,HE,10.511,9.461,KG,,,2010-06-21,T.BRANDT
000000000000100432,HAWA,H,WG-TIER,ST,ALT772412,4000966097539,HE,8.038,6.644,KG,,,2026-02-08,M.HOFFMANN
000000000000100433,HAWA,H,WG-KOER,ST,,4087739652829,HE,0.625,0.565,KG,,,2012-08-24,S.KELLER
000000000000100434,NLAG,H,WG-PAPI,ST,ALT533436,4059579234091,HE,,,,,,2010-02-17,M.HOFFMANN
000000000000100435,VERP,H,WG-VERP,ST,,4079318519000,HE,8.025,6.899,KG,,,2009-06-09,T.BRANDT
000000000000100436,ROH,H,WG-ROH,ST,ALT574659,4029627590943,HE,2.916,2.416,KG,,,2025-11-04,BATCHUSER
000000000000100437,HAWA,H,WG-PAPI,ST,,4032200450091,HE,4.881,4.192,KG,,,2025-02-18,A.NOWAK
000000000000100438,ZZZZ,H,WG-TIER,ST,,4066383241283,HE,5.080,4.407,KG,,,2020-10-13,T.BRANDT
000000000000100439,HAWA,H,WG-HAUS,ST,ALT481591,4064768835930,HE,4.995,4.756,KG,,,2013-01-15,T.BRANDT
000000000000100440,HAWA,H,WG-PAPI,ST,ALT290818,4058747593183,HE,1.932,1.811,KG,,,2012-11-11,M.HOFFMANN
000000000000100441,VERP,H,WG-VERP,ST,ALT590595,4064915812970,HE,7.725,6.986,KG,,,2025-09-12,S.KELLER
