MATNR,WERKS,LGORT,LABST,INSME,SPEME,LGPBE,LVORM
000000000000100349,1000,0001,278,0,40,C-09-1,
000000000000100349,1000,0002,402,0,0,C-04-6,
000000000000100349,2000,0001,420,0,0,D-26-5,
000000000000100349,2000,0002,374,0,40,B-01-1,
000000000000100350,2000,0002,770,25,0,B-13-2,
000000000000100351,3000,0001,878,0,40,A-11-7,
000000000000100352,1000,0001,432,0,40,C-28-6,
000000000000100352,1000,0002,650,0,0,D-28-6,
000000000000100352,2000,0001,510,0,0,B-13-8,
000000000000100353,1000,0001,124,0,0,D-07-6,
000000000000100354,1000,0001,834,0,0,D-28-6,
000000000000100354,1000,0002,392,25,0,D-28-2,
000000000000100355,1000,0001,73,0,0,D-01-7,
000000000000100355,1000,0002,437,0,0,C-03-4,
000000000000100356,1000,0001,404,0,0,B-01-6,
000000000000100356,2000,0001,76,0,0,B-09-8,
000000000000100358,1000,0002,704,0,40,B-28-4,
000000000000100359,1000,0001,317,25,0,B-29-1,
000000000000100359,2000,0002,240,0,0,A-01-1,
000000000000100360,2000,0001,372,0,40,B-22-7,
000000000000100360,2000,0002,695,0,40,C-05-1,
000000000000100361,2000,0001,216,0,0,A-18-9,
000000000000100362,2000,0001,625,25,0,D-15-9,
000000000000100362,2000,0002,676,25,40,C-12-1,
000000000000100363,1000,0001,581,25,0,B-09-5,
000000000000100363,1000,0002,508,25,0,D-29-1,
000000000000100365,1000,0001,448,25,0,C-06-6,
000000000000100365,1000,0002,10,0,40,A-20-1,
000000000000100365,2000,0001,847,0,0,C-19-8,
000000000000100365,2000,0002,633,0,0,B-16-1,
000000000000100366,3000,0001,459,0,40,A-04-1,
000000000000100366,3000,0002,168,0,0,D-20-1,
000000000000100367,2000,0001,109,0,0,D-02-6,
000000000000100367,2000,0002,837,0,0,D-13-4,
000000000000100368,1000,0001,333,25,40,C-14-9,
000000000000100369,3000,0002,278,0,0,C-25-3,
000000000000100370,2000,0001,85,0,0,D-22-4,
000000000000100370,2000,0002,107,0,0,D-14-2,
000000000000100372,1000,0002,321,0,0,B-10-5,
000000000000100372,2000,0001,893,0,0,C-24-5,
000000000000100372,2000,0002,149,25,40,B-29-4,
000000000000100373,1000,0001,640,0,40,D-29-7,
000000000000100373,1000,0002,210,0,0,D-02-9,
000000000000100373,2000,0002,523,0,0,C-05-1,
000000000000100374,3000,0001,156,0,0,B-19-6,
000000000000100376,2000,0001,871,0,40,D-14-9,
000000000000100377,2000,0002,622,25,0,B-21-4,
000000000000100379,1000,0001,786,0,0,C-08-1,
000000000000100380,2000,0001,527,25,0,D-12-1,
000000000000100380,2000,0002,348,0,0,B-12-7,
000000000000100381,2000,0001,188,0,0,D-26-5,
000000000000100381,2000,0002,34,25,40,D-21-5,
000000000000100382,3000,0001,307,0,0,B-11-8,
000000000000100382,3000,0002,56,0,40,D-15-7,
000000000000100383,1000,0002,810,0,0,B-12-4,
000000000000100384,1000,0002,832,0,0,A-14-7,
000000000000100384,2000,0001,163,25,0,C-18-1,
000000000000100384,2000,0002,105,25,40,A-21-1,
000000000000100385,1000,0001,561,25,0,D-09-2,
000000000000100385,1000,0002,238,0,0,C-19-6,
000000000000100385,2000,0002,107,0,0,D-29-8,
000000000000100386,1000,0001,229,0,0,A-01-1,
000000000000100387,1000,0001,197,0,40,D-02-6,
000000000000100387,1000,0002,782,0,0,D-21-6,
000000000000100387,3000,0002,361,0,0,B-26-5,
000000000000100388,2000,0001,376,0,0,C-16-5,
000000000000100389,3000,0002,843,0,40,C-04-4,
000000000000100390,1000,0002,184,0,0,D-24-9,
000000000000100390,2000,0001,182,0,0,C-01-4,
000000000000100390,2000,0002,-19,25,0,A-23-7,
000000000000100391,1000,0001,482,0,0,D-12-6,
000000000000100391,2000,0002,551,0,0,D-18-5,
000000000000100392,3000,0002,694,25,40,D-08-1,
000000000000100393,1000,0001,401,25,40,B-27-8,
000000000000100393,1000,0002,696,0,40,D-07-4,
000000000000100393,2000,0001,389,0,0,D-21-8,
000000000000100393,2000,0002,640,0,0,D-29-6,
000000000000100394,1000,0002,549,0,0,A-06-5,
000000000000100394,3000,0001,766,0,0,C-20-6,
000000000000100394,3000,0002,210,0,0,B-10-8,
000000000000100395,2000,0001,854,25,0,D-17-6,
000000000000100396,1000,0002,663,0,40,A-10-5,
000000000000100396,2000,0001,138,0,40,D-01-8,
000000000000100396,2000,0002,251,0,0,B-26-3,
000000000000100398,1000,0002,86,25,40,C-24-2,
000000000000100399,3000,0001,190,0,0,C-19-5,
000000000000100399,3000,0002,119,25,0,D-16-8,
000000000000100400,3000,0001,457,0,0,B-04-2,
000000000000100400,3000,0002,402,0,0,A-24-9,
000000000000100401,3000,0002,824,0,0,D-24-1,
000000000000100402,1000,0001,324,0,0,B-06-2,
000000000000100402,2000,0001,834,25,40,D-01-2,
000000000000100403,1000,0001,770,0,0,D-25-2,
000000000000100404,2000,0002,464,25,0,B-17-8,
000000000000100405,2000,0001,188,0,0,A-11-2,
000000000000100405,2000,0002,670,0,0,D-01-5,
000000000000100406,1000,0002,583,25,0,A-28-8,
000000000000100407,1000,0001,720,0,40,D-13-8,
000000000000100407,1000,0002,342,0,40,B-05-9,
000000000000100408,3000,0001,399,0,0,A-23-9,
000000000000100408,3000,0002,109,0,0,B-27-1,
000000000000100409,1000,0001,180,0,0,C-18-2,
000000000000100409,1000,0002,78,0,0,C-08-3,
000000000000100411,1000,0001,825,25,0,D-23-5,
000000000000100411,1000,0002,630,0,0,B-03-1,
000000000000100411,2000,0001,576,0,0,B-27-2,
000000000000100412,2000,0001,402,0,0,B-14-8,
000000000000100413,2000,0002,585,0,40,B-23-4,
000000000000100414,2000,0002,681,0,0,B-24-7,
000000000000100415,2000,0002,112,0,0,A-19-9,
000000000000100416,1000,0001,427,0,40,C-17-7,
000000000000100416,2000,0002,609,0,0,C-28-1,
000000000000100417,2000,0002,19,0,0,B-03-8,
000000000000100421,1000,0002,507,25,0,A-10-8,
000000000000100422,1000,0001,329,0,0,D-04-5,
000000000000100422,1000,0002,569,25,0,C-09-4,
000000000000100423,2000,0001,340,0,0,B-11-7,
000000000000100423,2000,0002,497,0,0,B-20-1,
000000000000100424,2000,0001,771,25,0,B-04-8,
000000000000100424,2000,0002,225,0,0,C-23-3,
000000000000100425,3000,0001,480,25,0,C-15-4,
000000000000100426,1000,0001,732,0,0,A-09-1,
000000000000100426,1000,0002,448,25,40,C-26-5,
000000000000100427,1000,0002,207,0,40,A-24-9,
000000000000100427,2000,0001,803,25,0,C-28-3,
000000000000100427,2000,0002,888,0,0,C-22-8,
000000000000100428,1000,0001,1,25,0,A-08-6,
000000000000100429,3000,0002,664,25,40,C-27-8,
000000000000100430,1000,0001,69,0,0,A-01-1,
000000000000100431,2000,0001,641,0,40,B-20-7,
000000000000100431,2000,0002,680,0,40,C-29-2,
000000000000100432,1000,0002,659,0,0,B-16-5,
000000000000100432,2000,0002,180,0,0,C-05-1,
000000000000100433,1000,0001,892,0,40,D-25-9,
000000000000100433,2000,0001,115,0,40,C-25-8,
000000000000100435,1000,0002,841,0,0,D-27-5,
000000000000100435,2000,0002,784,0,40,C-18-8,
000000000000100436,3000,0001,511,25,0,B-13-2,
000000000000100436,3000,0002,421,0,0,A-20-4,
000000000000100437,1000,0001,542,0,0,A-10-4,
000000000000100438,1000,0001,164,25,40,D-17-7,
000000000000100438,1000,0002,221,0,40,C-24-3,
000000000000100439,2000,0001,326,0,0,C-07-2,
000000000000100440,2000,0002,425,0,0,B-10-4,
000000000000100441,2000,0002,857,0,0,D-19-8,
000000000000100442,1000,0001,414,0,0,B-16-5,
000000000000100442,1000,0002,208,0,0,D-26-8,
000000000000100444,1000,0001,490,25,40,D-02-5,
000000000000100444,1000,0002,796,0,0,B-26-2,
000000000000100444,2000,0001,886,25,40,D-07-6,
000000000000100445,1000,0002,166,0,0,B-19-2,
000000000000100445,2000,0002,281,0,40,D-11-8,
000000000000100446,1000,0002,21,0,0,B-07-3,
000000000000100446,2000,0001,46,0,40,C-11-1,
000000000000100446,2000,0002,850,25,0,C-09-2,
000000000000100447,2000,0001,158,25,0,D-23-1,
000000000000100447,2000,0002,325,0,0,D-28-2,
000000000000100448,1000,0002,777,0,0,B-04-2,
000000000000100449,3000,0001,865,25,0,D-03-2,
000000000000100449,3000,0002,173,0,0,B-01-8,
000000000000100450,2000,0001,3,0,0,B-03-1,
000000000000100452,3000,0001,602,0,40,C-01-8,
000000000000100452,3000,0002,148,0,0,A-18-3,
000000000000100453,1000,0001,372,25,0,B-04-5,
000000000000100453,1000,0002,462,25,0,D-14-7,
000000000000100453,2000,0002,817,25,0,D-18-8,
000000000000100454,1000,0001,612,0,0,D-19-6,
000000000000100454,1000,0002,516,0,0,D-21-3,
000000000000100455,2000,0002,493,0,40,C-13-5,
000000000000100456,1000,0002,200,0,0,B-29-8,
000000000000100456,2000,0002,866,0,40,C-23-4,
000000000000100457,2000,0002,600,0,0,B-22-1,
000000000000100458,1000,0001,376,25,0,B-20-4,
000000000000100458,1000,0002,847,0,0,B-19-4,
000000000000100459,2000,0001,262,0,0,A-10-2,
000000000000100460,3000,0001,448,0,0,D-12-7,
000000000000100460,3000,0002,502,25,0,D-11-8,
000000000000100461,2000,0001,162,0,0,B-08-7,
000000000000100463,1000,0001,426,0,0,C-26-4,
000000000000100464,1000,0002,350,0,0,C-19-8,
000000000000100465,2000,0001,177,25,0,B-27-1,
000000000000100466,1000,0001,534,0,0,C-17-4,
000000000000100466,1000,0002,690,0,0,B-06-1,
000000000000100466,2000,0001,737,0,0,D-10-8,
000000000000100467,3000,0002,179,0,0,A-04-3,
000000000000100468,2000,0002,581,25,0,A-06-1,
000000000000100469,2000,0002,886,0,0,C-23-6,
000000000000100470,3000,0001,494,0,0,A-20-5,
000000000000100471,2000,0002,242,0,40,A-08-9,
000000000000100472,2000,0001,255,0,0,A-22-7,
000000000000100473,1000,0001,426,0,40,C-03-1,
000000000000100473,2000,0001,44,0,40,C-12-4,
000000000000100473,2000,0002,323,0,0,A-29-1,
000000000000100474,1000,0001,482,0,0,C-22-7,
000000000000100474,1000,0002,667,0,0,D-18-2,
000000000000100474,2000,0001,42,25,0,C-12-7,
000000000000100474,2000,0002,405,0,0,B-02-8,
000000000000100475,2000,0001,71,0,0,C-07-4,
000000000000100475,2000,0002,364,0,0,C-25-5,
000000000000100476,1000,0001,683,0,40,B-27-6,
000000000000100476,1000,0002,385,25,40,C-01-8,
000000000000100476,2000,0002,123,0,0,C-02-4,
000000000000100477,1000,0002,707,25,0,B-05-5,
000000000000100478,3000,0001,498,0,0,D-07-7,
000000000000100479,1000,0001,388,25,0,C-07-2,
000000000000100479,2000,0001,348,0,40,A-13-6,
000000000000100479,2000,0002,373,0,0,A-25-7,
000000000000100480,1000,0001,612,0,0,B-04-5,
000000000000100480,1000,0002,87,0,0,B-16-2,
000000000000100481,1000,0001,136,0,0,B-28-6,
000000000000100481,1000,0002,67,0,0,B-16-8,
000000000000100481,2000,0002,159,0,0,D-06-6,
000000000000100483,2000,0001,13,0,0,D-03-7,
000000000000100484,1000,0001,662,0,0,D-18-3,
000000000000100485,3000,0002,716,0,0,C-24-5,
000000000000100486,3000,0001,233,0,0,D-20-5,
000000000000100486,3000,0002,824,25,0,A-01-2,
000000000000100488,2000,0002,755,0,40,B-17-1,
000000000000100491,2000,0001,403,25,0,B-29-4,
000000000000100492,3000,0001,378,0,0,B-04-4,
000000000000100493,1000,0001,706,0,0,C-27-3,
000000000000100493,3000,0001,523,0,0,A-11-9,
000000000000100493,3000,0002,773,0,0,C-09-3,
000000000000100494,2000,0001,865,0,0,B-22-1,
000000000000100495,1000,0001,459,0,0,C-17-5,
000000000000100495,1000,0002,491,0,0,C-20-1,
000000000000100495,2000,0001,897,0,0,D-06-5,
000000000000100496,3000,0002,789,0,0,A-23-4,
000000000000100497,3000,0001,217,0,40,C-01-7,
000000000000100497,3000,0002,576,25,0,C-25-6,
000000000000100498,1000,0001,871,0,0,B-07-6,
000000000000100499,1000,0001,892,0,0,C-14-4,
000000000000100500,3000,0002,363,0,0,C-21-8,
000000000000100501,3000,0002,229,0,0,A-03-4,
000000000000100503,3000,0001,688,0,0,B-21-4,
000000000000100503,3000,0002,416,25,40,D-16-3,
000000000000100505,3000,0002,465,0,0,A-28-9,
000000000000100508,1000,0002,589,0,0,D-03-6,
000000000000100509,2000,0001,257,0,0,A-21-2,
000000000000100510,1000,0002,232,0,40,B-17-4,
000000000000100510,2000,0002,698,0,0,B-28-7,
000000000000100511,2000,0002,211,25,0,A-08-5,
000000000000100512,1000,0001,41,0,0,D-13-5,
000000000000100512,1000,0002,125,25,0,C-29-5,
000000000000100512,2000,0001,201,25,0,B-07-3,
000000000000100512,2000,0002,339,0,0,C-24-9,
000000000000100513,2000,0001,167,0,0,C-11-1,
000000000000100514,1000,0002,192,25,40,C-03-8,
000000000000100515,1000,0002,808,0,0,D-05-7,
000000000000100515,2000,0002,796,25,0,A-24-2,
000000000000100516,1000,0001,816,25,0,B-05-7,
000000000000100517,1000,0001,663,0,0,A-06-5,
000000000000100517,1000,0002,889,0,0,C-10-6,
000000000000100518,2000,0001,238,25,0,D-11-7,
000000000000100518,2000,0002,680,0,0,C-20-1,
000000000000100521,1000,0002,555,0,0,C-01-5,
000000000000100521,2000,0002,109,0,0,D-22-8,
000000000000100522,3000,0002,217,0,40,D-13-4,
000000000000100523,1000,0001,854,0,0,B-02-8,
000000000000100523,1000,0002,194,25,0,D-07-4,
000000000000100524,2000,0001,129,0,0,C-18-5,
000000000000100524,2000,0002,289,0,40,A-07-9,
000000000000100525,1000,0002,408,25,0,B-03-2,
000000000000100525,2000,0001,96,0,0,B-04-3,
000000000000100526,3000,0001,251,0,40,D-26-5,
000000000000100527,2000,0002,886,0,0,D-19-3,
000000000000100528,2000,0001,884,0,40,D-01-7,
000000000000100530,2000,0002,632,0,0,C-02-9,
000000000000100531,2000,0002,558,0,0,C-16-1,
000000000000100532,1000,0001,69,0,40,B-02-7,
000000000000100532,1000,0002,107,0,0,A-06-3,
000000000000100533,3000,0002,669,0,40,C-05-9,
000000000000100534,1000,0002,480,0,40,C-03-1,
000000000000100534,2000,0001,382,25,0,D-12-4,
000000000000100535,1000,0001,166,0,0,A-01-1,
000000000000100536,1000,0001,828,0,40,D-19-7,
000000000000100536,3000,0001,547,0,0,D-01-5,
000000000000100537,2000,0002,132,0,0,D-06-9,
000000000000100538,2000,0001,649,0,0,C-11-8,
000000000000100539,3000,0001,893,25,0,B-20-1,
000000000000100539,3000,0002,140,0,40,A-25-8,
000000000000100540,1000,0002,231,0,0,B-14-6,
000000000000100540,2000,0002,348,0,0,A-04-3,
000000000000100541,2000,0001,324,25,40,A-28-4,
000000000000100541,2000,0002,40,0,0,D-07-2,
000000000000100542,2000,0002,143,0,0,D-26-1,
000000000000100543,2000,0001,188,0,0,D-05-9,
000000000000100543,2000,0002,526,0,40,D-21-9,
000000000000100544,3000,0001,171,0,0,D-09-9,
000000000000100545,1000,0001,188,25,40,A-28-7,
000000000000100545,3000,0001,473,25,0,D-08-1,
000000000000100545,3000,0002,11,0,0,C-01-5,
000000000000100547,1000,0001,202,0,0,C-10-6,
000000000000100547,1000,0002,283,0,0,D-01-2,
000000000000100548,3000,0001,806,0,0,D-27-3,
000000000000100548,3000,0002,352,25,0,B-22-5,
000000000000100549,1000,0001,304,0,40,C-25-5,
000000000000100549,2000,0001,614,0,0,C-18-8,
000000000000100549,2000,0002,416,0,0,B-09-7,
000000000000100550,2000,0002,20,0,40,B-12-1,
000000000000100551,1000,0001,336,0,0,C-19-8,
000000000000100552,1000,0001,314,0,0,D-18-8,
000000000000100552,1000,0002,806,0,0,B-24-2,
000000000000100552,2000,0001,222,25,0,D-26-7,
000000000000100553,1000,0002,10,0,0,B-11-3,
000000000000100554,1000,0002,839,25,0,A-14-9,
000000000000100554,3000,0001,513,0,40,C-03-8,
000000000000100556,1000,0001,265,0,0,A-17-6,
000000000000100557,3000,0001,757,25,0,C-29-5,
000000000000100558,3000,0001,419,0,40,D-18-3,
000000000000100559,2000,0001,9,25,0,D-05-8,
000000000000100559,2000,0002,128,0,0,C-11-7,
000000000000100560,1000,0001,331,0,40,C-20-5,
000000000000100562,2000,0002,328,0,0,C-12-1,
000000000000100565,1000,0002,870,0,0,D-09-6,
000000000000100565,2000,0001,185,25,40,A-26-3,
000000000000100565,2000,0002,225,0,40,B-04-7,
000000000000100566,1000,0001,872,0,0,B-19-2,
000000000000100566,1000,0002,373,0,40,D-12-1,
000000000000100567,1000,0001,781,25,0,B-22-8,
000000000000100567,1000,0002,543,0,0,B-28-7,
000000000000100567,3000,0001,843,0,0,A-13-9,
000000000000100567,3000,0002,458,0,0,A-29-1,
000000000000100568,1000,0002,237,25,0,A-23-7,
000000000000100568,2000,0001,6,0,0,D-27-4,
000000000000100569,1000,0001,413,0,40,A-03-4,
000000000000100569,1000,0002,295,25,0,C-07-7,
000000000000100570,1000,0002,683,0,0,C-27-7,
000000000000100571,1000,0001,888,25,0,A-13-2,
000000000000100571,2000,0002,651,0,0,B-11-5,
000000000000100572,3000,0001,779,0,0,A-02-5,
000000000000100573,1000,0002,100,0,40,D-08-6,
000000000000100573,2000,0001,813,25,40,A-05-1,
000000000000100574,1000,0001,681,25,0,A-16-9,
000000000000100575,1000,0002,173,0,0,B-09-7,
000000000000100575,2000,0002,635,0,0,B-01-9,
000000000000100576,2000,0002,742,0,40,A-01-5,
000000000000100577,1000,0002,74,0,0,B-24-6,
000000000000100578,1000,0002,146,0,0,D-04-2,
000000000000100578,2000,0001,667,0,40,A-16-8,
000000000000100578,2000,0002,412,0,40,D-05-5,
000000000000100579,1000,0001,253,25,0,C-18-8,
000000000000100579,2000,0001,511,25,0,C-11-6,
000000000000100579,2000,0002,205,0,0,A-03-4,
000000000000100580,1000,0002,237,0,40,C-22-6,
000000000000100580,2000,0002,443,25,40,A-13-5,
000000000000100581,1000,0001,710,25,0,B-05-1,
000000000000100583,3000,0001,71,0,0,C-10-3,
000000000000100584,2000,0002,37,0,0,D-27-2,
000000000000100585,1000,0002,197,0,0,C-28-6,
000000000000100586,1000,0001,810,0,0,C-17-6,
000000000000100586,2000,0001,321,0,0,B-28-2,
000000000000100586,2000,0002,709,25,40,B-19-8,
000000000000100587,1000,0001,477,0,0,C-11-2,
000000000000100587,2000,0001,815,0,0,B-12-2,
000000000000100588,2000,0001,827,0,0,A-10-8,
000000000000100588,2000,0002,21,0,0,D-18-6,
000000000000100589,2000,0002,22,0,0,B-15-3,
000000000000100590,3000,0001,325,0,0,A-20-2,
000000000000100591,2000,0001,788,0,0,D-13-5,
000000000000100592,2000,0001,625,0,0,D-12-9,
000000000000100593,1000,0001,833,0,0,C-03-3,
000000000000100594,3000,0001,873,25,40,B-28-4,
000000000000100594,3000,0002,399,0,0,A-08-3,
000000000000100595,2000,0001,607,25,0,D-03-5,
000000000000100596,3000,0001,867,0,40,A-01-6,
000000000000100597,1000,0001,140,0,0,D-11-3,
000000000000100597,1000,0002,351,0,0,D-05-3,
000000000000100597,2000,0001,711,0,0,A-24-2,
000000000000100597,2000,0002,619,0,0,D-01-9,
000000000000100598,1000,0001,321,0,0,A-24-3,
000000000000100598,1000,0002,400,0,0,B-06-2,
000000000000100598,2000,0002,649,0,0,D-15-9,
000000000000100599,1000,0002,9,0,0,C-07-4,
000000000000100600,1000,0001,691,0,0,C-13-9,
000000000000100600,2000,0001,35,0,0,A-16-6,
000000000000100600,2000,0002,850,25,0,C-13-3,
000000000000100602,3000,0001,125,25,40,B-10-1,
000000000000100603,2000,0001,291,25,0,B-20-8,
000000000000100603,2000,0002,727,25,0,A-23-7,
000000000000100604,3000,0001,83,0,0,D-11-9,
000000000000100604,3000,0002,802,0,40,D-08-6,
000000000000100605,1000,0001,212,0,0,A-26-7,
000000000000100605,2000,0001,515,25,0,D-06-6,
000000000000100605,2000,0002,646,0,0,B-20-8,
000000000000100606,1000,0001,191,0,0,A-01-1,
000000000000100608,1000,0002,657,0,0,A-15-4,
000000000000100608,3000,0001,705,25,40,C-17-1,
000000000000100608,3000,0002,114,25,40,B-23-6,
000000000000100609,1000,0002,848,0,40,D-26-9,
000000000000100609,2000,0001,319,0,0,A-09-2,
000000000000100610,1000,0001,508,0,40,D-23-3,
000000000000100611,1000,0002,16,0,40,A-22-1,
000000000000100611,2000,0002,184,0,0,D-09-1,
000000000000100612,1000,0002,45,0,0,D-25-5,
000000000000100612,2000,0001,538,0,0,C-25-7,
000000000000100614,1000,0001,260,0,40,A-19-6,
000000000000100614,2000,0001,166,0,0,A-21-7,
000000000000100614,2000,0002,271,0,40,A-19-2,
000000000000100615,1000,0001,115,0,0,D-29-3,
000000000000100616,1000,0001,867,0,0,B-02-4,
000000000000100616,1000,0002,120,25,0,A-29-6,
000000000000100616,2000,0002,257,0,0,C-15-4,
000000000000100617,1000,0001,463,25,0,C-23-4,
000000000000100617,1000,0002,437,0,0,C-18-8,
000000000000100618,1000,0001,463,25,0,B-26-1,
000000000000100619,3000,0002,869,0,0,D-24-8,
000000000000100620,1000,0001,632,0,0,B-21-6,
000000000000100621,1000,0002,429,25,0,C-20-3,
000000000000100622,2000,0002,205,0,0,A-07-3,
000000000000100623,1000,0001,879,0,40,D-14-3,
000000000000100623,1000,0002,347,25,0,D-01-3,
000000000000100624,1000,0001,187,0,0,B-27-8,
000000000000100625,1000,0001,501,0,0,A-26-3,
000000000000100626,1000,0001,818,25,0,B-12-9,
000000000000100626,1000,0002,864,25,0,B-07-8,
000000000000100626,2000,0001,406,25,0,B-09-6,
000000000000100627,1000,0001,766,0,0,A-08-9,
000000000000100627,1000,0002,709,25,0,B-07-3,
000000000000100627,2000,0002,716,0,0,A-06-9,
000000000000100628,3000,0001,460,0,0,A-19-3,
000000000000100629,1000,0002,836,0,0,A-22-4,
000000000000100630,2000,0001,401,0,40,B-24-6,
000000000000100631,3000,0001,537,0,0,D-05-9,
000000000000100632,3000,0001,401,0,0,A-18-2,
000000000000100632,3000,0002,624,0,0,B-07-6,
000000000000100633,2000,0001,366,25,0,D-14-8,
000000000000100634,1000,0001,736,25,40,C-26-5,
000000000000100634,3000,0001,555,0,0,C-07-1,
000000000000100634,3000,0002,362,0,0,A-27-5,
000000000000100635,1000,0002,172,0,0,B-03-7,
000000000000100635,2000,0001,380,0,40,D-25-2,
000000000000100635,2000,0002,650,0,0,B-02-1,
000000000000100636,3000,0002,43,0,0,C-27-7,
000000000000100637,2000,0001,85,0,0,C-15-9,
000000000000100637,2000,0002,264,0,0,D-17-1,
000000000000100638,1000,0001,252,25,0,C-07-4,
000000000000100639,1000,0002,680,25,0,A-28-9,
000000000000100640,1000,0002,49,0,0,C-18-8,
000000000000100640,2000,0002,544,0,0,C-01-9,
000000000000100641,1000,0001,767,0,40,C-09-7,
000000000000100641,2000,0001,568,0,0,B-18-6,
000000000000100641,2000,0002,800,0,40,D-25-9,
000000000000100642,3000,0002,264,25,40,C-25-1,
000000000000100643,2000,0001,9,0,0,B-24-3,
000000000000100644,3000,0002,43,0,0,A-16-8,
000000000000100646,1000,0001,219,0,0,D-02-3,
000000000000100646,2000,0001,261,0,40,D-26-3,
000000000000100646,2000,0002,294,0,0,D-25-3,
000000000000100647,3000,0001,886,0,40,A-23-7,
000000000000100647,3000,0002,220,0,0,A-14-7,
000000000000100648,3000,0001,152,25,0,C-14-8,
000000000000100649,1000,0002,764,0,0,B-20-1,
000000000000100649,3000,0001,39,25,40,B-10-8,
000000000000100650,1000,0002,305,0,0,A-11-9,
000000000000100651,1000,0001,825,0,0,D-03-9,
000000000000100651,1000,0002,412,25,0,A-07-4,
000000000000100651,2000,0002,54,0,40,D-03-4,
000000000000100652,1000,0002,282,0,0,A-05-7,
000000000000100652,3000,0001,721,0,40,A-23-3,
000000000000100653,1000,0001,597,0,0,B-26-8,
000000000000100653,1000,0002,509,0,0,A-09-9,
000000000000100653,2000,0001,491,25,40,B-14-5,
000000000000100653,2000,0002,801,0,40,C-20-5,
000000000000100654,1000,0002,837,0,0,C-22-9,
000000000000100655,1000,0001,172,0,0,C-02-9,
000000000000100655,1000,0002,421,25,0,C-17-5,
000000000000100656,2000,0001,590,0,0,C-22-7,
000000000000100656,2000,0002,569,0,0,A-07-1,
000000000000100657,1000,0002,754,0,40,C-18-6,
000000000000100657,2000,0001,428,0,40,A-06-4,
000000000000100658,2000,0002,751,0,40,D-18-7,
000000000000100659,1000,0001,449,0,40,D-03-1,
000000000000100660,1000,0001,537,0,0,D-22-9,
000000000000100662,1000,0001,234,0,0,B-28-2,
000000000000100662,1000,0002,267,0,0,C-19-4,
000000000000100662,2000,0001,204,0,0,A-23-4,
000000000000100662,2000,0002,856,0,0,A-24-5,
000000000000100663,3000,0001,664,0,0,B-11-8,
000000000000100664,2000,0001,442,0,0,C-28-8,
000000000000100664,2000,0002,277,25,0,B-17-9,
000000000000100665,3000,0001,392,0,0,C-02-2,
000000000000100666,1000,0001,844,0,40,D-03-2,
000000000000100666,2000,0002,447,0,40,D-11-9,
000000000000100667,2000,0001,49,0,40,A-25-5,
000000000000100668,1000,0001,603,0,0,A-14-1,
000000000000100669,2000,0001,213,25,0,D-05-4,
000000000000100669,2000,0002,-37,25,0,B-09-9,
000000000000100670,3000,0001,573,25,0,D-19-6,
000000000000100670,3000,0002,688,0,0,D-16-2,
000000000000100671,1000,0001,163,0,0,A-02-3,
000000000000100671,1000,0002,301,0,0,C-10-8,
000000000000100671,3000,0001,258,25,0,B-03-9,
000000000000100672,3000,0002,869,0,40,B-17-8,
000000000000100673,1000,0001,297,0,0,A-08-9,
000000000000100674,1000,0002,840,0,40,C-24-4,
000000000000100674,2000,0001,574,0,0,A-17-4,
000000000000100675,1000,0001,768,25,40,C-02-6,
000000000000100675,2000,0001,297,0,0,A-02-7,
000000000000100675,2000,0002,153,0,0,D-27-1,
000000000000100676,2000,0002,167,25,40,D-12-8,
000000000000100677,1000,0001,205,0,40,C-28-1,
000000000000100677,1000,0002,863,0,40,C-12-5,
000000000000100677,2000,0002,818,0,0,B-24-8,
000000000000100678,3000,0001,178,25,0,D-20-7,
000000000000100678,3000,0002,-24,25,40,B-02-3,
000000000000100679,2000,0001,885,25,0,D-25-4,
000000000000100680,2000,0002,506,0,0,A-13-6,
000000000000100681,1000,0001,856,0,0,C-01-9,
000000000000100681,1000,0002,765,0,40,D-24-8,
000000000000100681,2000,0001,300,25,0,D-22-1,
000000000000100681,2000,0002,419,0,0,A-25-2,
000000000000100682,2000,0002,809,25,40,D-04-7,
000000000000100683,2000,0002,232,0,0,C-26-6,
000000000000100685,2000,0002,153,25,0,C-17-4,
000000000000100686,1000,0001,21,0,0,B-25-2,
000000000000100686,1000,0002,185,25,0,B-15-5,
000000000000100686,2000,0001,564,0,0,C-04-2,
000000000000100687,2000,0001,860,0,0,C-08-2,
000000000000100688,3000,0001,569,0,0,A-02-9,
000000000000100689,1000,0001,37,0,40,C-27-5,
000000000000100690,3000,0002,618,25,40,A-26-1,
000000000000100691,1000,0001,381,0,0,C-09-1,
000000000000100691,2000,0001,774,0,0,D-06-7,
000000000000100691,2000,0002,693,0,40,C-24-3,
000000000000100692,2000,0001,155,0,0,D-18-3,
000000000000100692,2000,0002,329,25,0,C-13-9,
000000000000100693,1000,0002,780,0,0,A-13-2,
000000000000100693,2000,0001,689,25,0,B-09-3,
000000000000100693,2000,0002,195,0,0,A-08-5,
000000000000100694,1000,0002,217,25,0,A-21-4,
000000000000100695,1000,0001,137,0,0,D-10-9,
000000000000100695,1000,0002,260,0,0,D-10-3,
000000000000100695,2000,0001,181,0,40,B-28-4,
000000000000100696,1000,0001,410,0,40,D-04-8,
000000000000100696,1000,0002,527,25,0,A-29-4,
