MATNR,VKORG,VTWEG,DWERK,VERSG,KONDM,KTGRM,MTPOS,MVGR1,LVORM
000000000000100480,S100,10,1000,1,01,01,NORM,B1,
000000000000100480,S200,10,1000,1,01,03,NORM,A2,
000000000000100481,S300,20,2000,1,01,01,NORM,A2,
000000000000100482,S100,20,1000,1,01,03,NORM,A1,
000000000000100482,S200,20,1000,1,01,03,NORM,A2,
000000000000100483,S200,20,2000,1,01,01,NORM,B1,
000000000000100484,S200,10,1000,1,01,03,NORM,A2,
000000000000100487,S100,10,1000,1,01,,NORM,A2,
000000000000100489,S100,10,,1,01,03,DIEN,,
000000000000100490,S100,20,1000,1,01,01,NORM,A2,
000000000000100490,S200,10,1000,1,01,03,NORM,A1,
000000000000100491,S100,20,2000,1,01,03,NORM,A1,
000000000000100491,S300,20,2000,1,01,01,NORM,A1,
000000000000100493,S200,20,3000,1,01,03,NORM,B1,
000000000000100493,S300,10,3000,1,01,01,NORM,A2,
000000000000100494,S200,20,2000,1,01,01,NORM,A2,
000000000000100495,S300,10,2000,1,01,01,NORM,B1,
000000000000100496,S200,20,3000,1,01,03,NORM,,
000000000000100499,S300,20,1000,1,01,03,NORM,,
000000000000100502,S100,10,,1,01,03,DIEN,,
000000000000100503,S200,10,3000,1,01,,NORM,A1,
000000000000100503,S300,20,3000,1,01,01,NORM,,
000000000000100504,S200,10,1000,1,01,03,NORM,A2,
000000000000100505,S300,10,3000,1,01,03,NORM,A2,
000000000000100506,S100,10,1000,1,01,01,NORM,B1,
000000000000100508,S100,20,1000,1,01,03,NORM,B1,
000000000000100509,S200,20,2000,1,01,01,NORM,,
000000000000100509,S300,10,2000,1,01,01,NORM,,
000000000000100510,S200,20,1000,1,01,03,NORM,A1,
000000000000100511,S100,20,2000,1,01,01,NORM,B1,
000000000000100512,S100,10,1000,1,01,03,NORM,A2,
000000000000100513,S200,20,2000,1,01,03,NORM,B1,
000000000000100514,S100,20,1000,1,01,03,NORM,A1,
000000000000100515,S100,20,1000,1,01,01,NORM,,
000000000000100516,S200,20,1000,1,01,03,NORM,A1,
000000000000100517,S300,10,1000,1,01,01,NORM,A2,
000000000000100518,S200,20,2000,1,01,03,NORM,,
000000000000100518,S300,20,2000,1,01,03,NORM,A2,
000000000000100519,S200,20,1000,1,01,01,NORM,,
000000000000100519,S300,20,1000,1,01,01,NORM,A1,
000000000000100520,S200,10,2000,1,01,03,NORM,B1,
000000000000100521,S300,20,2000,1,01,03,NORM,A1,
000000000000100522,S200,10,3000,1,01,03,NORM,B1,
000000000000100522,S300,20,3000,1,01,03,NORM,A2,
000000000000100524,S100,20,2000,1,01,03,NORM,B1,
000000000000100528,S100,20,2000,1,01,03,NORM,B1,
000000000000100530,S200,20,2000,1,01,03,NORM,A2,
000000000000100531,S300,10,2000,1,01,01,NORM,B1,
000000000000100532,S300,10,1000,1,01,03,NORM,B1,
000000000000100534,S100,10,2000,1,01,03,NORM,,
000000000000100534,S200,10,2000,1,01,01,NORM,B1,
000000000000100535,S200,10,,1,01,03,DIEN,,
000000000000100536,S100,10,3000,1,01,01,NORM,A1,
000000000000100537,S100,20,2000,1,01,03,NORM,B1,
000000000000100537,S300,20,2000,1,01,03,NORM,B1,
000000000000100538,S100,20,2000,1,01,01,NORM,B1,
000000000000100538,S200,10,2000,1,01,03,NORM,A1,
000000000000100540,S100,10,1000,1,01,01,NORM,B1,
000000000000100540,S200,20,1000,1,01,01,NORM,,
000000000000100541,S100,10,2000,1,01,03,NORM,,
000000000000100541,S300,10,2000,1,01,03,NORM,B1,
000000000000100542,S200,20,2000,1,01,01,NORM,,
000000000000100542,S300,20,2000,1,01,03,NORM,,
000000000000100543,S100,10,2000,1,01,01,NORM,,
000000000000100545,S200,10,3000,1,01,03,NORM,A2,
000000000000100546,S200,10,,1,01,03,DIEN,,
000000000000100547,S200,10,1000,1,01,03,NORM,B1,
000000000000100549,S200,20,1000,1,01,03,NORM,,
000000000000100549,S300,10,1000,1,01,01,NORM,B1,
000000000000100550,S100,20,2000,1,01,03,NORM,A1,
000000000000100550,S300,20,2000,1,01,01,NORM,A2,
000000000000100551,S200,10,1000,1,01,03,NORM,A1,
000000000000100551,S300,20,1000,1,01,01,NORM,,
000000000000100552,S100,20,1000,1,01,01,NORM,A2,
000000000000100554,S100,20,3000,1,01,03,NORM,B1,
000000000000100555,S300,10,2000,1,01,01,NORM,A1,
000000000000100556,S200,10,1000,1,01,01,NORM,A1,
000000000000100559,S300,20,2000,1,01,03,NORM,B1,
000000000000100561,S200,10,,1,01,03,DIEN,,
000000000000100563,S300,10,2000,1,01,01,NORM,,
000000000000100564,S200,10,,1,01,03,DIEN,,
000000000000100565,S100,20,1000,1,01,01,NORM,,
000000000000100565,S200,10,1000,1,01,03,NORM,B1,
000000000000100566,S100,10,1000,1,01,03,NORM,A1,
000000000000100567,S200,20,9999,1,01,01,NORM,A2,
000000000000100570,S200,20,1000,1,01,03,NORM,A1,
000000000000100570,S300,10,1000,1,01,03,NORM,A2,
000000000000100571,S200,20,2000,1,01,01,NORM,A1,
000000000000100571,S300,10,2000,1,01,01,NORM,B1,
000000000000100572,S300,20,3000,1,01,01,NORM,B1,
000000000000100574,S200,10,1000,1,01,03,NORM,B1,
000000000000100575,S100,10,2000,1,01,03,NORM,,
000000000000100576,S100,20,2000,1,01,01,NORM,A2,
000000000000100577,S200,20,1000,1,01,03,NORM,A2,
000000000000100578,S100,20,1000,1,01,03,NORM,A1,
000000000000100579,S200,10,1000,1,01,01,NORM,B1,
000000000000100579,S300,10,1000,1,01,01,NORM,A1,
000000000000100580,S300,10,1000,1,01,03,NORM,B1,
000000000000100581,S200,20,1000,1,01,,NORM,A1,
000000000000100584,S100,10,2000,1,01,03,NORM,B1,
000000000000100585,S200,20,1000,1,01,03,NORM,A1,
000000000000100585,S300,10,1000,1,01,01,NORM,,
000000000000100586,S200,20,2000,1,01,03,NORM,B1,
000000000000100586,S300,20,2000,1,01,03,NORM,,
000000000000100587,S100,20,1000,1,01,01,NORM,,
000000000000100587,S300,20,1000,1,01,01,NORM,,
000000000000100588,S100,20,2000,1,01,03,NORM,B1,
000000000000100588,S300,10,2000,1,01,03,NORM,B1,
000000000000100589,S100,10,2000,1,01,03,NORM,B1,
000000000000100592,S200,20,2000,1,01,03,NORM,,
000000000000100593,S100,20,1000,1,01,01,NORM,A2,
000000000000100593,S300,20,1000,1,01,03,NORM,,
000000000000100595,S300,20,2000,1,01,03,NORM,B1,
000000000000100597,S200,20,1000,1,01,01,NORM,,
000000000000100598,S100,10,1000,1,01,03,NORM,,
000000000000100599,S200,20,1000,1,01,03,NORM,,
000000000000100600,S100,20,1000,1,01,03,NORM,A1,
000000000000100600,S200,10,1000,1,01,03,NORM,B1,
000000000000100603,S300,20,2000,1,01,03,NORM,A2,
000000000000100604,S100,10,3000,1,01,01,NORM,A2,
000000000000100604,S300,20,3000,1,01,03,NORM,A1,
000000000000100606,S300,10,,1,01,03,DIEN,,
000000000000100607,S100,10,,1,01,03,DIEN,,
000000000000100608,S200,10,3000,1,01,03,NORM,B1,
000000000000100610,S200,10,1000,1,01,01,NORM,A1,
000000000000100610,S300,10,1000,1,01,03,NORM,,
000000000000100611,S100,10,2000,1,01,01,NORM,,
000000000000100612,S100,20,2000,1,01,03,NORM,A1,
000000000000100612,S300,20,2000,1,01,01,NORM,A1,
000000000000100613,S100,10,,1,01,03,DIEN,,
000000000000100614,S100,10,1000,1,01,03,NORM,A2,
000000000000100615,S300,20,1000,1,01,01,NORM,,
000000000000100616,S200,20,1000,1,01,01,NORM,A2,
000000000000100617,S100,10,1000,1,01,03,NORM,,
000000000000100620,S200,20,1000,1,01,03,NORM,B1,
000000000000100621,S200,10,1000,1,01,01,NORM,B1,
000000000000100622,S200,10,2000,1,01,03,NORM,A2,
000000000000100623,S100,20,1000,1,01,03,NORM,B1,
000000000000100623,S300,20,1000,1,01,01,NORM,,
000000000000100624,S100,20,1000,1,01,01,,A2,
000000000000100624,S300,10,1000,1,01,01,NORM,B1,
000000000000100625,S200,20,1000,1,01,03,NORM,A2,
000000000000100626,S200,20,2000,1,01,01,NORM,A1,
000000000000100626,S300,20,2000,1,01,03,NORM,B1,
000000000000100627,S200,10,1000,1,01,01,NORM,,
000000000000100627,S300,10,1000,1,01,03,NORM,A2,
000000000000100629,S200,10,1000,1,01,01,NORM,,
000000000000100630,S100,20,2000,1,01,01,NORM,B1,
000000000000100633,S100,10,2000,1,01,03,NORM,A2,
000000000000100633,S300,10,2000,1,01,01,NORM,A1,
000000000000100634,S100,10,3000,1,01,03,NORM,A1,
000000000000100634,S300,20,3000,1,01,01,NORM,B1,
000000000000100636,S100,20,3000,1,01,03,NORM,,
000000000000100636,S300,20,3000,1,01,01,NORM,A1,
000000000000100638,S300,20,1000,1,01,01,NORM,,
000000000000100639,S100,10,1000,1,01,03,NORM,A2,
000000000000100639,S300,10,1000,1,01,03,NORM,A1,
000000000000100640,S100,10,1000,1,01,01,NORM,A1,
000000000000100641,S100,20,1000,1,01,01,NORM,A2,
000000000000100641,S200,20,1000,1,01,03,,A1,
000000000000100645,S200,10,,1,01,03,DIEN,,
000000000000100646,S200,10,2000,1,01,03,NORM,A1,
000000000000100649,S100,20,3000,1,01,03,NORM,,
000000000000100649,S300,20,3000,1,01,03,NORM,A2,
000000000000100651,S300,20,2000,1,01,01,NORM,B1,
000000000000100652,S200,10,3000,1,01,01,NORM,,
000000000000100652,S300,20,3000,1,01,03,NORM,B1,
000000000000100653,S100,10,2000,1,01,01,NORM,B1,
000000000000100653,S300,10,2000,1,01,03,NORM,A2,
000000000000100654,S200,10,1000,1,01,03,NORM,A1,
000000000000100654,S300,20,1000,1,01,01,NORM,A1,
000000000000100655,S100,20,1000,1,01,03,NORM,A1,
000000000000100656,S200,20,2000,1,01,01,,A1,
000000000000100657,S100,10,2000,1,01,01,NORM,A1,
000000000000100657,S300,10,2000,1,01,03,NORM,A1,
000000000000100658,S300,20,2000,1,01,03,NORM,A1,
000000000000100660,S200,20,1000,1,01,01,NORM,B1,
000000000000100661,S200,20,2000,1,01,01,NORM,B1,
000000000000100662,S300,20,1000,1,01,01,NORM,,
000000000000100664,S100,10,2000,1,01,01,NORM,,
000000000000100664,S200,20,2000,1,01,01,NORM,B1,
000000000000100665,S300,20,3000,1,01,01,NORM,A1,
000000000000100666,S200,10,2000,1,01,03,NORM,A1,
000000000000100667,S300,20,2000,1,01,01,NORM,B1,
000000000000100671,S300,10,3000,1,01,03,NORM,A2,
000000000000100674,S100,20,1000,1,01,03,NORM,A1,
000000000000100675,S100,10,2000,1,01,03,NORM,A1,
000000000000100675,S300,10,2000,1,01,03,NORM,A1,
000000000000100677,S300,20,1000,1,01,01,NORM,A1,
000000000000100679,S200,20,2000,1,01,01,NORM,,
000000000000100680,S100,10,2000,1,01,03,NORM,A1,
000000000000100682,S100,20,2000,1,01,01,NORM,B1,
000000000000100683,S300,10,2000,1,01,03,NORM,B1,
000000000000100684,S300,10,1000,1,01,03,NORM,A1,
000000000000100685,S200,20,2000,1,01,03,NORM,B1,
000000000000100686,S100,10,1000,1,01,03,NORM,B1,
000000000000100686,S300,10,1000,1,01,01,NORM,A2,
000000000000100687,S200,20,2000,1,01,03,NORM,A1,
000000000000100689,S100,10,1000,1,01,01,NORM,A1,
000000000000100689,S300,10,1000,1,01,01,NORM,B1,
000000000000100691,S300,10,1000,1,01,01,NORM,A2,
000000000000100692,S100,10,2000,1,01,01,NORM,,
000000000000100693,S100,20,1000,1,01,03,NORM,,
000000000000100693,S200,20,1000,1,01,01,NORM,B1,
000000000000100694,S200,10,1000,1,01,03,NORM,A2,
000000000000100695,S300,10,1000,1,01,03,NORM,,
000000000000100696,S200,20,2000,1,01,03,NORM,,
000000000000100697,S100,10,3000,1,01,03,NORM,B1,
000000000000100698,S200,20,1000,1,01,03,NORM,A1,
000000000000100698,S300,20,1000,1,01,03,NORM,A1,
000000000000100699,S200,10,2000,1,01,03,NORM,A1,
000000000000100700,S100,20,2000,1,01,01,NORM,A1,
000000000000100700,S300,10,2000,1,01,01,NORM,,
000000000000100701,S100,10,2000,1,01,01,,B1,
000000000000100702,S200,20,2000,1,01,01,NORM,A1,
000000000000100703,S200,20,2000,1,01,01,NORM,A2,
000000000000100703,S300,10,2000,1,01,03,NORM,,
000000000000100704,S100,20,1000,1,01,01,NORM,A2,
000000000000100704,S200,10,1000,1,01,03,NORM,A1,
000000000000100705,S100,20,1000,1,01,01,NORM,,
000000000000100706,S100,20,1000,1,01,01,NORM,,
000000000000100706,S200,10,1000,1,01,01,NORM,B1,
000000000000100707,S100,20,2000,1,01,03,NORM,A2,
000000000000100709,S100,10,2000,1,01,03,NORM,A2,
000000000000100709,S200,20,2000,1,01,01,NORM,B1,
000000000000100710,S200,10,1000,1,01,03,NORM,A1,
000000000000100711,S200,20,1000,1,01,01,NORM,B1,
000000000000100712,S200,20,1000,1,01,01,NORM,A2,
000000000000100713,S100,10,1000,1,01,01,NORM,B1,
000000000000100714,S200,10,1000,1,01,03,NORM,B1,
000000000000100715,S200,20,2000,1,01,03,NORM,,
000000000000100716,S100,20,2000,1,01,03,NORM,,
000000000000100716,S300,10,2000,1,01,01,NORM,,
000000000000100717,S300,20,3000,1,01,03,NORM,,
000000000000100718,S100,10,2000,1,01,03,NORM,A2,
000000000000100719,S300,10,,1,01,03,DIEN,,
000000000000100720,S100,10,1000,1,01,01,NORM,A1,
000000000000100721,S100,10,2000,1,01,03,NORM,A2,
000000000000100721,S200,10,2000,1,01,01,NORM,A1,
000000000000100722,S300,20,2000,1,01,01,NORM,A1,
000000000000100724,S100,10,,1,01,03,DIEN,,
000000000000100725,S100,20,3000,1,01,01,NORM,A1,
000000000000100725,S300,10,3000,1,01,01,NORM,,
000000000000100726,S300,20,2000,1,01,01,NORM,B1,
000000000000100727,S200,10,2000,1,01,01,NORM,,
000000000000100728,S100,20,2000,1,01,01,NORM,A1,
000000000000100728,S200,20,2000,1,01,03,NORM,A2,
000000000000100729,S200,20,1000,1,01,01,NORM,,
000000000000100732,S200,10,2000,1,01,03,NORM,B1,
000000000000100733,S300,20,1000,1,01,03,NORM,A2,
000000000000100734,S100,10,2000,1,01,03,NORM,A1,
000000000000100735,S300,10,1000,1,01,01,NORM,B1,
000000000000100736,S200,20,3000,1,01,03,NORM,A1,
000000000000100737,S100,20,2000,1,01,01,NORM,A1,
000000000000100737,S200,10,2000,1,01,03,NORM,,
000000000000100739,S200,10,1000,1,01,01,NORM,A1,
000000000000100742,S300,10,1000,1,01,03,NORM,A2,
000000000000100744,S200,10,2000,1,01,03,NORM,A1,
000000000000100745,S100,20,3000,1,01,01,NORM,,
000000000000100745,S200,20,3000,1,01,01,NORM,B1,
000000000000100747,S100,10,2000,1,01,03,NORM,,
000000000000100748,S100,10,,1,01,03,DIEN,,
000000000000100750,S200,10,2000,1,01,03,NORM,A2,
000000000000100750,S300,10,2000,1,01,01,NORM,B1,
000000000000100751,S300,20,1000,1,01,03,NORM,A2,
000000000000100752,S200,10,,1,01,03,DIEN,,
000000000000100753,S100,10,2000,1,01,03,NORM,,
000000000000100753,S200,10,2000,1,01,01,NORM,A2,
000000000000100754,S200,10,,1,01,03,DIEN,,
000000000000100755,S100,20,1000,1,01,03,NORM,A2,
000000000000100756,S100,10,2000,1,01,03,NORM,,
000000000000100757,S300,20,1000,1,01,03,NORM,,
000000000000100758,S200,20,9999,1,01,01,NORM,A1,
000000000000100758,S300,20,9999,1,01,01,NORM,B1,
000000000000100761,S100,20,2000,1,01,01,NORM,A2,
000000000000100762,S300,20,1000,1,01,01,NORM,A2,
000000000000100765,S300,20,1000,1,01,03,NORM,,
000000000000100766,S100,20,1000,1,01,03,NORM,B1,
000000000000100767,S200,10,2000,1,01,03,NORM,,
000000000000100767,S300,20,2000,1,01,03,NORM,,
000000000000100768,S100,10,1000,1,01,01,NORM,A2,
000000000000100769,S200,20,2000,1,01,03,NORM,,
000000000000100770,S100,10,2000,1,01,03,NORM,B1,
000000000000100770,S300,10,2000,1,01,01,NORM,B1,
000000000000100771,S200,10,1000,1,01,03,NORM,B1,
000000000000100772,S200,10,2000,1,01,01,NORM,A2,
000000000000100772,S300,20,2000,1,01,01,NORM,A1,
000000000000100773,S200,10,,1,01,03,DIEN,,
000000000000100775,S300,20,2000,1,01,03,NORM,A2,
000000000000100776,S300,20,2000,1,01,01,NORM,B1,
000000000000100777,S200,10,2000,1,01,01,NORM,,
000000000000100778,S100,20,1000,1,01,03,NORM,,
000000000000100780,S100,10,2000,1,01,03,NORM,A2,
000000000000100781,S100,20,3000,1,01,01,NORM,A1,
000000000000100782,S100,20,2000,1,01,01,NORM,,
000000000000100782,S200,10,2000,1,01,01,NORM,,
000000000000100783,S200,10,2000,1,01,01,NORM,A1,
000000000000100784,S200,20,1000,1,01,01,NORM,B1,
000000000000100786,S200,10,2000,1,01,01,NORM,A2,
000000000000100788,S200,10,1000,1,01,03,NORM,B1,
000000000000100788,S300,10,1000,1,01,01,NORM,B1,
000000000000100789,S100,10,3000,1,01,03,NORM,A1,
000000000000100790,S200,10,1000,1,01,01,NORM,,
000000000000100790,S300,20,1000,1,01,01,NORM,,
000000000000100791,S300,20,3000,1,01,01,NORM,B1,
000000000000100792,S100,20,1000,1,01,01,NORM,B1,
000000000000100793,S300,10,2000,1,01,01,NORM,B1,
000000000000100794,S100,20,1000,1,01,03,NORM,A2,
000000000000100794,S300,20,1000,1,01,01,NORM,A2,
000000000000100795,S200,20,2000,1,01,01,NORM,,
000000000000100795,S300,20,2000,1,01,01,NORM,A2,
000000000000100797,S100,20,3000,1,01,01,NORM,A2,
000000000000100799,S200,10,3000,1,01,01,NORM,A1,
000000000000100800,S300,10,3000,1,01,03,NORM,A2,
000000000000100801,S100,10,1000,1,01,03,NORM,B1,
000000000000100801,S300,10,1000,1,01,01,NORM,A1,
000000000000100805,S100,20,2000,1,01,01,NORM,A2,
000000000000100806,S100,10,2000,1,01,01,NORM,,
000000000000100806,S200,10,2000,1,01,03,NORM,,
000000000000100809,S100,10,2000,1,01,03,NORM,,
000000000000100809,S300,20,2000,1,01,01,NORM,A2,
000000000000100810,S200,10,2000,1,01,01,NORM,,
000000000000100811,S100,10,1000,1,01,03,NORM,A1,
000000000000100813,S100,10,2000,1,01,03,NORM,B1,
000000000000100813,S300,10,2000,1,01,03,NORM,A2,
000000000000100814,S200,20,1000,1,01,01,NORM,,
000000000000100815,S200,10,2000,1,01,03,NORM,A1,
000000000000100816,S300,10,2000,1,01,03,NORM,B1,
000000000000100817,S100,10,1000,1,01,01,NORM,,
000000000000100817,S300,20,1000,1,01,03,NORM,A1,
000000000000100819,S100,20,1000,1,01,01,NORM,B1,
000000000000100821,S200,20,2000,1,01,03,NORM,B1,
000000000000100822,S100,20,2000,1,01,01,NORM,A1,
000000000000100823,S200,20,1000,1,01,03,NORM,A1,
000000000000100823,S300,20,1000,1,01,03,NORM,B1,
000000000000100824,S300,20,1000,1,01,01,NORM,B1,
000000000000100825,S300,10,1000,1,01,03,NORM,A2,
