MATNR,WERKS,EKGRP,DISPO,DISMM,BESKZ,PLIFZ,EISBE,MINBE,MAABC,MMSTA,LVORM
000000000000100386,1000,E03,102,PD,F,15,255,250,A,,
000000000000100386,2000,E03,301,PD,F,5,145,0,B,,
000000000000100387,1000,,102,PD,E,0,245,100,A,,
000000000000100387,3000,,201,VB,E,0,375,250,B,,
000000000000100388,2000,E10,301,PD,F,5,47,50,B,,
000000000000100389,3000,,102,PD,E,0,183,0,B,,
000000000000100390,1000,E02,301,PD,F,6,326,100,A,,
000000000000100390,2000,E01,301,PD,F,13,231,0,A,,
000000000000100391,1000,E10,102,VB,F,12,225,250,C,,
000000000000100391,2000,E02,201,PD,F,20,170,100,C,,
000000000000100392,3000,E10,201,PD,F,8,282,50,A,,
000000000000100393,1000,E03,101,PD,F,12,55,250,A,,
000000000000100393,2000,E01,201,VB,F,11,349,100,C,,
000000000000100394,1000,,301,VB,E,0,57,0,B,,
000000000000100394,3000,,201,VB,E,0,32,100,A,,
000000000000100395,2000,E01,101,ND,F,8,117,250,A,,
000000000000100396,1000,E03,102,PD,F,12,136,0,A,,
000000000000100396,2000,E01,201,PD,F,11,-47,0,B,,
000000000000100398,1000,E10,301,PD,F,6,118,250,A,,
000000000000100399,3000,,101,PD,E,0,228,0,B,,
000000000000100400,3000,,101,ND,E,0,353,50,C,,
000000000000100401,3000,,301,PD,E,0,180,250,B,,
000000000000100402,1000,E02,201,PD,F,4,286,0,C,,
000000000000100402,2000,E02,101,PD,F,20,253,250,B,,
000000000000100403,1000,E03,201,PD,F,7,25,0,B,,
000000000000100404,2000,E01,201,ND,F,17,211,100,A,,
000000000000100405,2000,E03,102,ND,F,19,253,250,C,,
000000000000100406,1000,E03,201,PD,F,7,121,0,A,,
000000000000100407,1000,E10,102,PD,F,13,328,0,A,,
000000000000100408,3000,E03,201,ND,F,13,399,100,B,,
000000000000100409,1000,E10,101,PD,F,17,55,250,C,,
000000000000100411,1000,E01,301,PD,F,18,241,0,C,,
000000000000100411,2000,E10,301,PD,F,8,395,100,B,,
000000000000100412,2000,E10,101,PD,F,18,305,100,A,,
000000000000100413,2000,E02,102,VB,F,21,242,0,C,,
000000000000100414,2000,E01,102,PD,F,18,243,0,B,,
000000000000100415,2000,E01,101,VB,F,14,191,0,B,,
000000000000100416,1000,E01,101,VB,F,17,21,250,A,,
000000000000100416,2000,E03,101,PD,F,2,171,50,A,,
000000000000100417,2000,E03,301,PD,F,8,141,0,C,,
000000000000100418,1000,E02,101,PD,F,12,96,0,C,,
000000000000100421,1000,E02,301,PD,F,10,171,100,C,,
000000000000100422,1000,E03,301,ND,F,5,225,0,C,,
000000000000100423,2000,E03,301,VB,F,21,333,0,A,,
000000000000100424,2000,E10,301,PD,F,3,128,50,A,,
000000000000100425,3000,,101,PD,E,0,100,0,A,,
000000000000100426,1000,E02,101,PD,F,3,162,0,B,,
000000000000100427,1000,E10,201,PD,F,9,33,0,C,,
000000000000100427,2000,E03,201,PD,F,18,209,250,B,,
000000000000100428,1000,E02,301,VB,F,15,291,50,A,,
000000000000100429,3000,,301,VB,E,0,396,100,C,,
000000000000100430,2000,E03,301,ND,F,7,105,0,C,,
000000000000100431,2000,E10,301,ND,F,6,125,0,A,,
000000000000100432,1000,E01,301,PD,F,17,29,100,B,,
000000000000100432,2000,E10,301,ND,F,9,211,0,B,,
000000000000100433,1000,E01,102,PD,F,6,333,0,B,,
000000000000100433,2000,E02,101,PD,F,12,264,0,B,,
000000000000100434,1000,E10,301,PD,F,12,289,50,A,,
000000000000100435,1000,E10,102,PD,F,4,370,0,B,,
000000000000100435,2000,E01,102,ND,F,21,17,100,B,,
000000000000100436,3000,E02,101,VB,F,5,117,100,A,,
000000000000100437,1000,E01,301,ND,F,12,204,0,B,,
000000000000100438,1000,E10,201,ND,F,17,335,250,C,,
000000000000100439,2000,E01,101,PD,F,4,66,0,B,,
000000000000100440,2000,E03,101,PD,F,15,291,100,A,,
000000000000100441,2000,E03,301,PD,F,12,19,0,A,,
000000000000100442,1000,E03,101,ND,F,16,192,0,A,,
000000000000100443,2000,E03,201,ND,F,18,120,250,C,,
000000000000100444,1000,E03,201,ND,F,12,166,0,A,,
000000000000100444,2000,E10,201,VB,F,14,318,0,B,,
000000000000100445,1000,E01,102,PD,F,2,13,0,C,,
000000000000100445,2000,E01,201,VB,F,15,49,0,A,,
000000000000100446,1000,E03,201,VB,F,21,253,250,C,,
000000000000100446,2000,E01,201,ND,F,10,76,100,B,,
000000000000100447,2000,E10,101,PD,F,7,270,250,B,,
000000000000100448,1000,E01,102,ND,F,18,222,100,A,,
000000000000100449,3000,E03,102,ND,F,10,222,0,A,,
000000000000100450,2000,E02,102,PD,F,18,9,50,B,,
000000000000100452,3000,E02,301,,F,9,121,50,C,,
000000000000100453,1000,E10,101,PD,F,2,47,0,C,,
000000000000100453,2000,E01,301,PD,F,18,102,250,C,,
000000000000100454,1000,E03,101,ND,F,14,60,0,C,,
000000000000100455,2000,E01,301,VB,F,15,34,0,A,,
000000000000100456,1000,E03,201,PD,F,17,111,250,A,,
000000000000100456,2000,E03,301,VB,F,18,85,50,C,,
000000000000100457,2000,E03,301,PD,F,5,387,100,A,,
000000000000100458,1000,E02,201,PD,F,15,313,0,C,,
000000000000100459,2000,E10,102,ND,F,10,43,0,B,,
000000000000100460,3000,E10,102,PD,F,18,364,0,A,,
000000000000100461,2000,E01,301,ND,F,20,336,100,B,,
000000000000100463,1000,E10,301,ND,F,21,93,250,A,,
000000000000100464,1000,E03,102,VB,F,11,228,50,A,,
000000000000100465,2000,,102,VB,F,18,224,0,C,,
000000000000100466,1000,E02,102,VB,F,9,338,0,B,,
000000000000100466,2000,E10,301,ND,F,4,266,0,A,,
000000000000100468,2000,E10,102,PD,F,9,114,100,B,,
000000000000100469,2000,E01,102,VB,F,2,330,0,A,,
000000000000100470,3000,E10,201,VB,F,7,1,50,C,,
000000000000100471,2000,E01,101,PD,F,5,249,100,A,,
000000000000100472,2000,E03,201,PD,F,17,17,50,B,,
000000000000100473,1000,E02,201,PD,F,21,312,0,A,,
000000000000100473,2000,E03,102,PD,F,11,134,100,C,,
000000000000100474,1000,E03,101,VB,F,16,64,250,A,,
000000000000100474,2000,E02,101,PD,F,15,98,50,C,,
000000000000100475,2000,E03,301,VB,F,10,43,0,C,,
000000000000100476,1000,E01,201,ND,F,3,348,50,C,,
000000000000100476,2000,E03,102,ND,F,10,121,50,A,,
000000000000100477,1000,E01,101,ND,F,19,72,250,C,,
000000000000100478,3000,,102,PD,E,0,372,250,C,,
000000000000100479,1000,E01,301,PD,F,9,208,250,A,,
000000000000100479,2000,E02,102,PD,F,20,277,250,B,,
000000000000100480,1000,E03,201,PD,E,21,91,50,B,,
000000000000100481,1000,,201,VB,F,18,175,250,B,,
000000000000100481,2000,E10,101,PD,F,3,204,0,C,,
000000000000100482,1000,E02,301,PD,F,21,384,100,B,,
000000000000100482,2000,E10,101,VB,F,15,137,50,C,,
000000000000100483,2000,E03,102,PD,F,19,190,0,A,,
000000000000100484,1000,E02,201,ND,F,15,391,100,A,,
000000000000100485,3000,E02,301,PD,F,8,99,100,B,,
000000000000100486,3000,E02,102,PD,F,0,52,0,C,,
000000000000100487,1000,E01,301,PD,F,4,238,0,B,,
000000000000100487,2000,E01,201,PD,F,8,362,0,A,,
000000000000100488,2000,E10,102,PD,F,11,181,100,A,,
000000000000100491,2000,E10,301,ND,F,3,207,100,A,,
000000000000100492,3000,E01,201,PD,F,3,354,50,A,,
000000000000100493,1000,,102,PD,E,0,42,50,C,,
000000000000100493,3000,,101,VB,E,0,228,50,A,,
000000000000100494,2000,E03,102,PD,F,5,221,250,B,,
000000000000100495,1000,E01,101,PD,F,16,163,0,B,,
000000000000100495,2000,E02,101,PD,F,6,300,0,B,,
000000000000100495,9999,E01,101,PD,F,7,0,0,C,,
000000000000100496,3000,,201,PD,E,0,367,0,A,,
000000000000100497,3000,E10,102,ND,F,10,251,0,C,,
000000000000100498,1000,E01,201,ND,F,8,221,50,A,,
000000000000100499,1000,E01,102,PD,F,16,382,50,A,,
000000000000100500,3000,E01,201,PD,F,9,283,100,C,,
000000000000100501,3000,,101,PD,E,0,134,0,B,,
000000000000100504,1000,E01,101,PD,F,21,367,50,C,,
000000000000100504,2000,E10,201,PD,F,6,202,100,C,,
000000000000100505,3000,,102,PD,E,0,359,50,A,,
000000000000100506,1000,E10,102,ND,F,11,103,50,B,,
000000000000100506,2000,E10,201,ND,F,18,68,0,A,,
000000000000100508,1000,E02,301,ND,F,19,67,50,A,,
000000000000100509,2000,E01,201,VB,F,20,342,0,B,,
000000000000100510,1000,E02,102,ND,F,10,279,50,C,,
000000000000100510,2000,E10,101,ND,F,16,109,100,B,,
000000000000100511,2000,E02,301,PD,F,12,279,0,C,,
000000000000100512,1000,E03,301,VB,F,16,321,250,C,,
000000000000100512,2000,E03,102,PD,F,7,194,100,C,,
000000000000100513,2000,E10,102,VB,F,4,88,0,A,,
000000000000100514,1000,E01,102,VB,F,5,142,0,B,,
000000000000100515,1000,E10,101,ND,F,20,144,0,A,,
000000000000100515,2000,E02,201,ND,F,10,202,0,B,,
000000000000100516,1000,E10,201,ND,F,9,166,100,A,,
000000000000100518,2000,E01,102,VB,F,11,366,250,A,,
000000000000100519,1000,E01,201,VB,F,14,279,0,B,,
000000000000100520,1000,E02,201,PD,F,21,350,0,B,,
000000000000100520,2000,E01,101,ND,F,17,367,0,B,,
000000000000100521,1000,E03,201,PD,F,12,139,0,A,,
000000000000100521,2000,E03,301,PD,F,7,220,0,A,,
000000000000100522,3000,,201,VB,E,0,204,0,B,,
000000000000100523,1000,E01,102,PD,F,18,203,0,A,,
000000000000100524,2000,E02,201,PD,F,15,280,0,C,,
000000000000100525,1000,E03,201,ND,F,15,54,0,A,,
000000000000100525,2000,E03,201,PD,F,12,299,100,A,,
000000000000100526,3000,E02,301,PD,F,19,155,50,C,,
000000000000100526,9999,E01,101,PD,F,7,0,0,C,,
000000000000100527,2000,E03,101,PD,F,15,90,0,C,,
000000000000100528,2000,E02,301,PD,F,9,390,250,B,,
000000000000100530,2000,E01,201,PD,F,13,161,0,A,,
000000000000100531,2000,E10,101,PD,F,7,96,250,C,,
000000000000100532,1000,E10,101,ND,F,11,311,100,A,,
000000000000100533,3000,,201,PD,E,0,64,0,A,,
000000000000100534,1000,E01,101,,F,11,298,250,B,,
000000000000100534,2000,E10,101,ND,F,11,259,0,C,,
000000000000100536,1000,,201,VB,E,0,295,0,A,,
000000000000100536,3000,,201,PD,E,0,53,50,A,,
000000000000100537,2000,E03,102,ND,F,9,212,0,C,,
000000000000100538,2000,E03,101,PD,F,16,28,250,A,,
000000000000100539,3000,E01,102,VB,F,10,67,100,A,,
000000000000100540,1000,E10,201,VB,F,16,221,100,A,,
000000000000100540,2000,E10,102,PD,F,5,110,50,A,,
000000000000100541,2000,E02,201,PD,F,13,142,0,C,,
000000000000100542,2000,E10,201,VB,F,14,75,100,C,,
000000000000100543,2000,E02,102,PD,F,13,373,100,C,,
000000000000100544,3000,E03,101,VB,F,16,386,0,A,,
000000000000100545,1000,,301,VB,E,0,199,0,C,,
000000000000100545,3000,,301,PD,E,0,119,250,C,,
000000000000100548,3000,,102,PD,E,0,91,0,C,,
000000000000100549,1000,E10,301,VB,F,6,324,250,A,,
000000000000100549,2000,E01,201,PD,F,19,170,250,A,,
000000000000100550,2000,E10,301,ND,F,18,166,50,A,,
000000000000100551,1000,E01,301,VB,F,19,186,100,B,,
000000000000100552,1000,E03,102,PD,F,13,162,0,C,,
000000000000100552,2000,E03,101,VB,F,16,327,100,B,,
000000000000100553,1000,E10,102,PD,F,10,101,100,A,,
000000000000100554,1000,,201,ND,E,0,186,50,C,,
000000000000100554,3000,,102,ND,E,0,327,50,C,,
000000000000100556,1000,E10,301,PD,F,11,137,0,B,,
000000000000100557,3000,E03,102,PD,F,6,48,0,A,,
000000000000100558,3000,E02,101,ND,F,5,273,100,B,,
000000000000100559,2000,E02,102,PD,F,12,256,50,B,,
000000000000100560,1000,,201,PD,F,8,225,0,C,,
000000000000100562,2000,E03,102,PD,F,19,115,250,A,,
000000000000100563,1000,E02,102,,F,19,24,0,A,,
000000000000100563,2000,E03,102,ND,F,6,189,50,C,,
000000000000100565,1000,E03,101,PD,F,19,112,0,C,,
000000000000100565,2000,E02,101,PD,F,18,277,100,B,,
000000000000100566,1000,E02,301,ND,F,4,118,100,C,,
000000000000100567,1000,,102,PD,E,0,121,0,A,,
000000000000100567,3000,,102,ND,E,0,366,250,A,,
000000000000100568,1000,E01,102,PD,F,0,291,0,B,,
000000000000100568,2000,E02,301,PD,F,15,346,0,B,,
000000000000100569,1000,E03,201,PD,F,3,249,50,C,,
000000000000100571,1000,E01,101,PD,F,10,356,0,B,,
000000000000100571,2000,E01,101,ND,F,6,209,50,A,,
000000000000100572,3000,,101,ND,E,0,168,250,C,,
000000000000100573,1000,E02,102,PD,F,21,316,250,C,,
000000000000100573,2000,E10,201,PD,F,18,255,0,B,,
000000000000100574,1000,E02,101,PD,F,8,301,100,A,,
000000000000100575,1000,E03,301,PD,F,6,394,50,B,,
000000000000100575,2000,E02,101,,F,6,296,100,C,,
000000000000100576,2000,E02,102,PD,F,20,120,100,C,,
000000000000100577,1000,E01,101,ND,F,12,358,0,C,,
000000000000100578,1000,E02,102,PD,F,3,275,250,B,,
000000000000100578,2000,E01,301,PD,F,6,143,0,A,,
000000000000100579,1000,E01,201,PD,F,2,253,0,B,,
000000000000100579,2000,E01,102,PD,F,2,363,100,B,,
000000000000100580,1000,E02,201,PD,F,14,36,0,C,,
000000000000100580,2000,E10,101,ND,F,5,41,250,B,,
000000000000100581,1000,E03,201,ND,F,11,128,0,B,,
000000000000100583,3000,E02,102,ND,F,9,209,0,B,,
000000000000100584,2000,E01,301,PD,F,13,336,250,B,,
000000000000100585,1000,E02,201,PD,F,4,370,250,B,,
000000000000100586,1000,,201,PD,F,21,221,0,A,,
000000000000100586,2000,E03,201,PD,E,16,382,50,A,,
000000000000100587,1000,E01,301,ND,F,12,112,50,B,,
000000000000100587,2000,E10,201,PD,F,13,245,0,A,,
000000000000100588,2000,E03,101,VB,F,13,357,100,A,,
000000000000100589,2000,E01,101,PD,F,17,275,100,A,,
000000000000100590,3000,,201,PD,E,0,152,250,A,,
000000000000100591,2000,E10,201,PD,F,15,327,0,B,,
000000000000100592,2000,E10,201,PD,F,5,219,250,A,,
000000000000100593,1000,E02,301,PD,F,11,343,250,C,,
000000000000100594,3000,,201,PD,F,15,397,250,A,,
000000000000100595,2000,E03,201,PD,F,13,74,0,B,,
000000000000100596,3000,E03,101,VB,F,8,12,0,C,,
000000000000100597,1000,E10,201,ND,F,13,95,50,A,,
000000000000100597,2000,E03,102,ND,F,3,27,100,A,,
000000000000100598,1000,E10,101,ND,F,6,177,50,B,,
000000000000100598,2000,E03,301,PD,F,5,343,50,B,,
000000000000100599,1000,E02,102,ND,F,14,282,0,C,,
000000000000100600,1000,E10,102,ND,F,13,90,0,A,,
000000000000100600,2000,E03,102,PD,F,2,286,100,B,,
000000000000100602,3000,,301,ND,E,0,115,50,B,,
000000000000100603,2000,E10,301,VB,F,4,13,0,C,,
000000000000100604,3000,,101,ND,E,0,8,0,B,,
000000000000100605,1000,E02,102,ND,F,3,357,50,A,,
000000000000100605,2000,E03,102,PD,F,10,184,0,A,,
000000000000100608,1000,,201,PD,E,0,289,250,B,,
000000000000100608,3000,,102,PD,E,0,330,50,A,,
000000000000100609,1000,E10,201,VB,F,17,94,250,B,,
000000000000100609,2000,E01,102,VB,F,18,1,100,A,,
000000000000100610,1000,E10,301,ND,F,9,166,50,C,,
000000000000100611,1000,E10,101,PD,F,8,365,0,A,,
000000000000100611,2000,E10,301,VB,F,18,116,100,B,,
000000000000100612,1000,E03,102,PD,F,19,143,250,A,,
000000000000100612,2000,E02,101,ND,F,12,20,0,C,,
000000000000100614,1000,E01,301,PD,F,13,3,100,C,,
000000000000100614,2000,E02,201,VB,F,7,226,0,B,,
000000000000100615,1000,E03,201,ND,F,15,76,0,C,,
000000000000100616,1000,E02,301,ND,F,15,166,50,B,,
000000000000100616,2000,E02,102,VB,F,9,193,0,A,,
000000000000100617,1000,E10,102,PD,F,4,320,50,A,,
000000000000100618,1000,E10,301,PD,F,8,107,0,A,,
000000000000100619,3000,E10,201,PD,F,17,81,100,B,,
000000000000100620,1000,E10,102,VB,F,15,231,0,B,,
000000000000100621,1000,E03,301,ND,F,0,46,50,B,,
000000000000100622,2000,E10,102,PD,F,2,208,250,A,,
000000000000100623,1000,E10,102,VB,F,14,143,250,A,,
000000000000100624,1000,E02,101,PD,F,10,97,100,C,,
000000000000100625,1000,E10,101,ND,F,18,197,0,C,,
000000000000100626,1000,E01,102,VB,F,14,102,0,C,,
000000000000100626,2000,E03,102,PD,F,3,243,0,B,,
000000000000100627,1000,E10,102,PD,F,5,212,100,B,,
000000000000100627,2000,E02,101,PD,F,11,47,250,A,,
000000000000100628,3000,E01,101,PD,F,21,375,100,B,,
000000000000100629,1000,E10,101,PD,F,5,290,100,C,,
000000000000100630,2000,E03,101,ND,F,7,292,50,C,,
000000000000100631,3000,,201,VB,E,0,26,0,B,,
000000000000100632,3000,E03,102,PD,F,21,263,250,C,,
000000000000100633,2000,E02,102,PD,F,5,346,0,A,,
000000000000100634,1000,,201,VB,E,0,170,50,A,,
000000000000100634,3000,,201,PD,E,0,352,100,A,,
000000000000100635,1000,E02,102,ND,F,7,31,0,A,,
000000000000100635,2000,E10,201,ND,F,12,296,250,B,,
000000000000100636,3000,,101,VB,E,0,227,0,A,,
000000000000100637,2000,E01,201,PD,F,21,389,250,B,,
000000000000100638,1000,E03,201,ND,F,14,164,0,A,,
000000000000100639,1000,E02,101,VB,F,13,125,0,A,,
000000000000100640,1000,E02,201,PD,F,8,44,100,A,,
000000000000100640,2000,E03,102,VB,F,13,-67,0,C,,
000000000000100641,1000,E01,102,PD,F,3,217,0,B,,
000000000000100641,2000,E03,101,ND,F,6,241,100,C,,
000000000000100642,3000,E01,301,PD,F,19,378,50,A,,
000000000000100643,2000,E02,301,ND,F,9,347,250,C,,
000000000000100644,3000,,301,VB,E,0,69,250,B,,
000000000000100646,1000,E02,102,PD,F,10,149,0,A,,
000000000000100646,2000,E01,102,VB,F,18,364,250,A,,
000000000000100647,3000,E03,102,PD,F,19,226,100,C,,
000000000000100648,3000,,301,VB,E,0,194,0,B,,
000000000000100649,1000,,102,PD,E,0,240,50,B,,
000000000000100649,3000,,102,VB,E,0,103,250,B,,
000000000000100650,1000,E01,301,PD,F,21,367,100,A,,
000000000000100651,1000,E10,101,PD,F,15,5,250,A,,
000000000000100651,2000,E10,101,PD,F,7,71,250,A,,
000000000000100652,1000,,301,PD,E,0,31,0,B,,
000000000000100652,3000,,101,VB,E,0,90,50,A,,
000000000000100653,1000,E02,102,PD,F,5,301,0,C,,
000000000000100653,2000,E10,201,VB,F,7,25,0,B,,
000000000000100654,1000,E10,101,PD,F,18,41,100,B,,
000000000000100655,1000,E02,201,PD,F,16,301,50,C,,
000000000000100656,2000,E02,101,ND,F,14,335,50,A,,
000000000000100657,1000,E10,101,PD,F,2,267,100,A,,
000000000000100657,2000,E01,201,ND,F,18,23,250,B,,
000000000000100658,2000,E02,102,PD,F,17,25,250,B,,
000000000000100659,1000,E01,101,PD,F,12,301,0,B,,
000000000000100660,1000,E02,201,PD,F,18,287,250,C,,
000000000000100661,2000,E02,301,ND,F,5,70,0,A,,
000000000000100662,1000,E10,301,PD,F,0,333,250,A,,
000000000000100662,2000,E03,201,PD,F,10,122,250,C,,
000000000000100663,3000,,201,,E,0,170,250,A,,
000000000000100664,2000,E01,102,PD,F,16,43,100,B,,
000000000000100665,3000,,301,ND,E,0,110,0,A,,
000000000000100666,1000,E03,102,PD,F,20,108,100,C,,
000000000000100666,2000,E03,102,PD,F,6,329,0,C,,
000000000000100667,2000,E02,102,PD,F,17,138,0,C,,
000000000000100668,1000,E01,102,PD,F,5,300,0,C,,
000000000000100669,2000,E01,102,PD,F,5,125,100,A,,
000000000000100670,3000,,301,ND,E,0,57,0,A,,
000000000000100671,1000,,301,PD,E,0,87,0,C,,
000000000000100671,3000,,101,VB,E,0,11,0,B,,
000000000000100672,3000,E02,301,VB,F,17,207,0,B,,
000000000000100673,1000,E02,301,PD,F,11,50,50,B,,
000000000000100674,1000,E10,101,PD,F,5,94,50,B,,
000000000000100674,2000,E03,301,PD,E,6,113,250,A,,
000000000000100675,1000,E03,102,VB,F,13,311,100,B,,
000000000000100675,2000,E02,102,ND,F,13,391,0,C,,
000000000000100676,2000,E03,101,VB,F,16,76,50,A,,
000000000000100677,1000,E02,101,PD,F,9,153,50,C,,
000000000000100677,2000,E02,102,PD,F,7,333,0,B,,
000000000000100678,3000,E03,101,VB,F,13,215,100,B,,
000000000000100679,2000,E03,102,ND,F,15,-49,50,C,,
000000000000100680,2000,E03,201,PD,F,6,25,50,A,,
000000000000100681,1000,E01,102,ND,F,18,106,100,A,,
000000000000100681,2000,E10,201,VB,F,15,21,0,A,,
000000000000100682,2000,E03,301,VB,F,17,375,0,B,,
000000000000100683,2000,E02,301,PD,F,16,56,50,B,,
000000000000100684,1000,E01,301,VB,F,5,93,250,C,,
000000000000100684,2000,E01,301,PD,F,14,25,250,A,,
000000000000100684,9999,E01,101,PD,F,7,0,0,C,,
000000000000100685,2000,E10,201,VB,F,17,327,100,C,,
000000000000100686,1000,E01,101,ND,F,12,92,250,B,,
000000000000100686,2000,E01,102,VB,F,14,369,250,C,,
000000000000100687,2000,E03,301,VB,F,14,237,250,A,,
000000000000100688,3000,E10,301,PD,F,2,212,0,C,,
000000000000100689,1000,E10,201,VB,F,14,358,0,C,,
000000000000100690,3000,,201,PD,E,0,386,100,C,,
000000000000100691,1000,E10,201,PD,F,7,392,0,C,,
000000000000100691,2000,E03,201,ND,F,9,285,100,C,,
000000000000100692,2000,E03,301,VB,F,15,85,100,C,,
000000000000100693,1000,E03,201,PD,F,19,383,0,B,,
000000000000100693,2000,E02,201,VB,F,18,328,250,A,,
000000000000100694,1000,E01,301,PD,F,18,20,50,A,,
000000000000100695,1000,E10,101,ND,F,7,19,250,B,,
000000000000100695,2000,E02,101,VB,F,2,286,250,A,,
000000000000100696,1000,E10,301,PD,F,8,186,100,A,,
000000000000100696,2000,E01,301,ND,F,15,101,0,A,,
000000000000100697,1000,,201,PD,E,0,16,100,B,,
000000000000100697,3000,,301,VB,E,0,341,0,A,,
000000000000100698,1000,E03,301,PD,F,10,195,50,B,,
000000000000100699,1000,E02,101,PD,F,20,168,100,C,,
000000000000100699,2000,E01,201,ND,F,5,252,250,B,,
000000000000100700,1000,E10,301,ND,F,16,396,0,B,,
000000000000100700,2000,E02,301,PD,F,11,32,50,B,,
000000000000100702,2000,E10,301,ND,F,15,153,0,B,,
000000000000100703,2000,E01,101,ND,F,19,193,0,B,,
000000000000100704,1000,E10,101,VB,F,12,215,0,A,,
000000000000100705,1000,E02,201,PD,F,4,315,0,B,,
000000000000100706,1000,E02,301,ND,F,9,160,50,B,,
000000000000100707,2000,E10,102,ND,F,3,186,0,B,,
000000000000100708,3000,E03,201,PD,F,6,86,0,C,,
000000000000100709,1000,E01,201,VB,F,5,57,50,A,,
000000000000100709,2000,,201,VB,F,4,335,0,C,,
000000000000100710,1000,E02,201,VB,F,4,23,250,B,,
000000000000100711,1000,E02,102,PD,F,5,294,0,B,,
000000000000100712,1000,E10,102,PD,F,2,318,0,C,,
000000000000100713,1000,E01,201,PD,F,5,94,50,A,,
000000000000100713,2000,E02,201,PD,F,5,361,0,C,,
000000000000100714,1000,E02,101,ND,F,11,353,0,C,,
000000000000100714,2000,E10,101,PD,F,10,104,50,A,,
000000000000100715,2000,E02,102,ND,F,2,213,100,C,,
000000000000100716,2000,E01,201,PD,F,11,17,100,A,,
000000000000100717,3000,,102,PD,E,0,159,50,C,,
000000000000100718,2000,E03,102,PD,F,15,33,0,B,,
000000000000100720,1000,E10,201,PD,F,20,269,0,C,,
000000000000100720,2000,E10,301,PD,F,8,216,250,C,,
000000000000100721,2000,E03,301,VB,F,20,194,0,A,,
000000000000100722,2000,E01,201,VB,F,20,268,0,C,,
000000000000100723,1000,E01,301,VB,F,13,47,100,A,,
000000000000100725,3000,,101,ND,E,0,151,250,C,,
000000000000100726,1000,E10,301,PD,F,18,88,0,C,,
000000000000100726,2000,E01,301,VB,F,11,186,0,C,,
000000000000100727,2000,E01,301,PD,F,20,17,0,A,,
000000000000100728,1000,E03,101,PD,F,11,354,0,C,,
000000000000100728,2000,E01,301,ND,F,7,165,0,B,,
000000000000100729,1000,E10,102,PD,F,16,325,0,B,,
000000000000100730,3000,E10,102,PD,F,18,182,50,C,,
000000000000100731,3000,,201,VB,E,0,318,0,C,,
000000000000100732,1000,E10,101,PD,F,4,159,250,C,,
000000000000100732,2000,E01,201,VB,F,16,267,0,A,,
000000000000100733,1000,E03,301,PD,F,20,144,0,C,,
000000000000100734,2000,E10,201,VB,F,7,66,50,A,,
000000000000100735,1000,E10,301,PD,F,0,265,50,A,,
000000000000100736,3000,,201,VB,E,0,18,250,A,,
000000000000100737,2000,E02,301,ND,F,20,217,250,A,,
000000000000100738,1000,E02,201,PD,F,17,357,250,A,,
000000000000100739,1000,E02,201,ND,F,12,62,0,C,,
000000000000100740,3000,E03,101,PD,F,6,196,100,C,,
000000000000100741,2000,E01,301,VB,F,20,102,250,C,,
000000000000100742,1000,E03,102,PD,F,16,38,100,C,,
000000000000100742,2000,E10,102,ND,F,20,94,0,B,,
000000000000100744,2000,E02,101,PD,F,16,206,100,B,,
000000000000100745,3000,,102,PD,E,0,180,100,A,,
000000000000100746,3000,E01,101,PD,F,19,282,0,C,,
000000000000100747,2000,E03,301,ND,F,4,281,250,A,,
000000000000100749,3000,,201,PD,E,0,397,50,B,,
000000000000100750,1000,E03,101,VB,F,20,309,100,C,,
000000000000100750,2000,E02,101,PD,F,12,108,50,C,,
000000000000100751,1000,E03,301,VB,F,9,148,0,C,,
000000000000100753,2000,E10,102,ND,F,5,283,50,B,,
000000000000100755,1000,E03,201,PD,F,12,349,0,B,,
000000000000100756,2000,E01,301,PD,F,9,269,50,C,,
000000000000100757,1000,E02,101,PD,F,3,160,100,C,,
000000000000100758,1000,E01,101,PD,F,5,211,0,C,,
000000000000100759,3000,,102,PD,E,0,355,100,B,,
000000000000100760,3000,E01,301,ND,F,2,376,0,A,,
000000000000100761,1000,E01,201,PD,F,12,280,250,C,,
000000000000100761,2000,E02,101,PD,F,6,357,0,C,,
000000000000100762,1000,E02,201,ND,F,7,180,0,A,,
000000000000100762,2000,E10,201,PD,F,6,6,100,A,,
000000000000100763,3000,E01,101,PD,F,3,308,0,A,,
000000000000100764,3000,E10,102,PD,F,16,185,250,A,,
000000000000100765,1000,E03,201,ND,F,3,226,0,A,,
000000000000100765,2000,E01,201,ND,F,15,43,0,B,,
000000000000100766,1000,E02,101,VB,F,0,150,100,C,,
000000000000100766,2000,E01,101,VB,F,18,294,0,C,,
000000000000100767,2000,E02,101,PD,F,6,127,0,A,,
000000000000100768,1000,E01,201,VB,F,15,231,50,B,,
000000000000100769,1000,E03,102,PD,F,6,87,0,C,,
000000000000100769,2000,E03,102,PD,F,16,252,0,C,,
000000000000100770,2000,E01,102,VB,F,7,375,0,B,,
000000000000100771,1000,E10,101,VB,F,20,318,250,C,,
000000000000100771,2000,E02,102,PD,F,7,71,100,C,,
000000000000100772,2000,E03,101,PD,F,12,48,0,A,,
000000000000100774,2000,E02,101,VB,F,19,65,0,B,,
000000000000100775,2000,,102,PD,F,18,252,50,A,,
000000000000100776,1000,E02,101,ND,F,16,6,0,B,,
000000000000100776,2000,E02,102,ND,F,8,148,250,A,,
