KUNNR,BUKRS,AKONT,ZTERM,ZWELS,HBKID,SPERR,LOEVM
0002000456,1000,0000140100,0002,TU,CB002,,
0002000457,3000,0000140000,NT30,S,CB002,,
0002000457,1000,0000140000,Z014,S,,,
0002000458,1000,0000140100,NT30,TU,CB002,,
0002000458,2000,0000140000,Z030,,,,
0002000459,3000,0000140100,Z030,S,CB002,,
0002000460,3000,0000140100,0002,S,CB001,,
0002000461,3000,0000140100,0001,TU,CB001,,
0002000462,3000,0000140000,Z030,,CB001,,
0002000463,2000,0000140000,Z014,,CB001,,
0002000464,1000,0000140100,Z030,,,,
0002000465,1000,0000140000,0001,S,CB002,,
0002000466,2000,0000140000,Z030,TU,,,
0002000466,1000,0000140000,0002,TU,,,
0002000467,1000,0000140000,0002,TU,,,
0002000468,1000,0000140000,0002,TU,,,
0002000469,1000,0000140100,Z030,TU,CB001,,
0002000469,3000,0000140000,0001,S,,,
0002000470,2000,0000140100,0002,S,,,
0002000471,2000,0000140100,Z014,S,,,
0002000472,1000,0000140100,Z014,TU,CB002,,
0002000473,1000,0000140100,0002,S,CB002,,
0002000474,1000,0000140000,0002,S,,,
0002000475,2000,0000140000,Z014,,,,
0002000476,3000,0000140100,0001,S,,,
0002000476,2000,0000140000,NT30,S,CB002,,
0002000477,1000,0000140100,0002,TU,CB002,,
0002000478,1000,0000140100,0002,,,,
0002000479,1000,0000140000,Z014,S,,,
0002000480,2000,0000140100,0001,TU,CB002,,
0002000480,3000,0000140100,NT30,TU,,,
0002000481,3000,0000140100,Z014,,CB001,,
0002000481,2000,0000140100,Z014,,,,
0002000482,3000,0000140100,0001,,CB002,,
0002000483,3000,0000140000,Z014,TU,CB001,,
0002000484,2000,0000140100,0002,TU,,,
0002000485,1000,0000140000,NT30,S,CB001,,
0002000485,2000,0000140100,0001,TU,CB002,,
0002000486,2000,0000140000,NT30,S,CB002,,
0002000487,2000,0000140100,0001,,,,
0002000488,1000,0000140000,0001,S,CB001,,
0002000489,3000,0000140000,NT30,S,CB002,,
0002000490,3000,0000140000,0001,TU,CB001,,
0002000490,1000,0000140100,Z014,,CB002,,
0002000491,2000,0000140000,0002,S,,,
0002000492,2000,0000140000,NT30,,,,
0002000493,3000,0000140000,0002,TU,CB002,,
0002000494,1000,0000140000,0001,S,,,
0002000495,1000,0000140100,0002,,CB002,,
0002000496,3000,0000140000,NT30,TU,CB001,,
0002000496,1000,0000140100,Z030,S,,,
0002000497,2000,0000140100,NT30,,CB001,,
0002000497,1000,0000140100,0002,S,CB002,,
0002000498,3000,0000140000,0001,,CB001,,
0002000499,1000,0000140100,0001,,CB002,,
0002000500,1000,0000140100,0002,TU,CB002,,
0002000501,1000,0000140100,0002,,CB001,,
0002000502,3000,0000140100,NT30,S,CB002,,
0002000503,1000,0000140000,Z030,S,CB001,,
0002000504,1000,0000140000,0002,,,,
0002000505,3000,0000140000,NT30,S,CB001,,
0002000506,1000,0000140000,0001,TU,CB002,,
0002000507,3000,0000140100,Z014,S,CB002,,
0002000508,3000,0000140000,0002,S,CB002,,
0002000509,2000,0000140100,Z014,TU,CB002,,
0002000510,3000,0000140100,NT30,,,,
0002000510,2000,0000140100,NT30,S,CB002,,
0002000511,1000,0000140000,Z014,TU,,,
0002000512,1000,0000140100,0001,TU,CB001,,
0002000513,3000,0000140100,0001,TU,CB002,,
0002000513,1000,0000140000,Z014,,CB001,,
0002000514,3000,0000140000,0001,S,CB001,,
0002000515,3000,0000140000,0002,TU,,,
0002000516,2000,0000140100,0002,,,,
0002000517,1000,0000140000,NT30,,CB002,,
0002000518,2000,0000140000,0002,,,,
0002000519,1000,0000140100,Z030,TU,CB001,,
0002000520,3000,0000140100,Z030,,,,
0002000521,1000,0000140000,Z030,S,CB002,,
0002000521,2000,0000140100,NT30,,,,
0002000522,1000,0000140100,Z030,,,,
0002000523,2000,0000140100,NT30,,CB002,,
0002000523,3000,0000140000,Z014,,,,
0002000524,3000,0000140100,0002,S,,,
0002000525,3000,0000140000,Z030,,CB001,,
0002000526,1000,0000140100,Z014,,,,
0002000526,3000,0000140000,0002,TU,CB002,,
0002000527,3000,0000140100,Z030,TU,CB002,,
0002000528,1000,0000140100,NT30,S,,,
0002000529,3000,0000140100,0002,TU,CB002,,
0002000530,1000,0000140100,Z030,S,CB001,,
0002000531,2000,0000140100,Z030,,,,
0002000532,3000,0000140000,NT30,TU,CB002,,
0002000533,3000,0000140100,Z030,TU,CB001,,
0002000534,2000,0000140100,0001,S,CB002,,
0002000534,1000,0000140100,0001,S,CB001,,
0002000535,2000,0000140000,0001,,,,
0002000536,3000,0000140100,0001,S,,,
0002000537,2000,0000140000,NT30,S,CB002,,
0002000538,3000,0000140000,NT30,,CB002,,
0002000539,2000,0000140100,Z030,S,,,
0002000540,3000,0000140100,0002,TU,CB002,,
0002000541,1000,0000140000,Z030,TU,CB002,,
0002000542,1000,0000140000,0002,S,,,
0002000543,3000,0000140100,0001,TU,CB001,,
0002000544,1000,0000140100,Z014,,,,
0002000545,2000,0000140000,Z030,TU,CB002,,
0002000545,3000,0000140100,NT30,TU,CB001,,
0002000546,3000,0000140000,Z030,TU,CB002,,
0002000547,3000,0000140000,0002,,CB001,,
0002000547,2000,0000140100,Z030,TU,,,
0002000548,1000,0000140000,NT30,TU,,,
0002000549,2000,0000140000,0002,,CB001,,
0002000550,3000,0000140100,0002,,,,
0002000551,2000,0000140100,NT30,TU,,,
0002000552,2000,0000140000,0002,S,CB002,,
0002000553,2000,0000140000,Z030,S,,,
0002000553,3000,0000140000,Z014,S,,,
0002000554,1000,0000140000,Z030,S,CB001,,
0002000555,2000,0000140100,0002,,CB002,,
0002000556,2000,0000140100,NT30,S,CB001,,
0002000557,3000,0000140000,0001,TU,CB002,,
0002000558,1000,0000140100,Z030,TU,CB002,,
0002000559,1000,0000140100,0001,S,CB001,,
0002000560,2000,0000140100,Z014,S,CB001,,
0002000561,2000,0000140000,0001,S,,,
0002000562,2000,0000140000,Z030,TU,CB001,,
0002000563,2000,0000140100,Z030,TU,CB001,,
0002000564,1000,0000140000,0002,TU,CB002,,
0002000565,3000,0000140100,0002,S,CB001,,
0002000566,1000,0000140000,0001,,CB002,,
0002000567,2000,0000140000,Z014,,CB002,,
0002000567,3000,0000140000,0002,TU,CB002,,
0002000568,1000,0000140100,Z030,,,,
0002000569,2000,0000140100,0002,S,CB002,,
0002000569,1000,0000140000,0002,S,CB002,,
0002000570,2000,0000140000,Z014,,,,
0002000571,3000,0000140000,0002,S,CB002,,
0002000572,1000,0000140100,Z030,S,CB001,,
0002000572,3000,0000140100,Z014,TU,,,
0002000573,3000,0000140000,NT30,S,,,
0002000574,1000,0000140000,0001,,,,
0002000575,2000,0000140100,0002,TU,,,
0002000576,3000,0000140100,NT30,S,CB002,,
0002000576,1000,0000140000,NT30,S,CB002,,
0002000577,3000,0000140000,0001,S,CB001,,
0002000578,1000,0000140000,Z014,S,,,
0002000579,3000,0000140100,NT30,S,,,
0002000579,2000,0000140000,0002,S,CB002,,
0002000580,2000,0000140000,0001,TU,CB001,,
0002000581,3000,0000140100,0001,,CB002,,
0002000581,2000,0000140100,Z030,,CB002,,
0002000582,1000,0000140100,0001,S,CB002,,
0002000583,3000,0000140000,0001,S,CB001,,
0002000584,2000,0000140000,Z030,TU,CB001,,
0002000584,1000,0000140000,0001,TU,CB002,,
0002000585,3000,0000140100,0002,,CB002,,
0002000586,1000,0000140100,Z014,,CB001,,
0002000587,1000,0000140100,0002,TU,,,
0002000587,3000,0000140100,Z030,TU,,,
0002000588,3000,0000140100,0002,,,,
0002000589,1000,0000140100,Z014,,,,
0002000590,3000,0000140100,Z030,S,CB002,,
0002000590,2000,0000140100,0002,,,,
0002000591,3000,0000140100,0001,S,,,
0002000592,3000,0000140100,0002,,CB002,,
0002000593,1000,0000140100,Z014,S,,,
0002000594,1000,0000140000,Z014,TU,,,
0002000595,3000,0000140100,Z014,TU,,,
0002000596,3000,0000140100,0002,S,CB002,,
0002000597,3000,0000140000,Z014,S,CB002,,
0002000597,1000,0000140100,0001,S,CB002,,
0002000598,1000,0000140100,Z030,,CB001,,
0002000598,2000,0000140100,Z030,S,CB002,,
0002000599,3000,0000140000,0001,,CB002,,
0002000599,1000,0000140100,NT30,TU,CB002,,
0002000600,2000,0000140000,0002,,CB001,,
0002000601,1000,0000140100,0001,S,,,
0002000602,3000,0000140100,0001,TU,,,
0002000602,1000,0000140000,0001,S,CB001,,
0002000603,2000,0000140000,0001,S,CB001,,
0002000604,2000,0000140000,0001,TU,CB001,,
0002000604,1000,0000140100,Z014,TU,,,
0002000605,1000,0000140000,0002,TU,CB002,,
0002000605,3000,0000140100,NT30,TU,CB001,,
0002000606,3000,0000140000,0002,,,,
0002000607,2000,0000140000,Z014,TU,CB002,,
0002000607,1000,0000140000,0002,S,,,
0002000608,1000,0000140000,0001,,CB002,,
0002000608,3000,0000140000,0002,S,,,
0002000609,1000,0000140000,0002,S,CB001,,
0002000609,3000,0000140100,0002,,CB001,,
0002000610,3000,0000140000,NT30,S,CB001,,
0002000611,1000,0000140000,0002,TU,,,
0002000612,3000,0000140100,Z030,TU,,,
0002000613,3000,0000140100,0001,S,CB001,,
0002000613,2000,0000140100,0002,,,,
0002000614,1000,0000140100,0001,TU,,,
0002000615,1000,0000140000,NT30,,CB001,,
0002000616,2000,0000140100,Z030,S,,,
0002000617,2000,0000140100,Z014,TU,CB001,,
0002000618,3000,0000140000,Z014,,,,
0002000619,2000,0000140100,NT30,S,CB001,,
0002000620,1000,0000140100,Z030,,CB001,,
0002000621,1000,0000140000,Z014,S,,,
0002000622,2000,0000140000,0002,,CB001,,
0002000623,3000,0000140100,0001,,CB002,,
0002000623,1000,0000140100,Z014,S,CB002,,
0002000624,2000,0000140100,NT30,S,CB002,,
0002000625,2000,0000140100,Z014,,CB001,,
0002000626,2000,0000140000,Z030,TU,CB002,,
0002000627,1000,0000140100,0001,TU,CB001,,
0002000628,1000,0000140000,0001,,CB001,,
0002000629,3000,0000140000,NT30,,CB001,,
0002000630,3000,0000140100,0002,S,,,
0002000631,3000,0000140100,Z014,TU,CB001,,
0002000631,2000,0000140100,0001,,,,
0002000632,2000,0000140100,0002,,CB001,,
0002000633,1000,0000140000,Z014,S,CB001,,
0002000633,3000,0000140000,Z014,S,CB001,,
0002000634,1000,0000140000,0001,,,,
0002000635,3000,0000140100,Z030,,CB001,,
0002000635,1000,0000140100,Z030,TU,CB001,,
0002000636,1000,0000140000,NT30,,CB002,,
0002000637,2000,0000140000,Z014,S,CB002,,
0002000638,3000,0000140000,NT30,S,CB002,,
0002000639,1000,0000140000,0002,TU,CB001,,
0002000640,3000,0000140000,0001,,CB001,,
0002000640,2000,0000140000,0001,S,CB001,,
0002000641,3000,0000140000,Z030,TU,CB002,,
0002000641,2000,0000140100,NT30,TU,CB001,,
0002000642,1000,0000140000,Z014,S,CB001,,
0002000643,2000,0000140000,Z014,,,,
0002000644,1000,0000140100,0002,S,CB001,,
0002000645,3000,0000140100,Z030,TU,,,
0002000646,3000,0000140100,Z030,S,CB002,,
0002000647,1000,0000140100,NT30,S,CB001,,
0002000648,2000,0000140100,0002,TU,CB002,,
0002000649,1000,0000140100,0002,TU,CB002,,
0002000650,3000,0000140000,NT30,S,CB002,,
0002000650,2000,0000140100,Z030,TU,,,
0002000651,3000,0000140000,Z014,,,,
0002000651,2000,0000140000,0002,,,,
0002000652,1000,0000140100,NT30,S,CB002,,
0002000653,3000,0000140000,NT30,,,,
0002000654,3000,0000140000,0001,S,CB002,,
0002000655,3000,0000140000,Z014,TU,CB001,,
0002000656,2000,0000140000,0002,,CB002,,
0002000657,2000,0000140000,Z030,TU,CB002,,
0002000658,1000,0000140000,NT30,TU,,,
0002000658,3000,0000140100,0001,,CB001,,
0002000659,2000,0000140000,0002,TU,,,
0002000660,2000,0000140000,0002,,,,
0002000661,2000,0000140100,Z030,TU,CB002,,
0002000661,3000,0000140000,Z014,,CB002,,
0002000662,3000,0000140000,0002,TU,CB002,,
0002000662,1000,0000140100,0002,S,CB001,,
0002000663,1000,0000140000,NT30,,CB002,,
0002000664,2000,0000140000,Z030,,CB001,,
0002000665,1000,0000140000,Z030,TU,CB001,,
0002000666,1000,0000140100,Z030,TU,CB001,,
0002000667,3000,0000140100,Z014,S,,,
0002000668,3000,0000140100,0002,S,CB001,,
0002000668,2000,0000140000,NT30,,CB002,,
0002000669,2000,0000140000,Z030,TU,CB002,,
0002000669,1000,0000140000,0001,,CB001,,
0002000670,2000,0000140100,Z030,S,CB002,,
0002000670,1000,0000140100,Z030,S,CB001,,
0002000671,1000,0000140000,0001,TU,CB001,,
0002000671,3000,0000140000,0002,S,CB001,,
0002000672,3000,0000140000,Z014,,CB001,,
0002000673,1000,0000140000,0002,,CB001,,
0002000673,3000,0000140100,0002,TU,,,
0002000674,2000,0000140100,0002,,CB001,,
0002000675,3000,0000140000,NT30,,CB001,,
0002000676,2000,0000140000,Z014,TU,CB002,,
0002000677,1000,0000140000,NT30,TU,,,
0002000677,2000,0000140000,Z014,,CB002,,
0002000678,3000,0000140100,0001,,CB002,,
0002000678,1000,0000140100,0002,,,,
0002000679,3000,0000140000,NT30,TU,,,
0002000679,2000,0000140000,0001,S,CB002,,
0002000680,1000,0000140100,NT30,TU,CB002,,
0002000681,1000,0000140000,Z030,TU,,,
0002000681,2000,0000140000,Z014,S,CB002,,
0002000682,2000,0000140100,0001,S,CB001,,
0002000683,3000,0000140100,0002,TU,CB002,,
0002000684,2000,0000140000,Z014,S,CB002,,
0002000685,3000,0000140000,Z014,,CB002,,
0002000686,2000,0000140000,Z014,S,CB001,,
0002000687,1000,0000140000,NT30,S,,,
0002000687,2000,0000140100,0001,S,CB001,,
0002000688,2000,0000140000,Z014,,CB002,,
0002000688,1000,0000140000,Z030,TU,CB002,,
0002000689,3000,0000140000,0001,,,,
0002000690,2000,0000140100,Z014,TU,CB002,,
0002000690,3000,0000140000,NT30,TU,CB001,,
0002000691,3000,0000140100,Z030,,,,
0002000691,2000,0000140100,NT30,,CB002,,
0002000692,3000,0000140100,0002,,,,
0002000693,2000,0000140100,0001,TU,CB002,,
0002000693,3000,0000140100,0001,,CB001,,
0002000694,3000,0000140000,0001,,CB002,,
0002000695,2000,0000140100,0001,S,CB001,,
0002000696,2000,0000140100,Z014,TU,,,
0002000696,3000,0000140100,Z030,S,,,
0002000697,3000,0000140100,NT30,S,CB001,,
0002000697,1000,0000140100,Z014,,,,
0002000698,1000,0000140100,Z014,,CB001,,
0002000699,1000,0000140000,0002,TU,CB002,,
0002000700,3000,0000140000,NT30,TU,CB001,,
0002000701,3000,0000140000,Z030,S,,,
0002000702,3000,0000140000,NT30,S,CB002,,
0002000703,3000,0000140100,NT30,S,CB001,,
0002000704,2000,0000140100,0001,TU,CB001,,
0002000704,1000,0000140100,Z030,,CB002,,
0002000705,2000,0000140000,NT30,TU,CB001,,
0002000706,1000,0000140100,0002,S,CB001,,
0002000707,1000,0000140000,NT30,S,CB001,,
0002000707,2000,0000140100,0002,S,CB002,,
0002000708,1000,0000140100,0002,TU,,,
0002000708,2000,0000140100,0002,TU,CB001,,
0002000709,2000,0000140000,0002,,CB002,,
0002000710,3000,0000140000,0001,,CB002,,
0002000711,1000,0000140100,Z030,S,CB001,,
0002000712,2000,0000140000,NT30,TU,CB001,,
0002000713,3000,0000140100,NT30,,CB001,,
0002000714,1000,0000140100,Z014,S,,,
0002000715,1000,0000140000,0002,TU,,,
0002000716,2000,0000140000,Z014,,CB001,,
0002000717,3000,0000140100,NT30,,CB001,,
0002000717,2000,0000140000,NT30,TU,,,
0002000718,2000,0000140100,Z014,S,CB002,,
0002000718,3000,0000140000,Z030,TU,CB002,,
0002000719,2000,0000140000,0002,,CB002,,
0002000720,2000,0000140000,0002,S,,,
0002000721,3000,0000140000,0002,S,CB002,,
0002000722,3000,0000140000,Z014,S,CB002,,
0002000723,2000,0000140100,Z014,S,CB002,,
0002000724,1000,0000140100,0001,,CB001,,
0002000725,1000,0000140000,0002,TU,,,
0002000726,3000,0000140100,0001,,CB001,,
0002000726,2000,0000140100,0002,,CB001,,
0002000727,3000,0000140000,0001,TU,CB002,,
0002000728,2000,0000140100,NT30,TU,,,
0002000729,2000,0000140000,NT30,TU,CB002,,
0002000730,2000,0000140000,Z014,,CB001,,
0002000731,2000,0000140100,NT30,,CB001,,
0002000732,1000,0000140100,0002,S,CB001,,
0002000733,1000,0000140000,Z030,TU,CB002,,
0002000734,3000,0000140000,Z014,TU,CB002,,
0002000735,1000,0000140000,NT30,S,,,
0002000736,3000,0000140100,Z014,S,CB002,,
0002000737,1000,0000140100,0002,,CB002,,
0002000738,1000,0000140000,Z030,S,CB001,,
0002000739,3000,0000140000,NT30,,CB002,,
0002000739,1000,0000140100,NT30,S,CB001,,
0002000740,2000,0000140000,Z014,TU,,,
0002000741,1000,0000140000,0001,S,CB002,,
0002000742,2000,0000140000,NT30,S,CB002,,
0002000743,3000,0000140100,0002,S,CB001,,
0002000744,1000,0000140100,Z014,TU,,,
0002000745,1000,0000140000,Z014,TU,CB001,,
0002000746,1000,0000140000,0001,S,CB001,,
0002000747,2000,0000140000,Z030,TU,,,
0002000748,1000,0000140000,0001,,,,
0002000749,1000,0000140100,Z014,TU,CB001,,
0002000750,2000,0000140100,0002,S,CB002,,
0002000751,3000,0000140000,0002,S,CB002,,
0002000752,2000,0000140100,0002,,CB001,,
0002000753,3000,0000140000,0001,S,CB002,,
0002000753,2000,0000140100,0001,S,CB001,,
0002000754,1000,0000140000,0002,S,CB002,,
0002000754,3000,0000140100,NT30,,CB001,,
0002000755,1000,0000140100,0002,TU,CB001,,
0002000755,3000,0000140100,Z030,,,,
0002000756,3000,0000140000,Z030,S,CB002,,
0002000757,2000,0000140100,0002,S,CB001,,
0002000758,3000,0000140100,0002,,,,
0002000758,2000,0000140100,Z030,TU,,,
0002000759,2000,0000140000,NT30,S,CB002,,
0002000760,1000,0000140000,0001,,CB001,,
0002000761,3000,0000140000,0002,,CB001,,
0002000761,2000,0000140100,Z014,TU,,,
0002000762,2000,0000140100,NT30,S,CB001,,
0002000763,3000,0000140000,NT30,S,CB002,,
0002000764,3000,0000140100,NT30,TU,CB002,,
0002000765,1000,0000140100,0002,TU,CB001,,
0002000766,3000,0000140100,0001,,CB002,,
0002000767,1000,0000140000,0001,TU,,,
0002000767,2000,0000140000,0001,,,,
0002000768,3000,0000140000,NT30,S,,,
0002000768,2000,0000140000,Z030,S,,,
0002000769,3000,0000140000,NT30,S,,,
0002000770,2000,0000140100,Z030,S,,,
0002000770,1000,0000140000,0002,,,,
0002000771,1000,0000140100,NT30,S,CB001,,
0002000772,2000,0000140000,NT30,S,CB001,,
0002000773,3000,0000140100,0002,TU,,,
0002000774,1000,0000140100,Z030,,,,
0002000775,1000,0000140000,NT30,,,,
0002000775,2000,0000140000,NT30,S,,,
0002000776,1000,0000140100,0002,TU,CB001,,
0002000777,1000,0000140000,Z030,,,,
0002000778,2000,0000140100,0001,TU,,,
0002000779,1000,0000140000,NT30,TU,CB002,,
0002000780,2000,0000140000,0002,,CB002,,
0002000781,1000,0000140000,Z030,TU,CB002,,
0002000781,3000,0000140000,0001,,,,
0002000782,2000,0000140000,0001,S,CB002,,
0002000783,1000,0000140000,Z014,S,CB001,,
0002000784,2000,0000140100,0001,,,,
0002000785,1000,0000140100,Z030,,CB002,,
0002000786,2000,0000140100,0001,,CB002,,
0002000787,3000,0000140000,Z014,TU,,,
0002000788,2000,0000140000,Z030,,CB002,,
0002000788,3000,0000140000,0001,S,CB001,,
0002000789,3000,0000140100,Z030,TU,,,
0002000790,3000,0000140000,Z014,TU,CB002,,
0002000791,1000,0000140000,0001,S,CB002,,
0002000792,1000,0000140100,Z030,S,,,
0002000793,3000,0000140000,Z030,S,,,
0002000794,3000,0000140000,0001,,CB002,,
0002000794,1000,0000140000,Z030,TU,,,
0002000795,1000,0000140000,0001,TU,CB002,,
0002000796,2000,0000140000,NT30,S,CB001,,
0002000797,3000,0000140000,NT30,TU,CB002,,
0002000798,2000,0000140000,NT30,S,CB002,,
0002000799,3000,0000140100,Z030,,CB001,,
0002000799,1000,0000140000,NT30,TU,CB001,,
0002000800,2000,0000140000,0001,,,,
0002000800,1000,0000140000,0001,TU,CB001,,
0002000801,2000,0000140100,Z014,,CB002,,
0002000802,1000,0000140000,0002,TU,CB001,,
0002000802,3000,0000140100,0002,S,,,
0002000803,3000,0000140000,NT30,,CB002,,
0002000804,2000,0000140000,0002,,CB001,,
0002000805,2000,0000140100,0001,TU,,,
0002000806,2000,0000140000,0001,,,,
0002000807,3000,0000140100,Z030,,CB001,,
0002000808,3000,0000140100,0001,TU,CB002,,
0002000809,3000,0000140000,0002,TU,CB001,,
0002000809,2000,0000140000,NT30,TU,,,
0002000810,3000,0000140100,NT30,,CB001,,
0002000811,3000,0000140100,Z030,S,CB001,,
0002000812,2000,0000140100,Z030,S,CB002,,
0002000813,2000,0000140000,Z030,S,,,
0002000814,3000,0000140100,0002,S,CB001,,
0002000815,1000,0000140100,Z014,,,,
0002000816,2000,0000140000,0002,,CB002,,
0002000816,3000,0000140100,0002,S,CB002,,
0002000817,1000,0000140100,NT30,,CB001,,
0002000818,1000,0000140000,0001,TU,,,
0002000819,1000,0000140000,NT30,TU,CB001,,
0002000820,3000,0000140000,Z030,S,CB002,,
0002000820,1000,0000140000,Z030,,,,
0002000821,1000,0000140000,0002,S,,,
0002000822,1000,0000140100,Z014,TU,,,
0002000823,2000,0000140000,0001,TU,CB002,,
0002000824,2000,0000140000,NT30,TU,,,
0002000824,3000,0000140000,Z030,,CB001,,
0002000825,1000,0000140100,0002,,,,
0002000825,2000,0000140000,Z014,,CB001,,
0002000826,3000,0000140000,0002,,,,
0002000827,3000,0000140000,Z030,S,CB002,,
0002000828,3000,0000140100,Z030,TU,,,
0002000829,1000,0000140100,0002,S,,,
0002000829,3000,0000140000,Z014,S,CB001,,
0002000830,3000,0000140000,NT30,TU,CB001,,
0002000831,3000,0000140000,Z030,,,,
0002000831,2000,0000140100,NT30,TU,CB002,,
0002000832,2000,0000140100,0002,TU,CB002,,
0002000833,3000,0000140100,NT30,S,CB001,,
0002000834,2000,0000140100,NT30,S,CB002,,
0002000835,3000,0000140100,NT30,,CB001,,
0002000836,3000,0000140000,Z030,TU,CB002,,
0002000837,2000,0000140100,Z014,,,,
0002000837,1000,0000140000,0002,,CB001,,
0002000838,3000,0000140100,0001,,,,
0002000839,2000,0000140000,0001,S,CB001,,
0002000839,3000,0000140100,NT30,S,,,
0002000840,1000,0000140100,0002,,CB001,,
0002000841,1000,0000140100,0002,,CB001,,
0002000842,2000,0000140000,Z030,S,,,
0002000843,2000,0000140100,Z014,S,CB001,,
0002000844,3000,0000140000,Z030,S,CB002,,
0002000845,2000,0000140000,Z030,TU,CB001,,
0002000846,3000,0000140100,Z014,TU,,,
0002000847,1000,0000140000,Z030,,CB002,,
0002000847,3000,0000140000,0001,S,,,
0002000848,3000,0000140100,Z030,,CB001,,
0002000849,2000,0000140000,NT30,TU,CB001,,
0002000850,2000,0000140000,Z030,S,CB002,,
0002000851,3000,0000140100,0002,S,CB001,,
0002000851,1000,0000140000,0002,TU,CB002,,
0002000852,2000,0000140100,Z014,TU,CB002,,
0002000853,1000,0000140000,0001,TU,CB002,,
0002000854,3000,0000140100,0001,S,CB001,,
0002000855,1000,0000140000,Z014,TU,CB001,,
0002000856,1000,0000140000,0002,,CB001,,
0002000857,2000,0000140100,0002,S,,,
0002000858,3000,0000140000,Z030,S,CB002,,
0002000859,2000,0000140000,Z030,S,,,
0002000860,2000,0000140100,Z014,,CB001,,
0002000861,2000,0000140100,0002,TU,,,
0002000862,3000,0000140100,0001,,CB002,,
0002000863,3000,0000140000,NT30,,,,
0002000863,2000,0000140000,Z014,S,,,
0002000864,1000,0000140100,NT30,,CB002,,
0002000865,1000,0000140100,NT30,TU,CB001,,
0002000865,3000,0000140100,0001,TU,,,
0002000866,3000,0000140100,0002,,,,
0002000866,2000,0000140000,0001,S,,,
0002000867,2000,0000140100,0001,S,CB001,,
0002000868,3000,0000140100,Z014,TU,CB002,,
0002000869,3000,0000140000,Z014,,CB002,,
0002000870,1000,0000140100,0001,TU,CB001,,
0002000870,3000,0000140000,Z030,TU,,,
0002000871,2000,0000140000,NT30,TU,CB001,,
0002000872,2000,0000140000,0001,TU,CB002,,
0002000873,2000,0000140100,Z014,TU,CB001,,
0002000874,1000,0000140100,0002,S,CB001,,
0002000875,1000,0000140000,NT30,TU,CB002,,
0002000876,1000,0000140100,Z030,,,,
0002000877,1000,0000140000,Z030,,,,
0002000878,1000,0000140000,Z030,TU,,,
0002000879,1000,0000140100,Z030,TU,,,
0002000880,2000,0000140000,0001,S,CB001,,
0002000881,3000,0000140000,Z014,S,CB001,,
0002000882,3000,0000140100,Z030,TU,CB001,,
0002000883,2000,0000140100,Z030,TU,CB002,,
0002000884,3000,0000140000,Z014,,,,
0002000884,1000,0000140000,0001,TU,CB002,,
0002000885,2000,0000140000,Z030,S,CB001,,
0002000886,2000,0000140000,Z030,TU,,,
0002000886,1000,0000140000,Z014,,CB001,,
0002000887,3000,0000140000,0002,TU,CB001,,
0002000887,1000,0000140100,Z014,,,,
0002000888,2000,0000140000,Z030,TU,CB001,,
0002000888,3000,0000140000,Z014,TU,CB001,,
0002000889,1000,0000140100,NT30,S,CB002,,
0002000890,2000,0000140000,0002,S,CB002,,
0002000891,2000,0000140100,0002,,CB001,,
0002000892,1000,0000140000,NT30,TU,CB002,,
0002000893,2000,0000140100,NT30,TU,,,
0002000894,3000,0000140100,Z014,S,CB001,,
0002000895,3000,0000140000,Z030,TU,,,
0002000896,1000,0000140100,Z014,TU,CB001,,
0002000897,3000,0000140000,NT30,TU,CB001,,
0002000898,1000,0000140100,Z030,,,,
0002000898,3000,0000140100,0002,TU,CB002,,
0002000899,2000,0000140100,0002,S,CB002,,
0002000900,3000,0000140000,0001,,CB002,,
