KUNNR,KTOKD,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,STCD2,STCD3,STCEG,LOEVM,SPERM,ERDAT
0002000131,ZCUS,Kiosk Brandes Düsseldorf,,KIOSKBRAND,Feldweg 96,Düsseldorf,40213,DE,DE,+41 77 1295 2852,buchhaltung@kioskbrandesdüssel.de,DE893514009,,,DE983989956,,,2011-05-21
0002000132,ZCUS,Kiosk Clemens Münster,Zentrale,KIOSKCLEME,Brückenstraße 48,Münster,48143,DE,DE,+33 66 1005 8610,einkauf@kioskclemensmünste.de,,,,,,,2021-07-23
0002000133,DEBI,Winkler Großhandel GmbH,,WINKLERGRO,Ringstraße 138,Dortmund,44135,DE,DE,+33 40 2110 3282,buchhaltung@winklergroßhandelg.de,,,,DE172316234,,,2015-09-25
0002000134,KUNA,Ziegler Gastronomie GmbH,,ZIEGLERGAS,Ringstraße 73,Mannheim,68159,DE,DE,+31 62 6716 8942,bestellung@zieglergastronomie.de,DE592245476,,,DE311946899,,,2011-04-14
0002000135,ZCUS,Kiosk Ziegler Augsburg,,KIOSKZIEGL,Gewerbepark 174,Augsburg,86150,DE,DE,+49 90 6720 8889,einkauf@kioskziegleraugsbu.de,DE387457453,,,DE317332242,,,2012-08-28
0002000136,KUNA,Hartmann Gastronomie GmbH,,HARTMANNGA,Brückenstraße 25,Zürich,8001,CH,DE,+31 95 1078 5663,einkauf@hartmanngastronomi.ch,,,,,,,2018-02-18
0002000137,DEBI,Gruber Großhandel GmbH 4,,GRUBERGROS,Schulstraße 32,Lyon,69001,FR,FR,+41 88 7115 2652,bestellung@grubergroßhandelgm.fr,,,,,,,2011-06-10
0002000138,KUNA,Hotel Böhm Kraków,,HOTELBÖHMK,Feldweg 10,Kraków,30-001,PL,EN,+49 91 9879 5598,bestellung@hotelböhmkraków.pl,,,,PL536117534,,,2010-06-11
0002000139,KUNA,Metzgerei Lehmann,,METZGEREIL,Bahnhofstraße 157,Hamburg,20095,DE,DE,+41 93 1837 2788,info@metzgereilehmann.de,,,,DE981001303,,,2026-07-05
0002000140,DEBI,Hartmann Großhandel GmbH,,HARTMANNGR,Industriering 43,Wien,1010,AT,DE,+33 56 5749 1667,buchhaltung@hartmanngroßhandel.at,,,,AT203848667,,,2025-01-14
0002000141,KUNA,Frank Gastronomie GmbH,,FRANKGASTR,Bahnhofstraße 208,Stuttgart,70173,DE,DE,+49 31 2173 7020,buchhaltung@frankgastronomiegm.de,,,,DE835532990,,,2022-05-03
0002000142,KUNA,Engel Partnermarkt Bonn,,ENGELPARTN,Lindenweg 95,Bonn,53111,DE,DE,+31 32 8323 7261,info@engelpartnermarktb.de,,,,,,,2017-12-12
0002000143,KUNA,Betriebskantine Brandes AG,,BETRIEBSKA,Bahnhofstraße 95,Frankfurt am Main,60311,DE,DE,+33 85 6064 3595,info@betriebskantinebra.de,,,,DE586892923,,,2018-06-24
0002000144,KUNA,Hotel Sievers Wuppertal,Zentrale,HOTELSIEVE,Schulstraße 8,Wuppertal,42103,DE,DE,+43 73 3595 7566,buchhaltung@hotelsieverswupper.de,,,,DE981610205,,,2010-04-28
0002000145,KUNA,Bäckerei Bergmann 15,,BÄCKEREIBE,Gewerbepark 67,Münster,48143,DE,DE,+49 68 4770 9323,buchhaltung@bäckereibergmann15.de,DE371560622,,,DE949107570,,,2023-04-16
0002000146,ZCUS,Kiosk Rohde Münster 10,,KIOSKROHDE,Schulstraße 197,Münster,48143,DE,DE,+41 29 7220 406,info@kioskrohdemünster1.de,DE455279183,,,DE345051688,,,2022-03-01
0002000147,KUNA,Bergmann Handels GmbH & Co. KG,,BERGMANNHA,Hauptstraße 215,München,80331,DE,DE,+43 53 5031 1136,bestellung@bergmannhandelsgmb.de,,,,DE627932338,,,2017-10-13
0002000148,KUNA,Brandes Partnermarkt Augsburg,,BRANDESPAR,Ringstraße 237,Augsburg,86150,DE,DE,+31 36 1325 980,einkauf@brandespartnermark.de,,,,,,,2026-07-16
0002000149,KUNA,Bäckerei Krause,,BÄCKEREIKR,Feldweg 135,Mannheim,68159,DE,DE,+31 86 1906 8382,bestellung@bäckereikrause.de,DE723130399,,,DE788869585,,,2014-02-02
0002000150,KUNA,Amann Gastronomie GmbH 14,,AMANNGASTR,Bahnhofstraße 215,Nürnberg,90403,DE,DE,+48 23 5077 6095,einkauf@amanngastronomiegm.de,,,,DE693748086,,,2015-04-21
0002000151,DEBI,Clemens Großhandel GmbH,,CLEMENSGRO,Marktplatz 219,Hamburg,20095,DE,DE,+31 46 2679 1526,info@clemensgroßhandelg.de,DE608017221,,,DE846463845,,,2011-03-11
0002000152,KUNA,Sommer Gastronomie GmbH,,SOMMERGAST,Marktplatz 40,Graz,8010,AT,DE,+31 54 3157 9237,info@sommergastronomieg.at,,,,AT709848232,,,2015-02-03
0002000153,DEBI,Kaufmann Vertriebs KG,,KAUFMANNVE,Bahnhofstraße 191,Wuppertal,42103,DE,DE,+49 44 1262 3052,bestellung@kaufmannvertriebsk.de,DE011068962,,,DE309610479,,,2012-10-20
0002000154,DEBI,Clemens Großhandel GmbH 18,,CLEMENSGRO,Ringstraße 69,Wuppertal,42103,DE,DE,+49 26 6920 2406,,,,,DE798851018,,,2010-11-15
0002000155,KUNA,Gruber Gastronomie GmbH,,GRUBERGAST,Hauptstraße 189,Mannheim,68159,DE,DE,+43 99 5356 6183,bestellung@grubergastronomieg.de,,,,DE830974050,,,2017-09-02
0002000156,DEBI,Hartmann Vertriebs KG,,HARTMANNVE,Industriering 142,Duisburg,47051,DE,DE,+48 89 8391 5795,info@hartmannvertriebsk.de,DE658056747,,,DE902223123,,,2016-01-17
0002000157,KUNA,Bäckerei Bergmann 16,,BÄCKEREIBE,Feldweg 62,Amsterdam,1012 AB,NL,EN,+49 39 9264 4620,bestellung@bäckereibergmann16.nl,,,,NL255801218,,,2019-10-15
0002000158,KUNA,Metzgerei Wendt,,METZGEREIW,Ringstraße 212,Lille,59000,FR,FR,+31 20 2622 2777,info@metzgereiwendt.fr,,,,,,,2025-06-22
0002000159,KUNA,Engel Partnermarkt Nürnberg,,ENGELPARTN,Lindenweg 21,Nürnberg,90403,DE,DE,+48 89 3922 6971,bestellung@engelpartnermarktn.de,DE755441371,,,DE196460209,,,2015-11-17
0002000160,KUNA,Clemens Handels GmbH & Co. KG,,CLEMENSHAN,Marktplatz 36,Bonn,53111,DE,DE,+49 73 2567 3863,bestellungclemenshandelsgmbh.de,,,,DE537245647,,,2024-02-02
0002000161,DEBI,Krause Großhandel GmbH,,KRAUSEGROS,Marktplatz 198,Münster,48143,DE,DE,+31 30 1873 2793,info@krausegroßhandelgm.de,,,,DE148651777,,,2022-11-25
0002000162,KUNA,Hartmann Partnermarkt Düsseldorf,,HARTMANNPA,Bahnhofstraße 158,Düsseldorf,40213,DE,DE,,bestellung@hartmannpartnermar.de,DE669363734,,,DE925983832,,,2022-06-04
0002000163,DEBI,Sommer Großhandel GmbH,,SOMMERGROS,Brückenstraße 205,Lyon,69001,FR,FR,+43 77 3519 7774,buchhaltung@sommergroßhandelgm.fr,,,,,,,2012-01-15
0002000164,DEBI,Frank Großhandel GmbH,,FRANKGROSS,Ringstraße 190,Köln,50667,DE,DE,+49 68 4572 3582,einkauf@frankgroßhandelgmb.de,DE041614259,,,DE128846290,,,2025-03-26
0002000165,KUNA,Betriebskantine Ziegler AG,,BETRIEBSKA,Bahnhofstraße 173,Stuttgart,70173,DE,DE,+31 31 6191 1388,bestellung@betriebskantinezie.de,,,,DE948458583,,,2016-12-06
0002000166,KUNA,Bäckerei Gruber 7,,BÄCKEREIGR,Talstraße 165,Karlsruhe,76133,DE,DE,+33 88 9130 627,bestellung@bäckereigruber7.de,,,,DE371352835,,,2015-04-27
0002000167,KUNA,Hotel Amann Dresden,Zentrale,HOTELAMANN,Schulstraße 232,Dresden,01067,DE,DE,+41 39 8512 2056,info@hotelamanndresden.de,,,,DE932972064,,,2013-02-13
0002000168,KUNA,Lehmann Handels GmbH & Co. KG,,LEHMANNHAN,Bahnhofstraße 11,Rotterdam,3011 AA,NL,EN,+48 32 1825 4044,,,,,,,,2018-02-06
0002000169,DEBI,Ullrich Großhandel GmbH,,ULLRICHGRO,Gewerbepark 25,Wien,1010,AT,DE,+33 93 7868 3369,bestellung@ullrichgroßhandelg.at,,,,,,,2022-09-26
0002000170,KUNA,Frank Partnermarkt Dresden,,FRANKPARTN,Industriering 165,Dresden,01067,DE,DE,+48 93 1353 8696,info@frankpartnermarktd.de,DE620762872,,,DE067600957,,,2024-11-04
0002000171,DEBI,Kaufmann Vertriebs KG 9,,KAUFMANNVE,Hauptstraße 133,Hannover,2833,DE,DE,+49 38 6487 3406,buchhaltung@kaufmannvertriebsk.de,,,,DE143625668,,,2011-08-20
0002000172,DEBI,Vogel Großhandel GmbH,,VOGELGROSS,Marktplatz 230,Amsterdam,1012 AB,NL,EN,+43 36 7013 7210,einkauf@vogelgroßhandelgmb.nl,,,,,,,2019-06-22
0002000173,KUNA,Metzgerei Stein,,METZGEREIS,Am Hafen 163,Hannover,30159,DE,DE,+43 23 8167 1741,einkauf@metzgereistein.de,DE979880325,,,DE774449261,,,2013-05-28
0002000174,KUNA,Lehmann Handels GmbH & Co. KG 6,Zentrale,LEHMANNHAN,Schulstraße 227,Dresden,01067,DE,DE,+31 74 1825 5232,einkauf@lehmannhandelsgmbh.de,,,,DE034954755,,,2012-09-22
0002000175,KUNA,Bäckerei Clemens,,BÄCKEREICL,Bahnhofstraße 142,Bielefeld,33602,DE,DE,+48 44 3884 385,info@bäckereiclemens.de,DE341155246,,,DE650422174,,,2023-11-18
0002000176,ZCUS,Kiosk Vetter Basel,,KIOSKVETTE,Talstraße 46,Basel,4051,CH,DE,+48 21 9867 7120,bestellung@kioskvetterbasel.ch,,,,,,,2020-01-05
0002000177,DEBI,Gruber Großhandel GmbH 2,,GRUBERGROS,Feldweg 81,Dresden,01067,DE,DE,+48 92 3202 1460,einkauf@grubergroßhandelgm.de,,,,DE701176154,,,2018-06-28
0002000178,KUNA,Bäckerei Hartmann,,BÄCKEREIHA,Brückenstraße 172,Leipzig,04109,DE,DE,+43 21 5511 7520,buchhaltung@bäckereihartmann.de,,,,DE333412348,,,2016-08-06
0002000179,DEBI,Engel Großhandel GmbH,,ENGELGROSS,Hauptstraße 92,Bielefeld,33602,DE,DE,+48 60 5136 9659,einkauf@engelgroßhandelgmb.de,DE718100539,,,DE676213629,,,2023-05-03
0002000180,ZCUS,Kiosk Vetter Essen,,KIOSKVETTE,Lindenweg 70,Essen,45127,DE,DE,+31 50 1428 5734,info@kioskvetteressen.de,DE134520519,,,DE154188959,,,2025-06-15
0002000181,DEBI,Vogel Vertriebs KG,,VOGELVERTR,Bahnhofstraße 178,Wien,1010,AT,DE,+48 68 8435 4499,bestellung@vogelvertriebskg.at,,,,AT436915522,,,2019-12-10
0002000182,KUNA,Betriebskantine Kaufmann AG,,BETRIEBSKA,Ringstraße 81,Dresden,01067,DE,DE,+49 32 4885 8081,bestellung@betriebskantinekau.de,,,,DE888966173,,,2010-01-28
0002000183,DEBI,Lehmann Großhandel GmbH,,LEHMANNGRO,Talstraße 220,Karlsruhe,76133,DE,DE,+41 49 3110 7848,info@lehmanngroßhandelg.de,,,,DE955597960,,,2026-08-22
0002000184,KUNA,Metzgerei Radtke,,METZGEREIR,Ringstraße 224,Zürich,8001,CH,DE,+49 30 2367 8883,bestellung@metzgereiradtke.ch,,,,,,,2015-05-07
0002000185,ZCUS,Kiosk Stein Amsterdam,,KIOSKSTEIN,Industriering 19,Amsterdam,1012 AB,NL,EN,+49 33 7878 3086,info@kiosksteinamsterda.nl,,,,NL270216026,,,2014-09-06
0002000186,KUNA,Dittrich Partnermarkt Köln,,DITTRICHPA,Feldweg 190,Köln,50667,DE,DE,+49 75 9651 6107,einkauf@dittrichpartnermar.de,DE739853198,,,DE529838904,,,2010-08-06
0002000187,KUNA,Clemens Partnermarkt Stuttgart,,CLEMENSPAR,Industriering 158,Stuttgart,70173,DE,DE,+33 90 9088 2904,buchhaltung@clemenspartnermark.de,DE369632896,,,DE140179337,,,2018-02-28
0002000188,KUNA,Ziegler Partnermarkt Bochum,,ZIEGLERPAR,Am Hafen 152,Bochum,44787,DE,DE,+41 89 9968 3324,info@zieglerpartnermark.de,DE396381509,,,DE982991969,,,2014-01-08
0002000189,ZCUS,Kiosk Hartmann Nürnberg,,KIOSKHARTM,Brückenstraße 188,Nürnberg,90403,DE,DE,+33 46 3443 4443,buchhaltung@kioskhartmannnürnb.de,,,,DE537317394,,,2016-06-12
0002000190,KUNA,Brandes Gastronomie GmbH,Zentrale,BRANDESGAS,Lindenweg 5,Hannover,30159,DE,DE,+33 79 2211 4573,bestellung@brandesgastronomie.de,,,,DE322448519,,,2012-12-06
0002000191,KUNA,Metzgerei Amann 2,,METZGEREIA,Ringstraße 204,Dortmund,44135,DE,DE,+33 40 9587 7542,einkauf@metzgereiamann2.de,,,,DE572951167,,,2012-12-06
0002000192,KUNA,Vogel Handels GmbH & Co. KG,,VOGELHANDE,Marktplatz 213,Bonn,53111,DE,DE,+43 82 9460 2339,info@vogelhandelsgmbhco.de,DE964137782,,,DE723546598,,,2018-11-16
0002000193,ZCUS,Kiosk Thiel Hamburg,,KIOSKTHIEL,Gewerbepark 137,Hamburg,20095,DE,DE,+41 91 7212 3912,einkauf@kioskthielhamburg.de,,,,DE518338096,,,2026-08-04
0002000194,KUNA,Radtke Partnermarkt Hamburg,,RADTKEPART,Schulstraße 52,Hamburg,20095,DE,DE,+31 31 5142 6483,info@radtkepartnermarkt.de,,,,DE857771615,,,2014-09-27
0002000195,DEBI,Vetter Großhandel GmbH,,VETTERGROS,Bahnhofstraße 178,Frankfurt am Main,60311,DE,DE,+48 53 8878 9132,einkauf@vettergroßhandelgm.de,,,,DE217910466,,,2013-03-22
0002000196,KUNA,Bäckerei Winkler,,BÄCKEREIWI,Talstraße 117,Zürich,8001,CH,DE,+43 22 4539 1532,info@bäckereiwinkler.ch,,,,,,,2015-03-24
0002000197,KUNA,Wendt Gastronomie GmbH,,WENDTGASTR,Ringstraße 42,Stuttgart,70173,DE,DE,+43 46 6629 9216,einkauf@wendtgastronomiegm.de,DE877079096,,,DE913075122,,,2016-10-08
0002000198,KUNA,Böhm Handels GmbH & Co. KG,,BÖHMHANDEL,Lindenweg 96,Lille,59000,FR,FR,+33 43 6957 4740,bestellung@böhmhandelsgmbhcok.fr,,,,FR151230178,,,2018-03-11
0002000199,KUNA,Dittrich Partnermarkt Essen,,DITTRICHPA,Ringstraße 86,Essen,45127,DE,DE,+49 78 2639 2679,,DE170019471,,,DE220930249,,,2025-03-24
0002000200,KUNA,Clemens Handels GmbH & Co. KG 7,,CLEMENSHAN,Brückenstraße 59,Kraków,30-001,PL,EN,+43 37 5435 1459,buchhaltung@clemenshandelsgmbh.pl,,,,,,,2020-04-16
0002000201,KUNA,Bäckerei Ullrich,Zentrale,BÄCKEREIUL,Ringstraße 5,Warszawa,00-001,PL,EN,,info@bäckereiullrich.pl,,,,PL484055516,,,2024-11-19
0002000202,KUNA,Böhm Handels GmbH & Co. KG 11,,BÖHMHANDEL,Industriering 221,Köln,50667,DE,DE,+31 95 8640 9909,bestellung@böhmhandelsgmbhcok.de,,,,,,,2023-03-17
0002000203,KUNA,Betriebskantine Vogel AG,,BETRIEBSKA,Ringstraße 57,Düsseldorf,40213,DE,DE,+33 50 7903 332,buchhaltung@betriebskantinevog.de,DE565921004,,,DE564468827,,,2025-02-13
0002000204,KUNA,Krause Gastronomie GmbH,,KRAUSEGAST,Hauptstraße 65,Freiburg,79098,DE,DE,+33 98 5105 8109,bestellung@krausegastronomieg.de,DE408389865,,,DE877399725,,,2021-11-09
0002000205,ZCUS,Kiosk Gruber Dresden,,KIOSKGRUBE,Industriering 5,Dresden,01067,DE,DE,+33 54 8979 4833,bestellung@kioskgruberdresden.de,DE278949653,,,DE226860592,,,2017-06-01
0002000206,KUNA,Hartmann Handels GmbH & Co. KG,,HARTMANNHA,Schulstraße 79,Nürnberg,90403,DE,DE,+33 44 5062 5433,bestellung@hartmannhandelsgmb.de,,,,DE268358723,,,2010-05-05
0002000207,KUNA,Bäckerei Vetter 10,,BÄCKEREIVE,Am Hafen 218,Düsseldorf,40213,DE,DE,+33 88 2894 3336,einkauf@bäckereivetter10.de,DE031262065,,,DE331036998,,,2019-03-21
0002000208,KUNA,Betriebskantine Ullrich AG,,BETRIEBSKA,Marktplatz 165,Düsseldorf,40213,DE,DE,,buchhaltung@betriebskantineull.de,,,,DE779646166,,,2017-12-23
0002000209,DEBI,Winkler Großhandel GmbH 12,,WINKLERGRO,Ringstraße 86,Köln,50667,DE,DE,+41 75 8040 6395,buchhaltung@winklergroßhandelg.de,DE112815006,,,DE179104004,,,2012-10-18
0002000210,KUNA,Betriebskantine Stein AG,,BETRIEBSKA,Talstraße 203,Hannover,30159,DE,DE,+41 46 2431 1914,einkauf@betriebskantineste.de,,,,DE474470584,,,2024-12-28
0002000211,KUNA,Bäckerei Ziegler,,BÄCKEREIZI,Bahnhofstraße 6,Dresden,01067,DE,DE,+33 72 8740 9159,buchhaltung@bäckereiziegler.de,,,,DE084101206,,,2024-05-01
0002000212,ZCUS,Kiosk Bergmann Lyon,,KIOSKBERGM,Schulstraße 238,Lyon,69001,FR,FR,+33 49 8242 9231,info@kioskbergmannlyon.fr,,,,,,,2015-09-25
0002000213,KUNA,Ziegler Gastronomie GmbH 11,,ZIEGLERGAS,Feldweg 183,Bonn,53111,DE,DE,+31 37 3736 5935,bestellung@zieglergastronomie.de,,,,DE958419499,,,2020-05-05
0002000214,KUNA,Bäckerei Amann,,BÄCKEREIAM,Lindenweg 191,Rotterdam,3011 AA,NL,EN,+41 82 8308 2281,bestellung@bäckereiamann.nl,,,,NL544009937,,,2020-03-08
0002000215,ZCUS,Kiosk Krause Kiel,,KIOSKKRAUS,Bahnhofstraße 13,Kiel,24103,DE,DE,+31 94 7974 7884,info@kioskkrausekiel.de,,,,DE951677347,,,2022-03-10
0002000216,DEBI,Engel Vertriebs KG,,ENGELVERTR,Hauptstraße 228,Hamburg,20095,DE,DE,+48 30 4414 9786,bestellung@engelvertriebskg.de,,,,DE726669034,,,2024-01-11
0002000217,KUNA,Betriebskantine Eckert AG,Zentrale,BETRIEBSKA,Brückenstraße 111,Rotterdam,3011 AA,NL,EN,+43 64 7281 983,bestellung@betriebskantineeck.nl,,,,NL124986040,,,2017-07-02
0002000218,KUNA,Dittrich Handels GmbH & Co. KG,,DITTRICHHA,Brückenstraße 46,Kiel,24103,DE,DE,+31 52 5549 4445,bestellung@dittrichhandelsgmb.de,DE366287266,,,DE360512107,,,2010-03-21
0002000219,KUNA,Brandes Handels GmbH & Co. KG,,BRANDESHAN,Bahnhofstraße 45,Essen,45127,DE,DE,+33 42 5831 8439,info@brandeshandelsgmbh.de,DE439183279,,,DE388487125,,,2026-04-08
0002000220,KUNA,Hotel Vogel Mannheim,,HOTELVOGEL,Marktplatz 42,Mannheim,68159,DE,DE,+31 79 7620 2115,bestellung@hotelvogelmannheim.de,DE255856357,,,DE824189437,,,2022-03-08
0002000221,ZCUS,Kiosk Gruber Dortmund,,KIOSKGRUBE,Ringstraße 188,Dortmund,44135,DE,DE,+43 94 7024 8375,einkauf@kioskgruberdortmun.de,,,,DE719958392,,,2010-10-10
0002000222,DEBI,Krause Vertriebs KG,,KRAUSEVERT,Marktplatz 34,Warszawa,00-001,PL,EN,+49 30 4817 3950,bestellung@krausevertriebskg.pl,,,,,,,2020-08-17
0002000223,KUNA,Krause Handels GmbH & Co. KG,,KRAUSEHAND,Gewerbepark 185,Dresden,01067,DE,DE,+49 30 2200 6340,einkauf@krausehandelsgmbhc.de,DE731988425,,,DE984545877,,,2020-03-24
0002000224,DEBI,Rohde Großhandel GmbH,,ROHDEGROSS,Lindenweg 207,Münster,48143,DE,DE,+31 47 8708 5759,info@rohdegroßhandelgmb.de,DE346555513,,,DE556983193,,,2015-06-19
0002000225,KUNA,Hotel Kaufmann Freiburg,,HOTELKAUFM,Bahnhofstraße 50,Freiburg,79098,DE,DE,+41 95 1279 4275,buchhaltung@hotelkaufmannfreib.de,,,,DE738532964,,,2013-12-25
0002000226,KUNA,Bäckerei Clemens 6,,BÄCKEREICL,Ringstraße 41,Freiburg,79098,DE,DE,+48 48 8878 7619,buchhaltung@bäckereiclemens6.de,DE655135560,,,DE509688093,,,2014-04-25
0002000227,KUNA,Gruber Handels GmbH & Co. KG,,GRUBERHAND,Hauptstraße 191,Zürich,8001,CH,DE,+33 29 6582 3960,bestellung@gruberhandelsgmbhc.ch,,,,,,,2023-05-25
0002000228,DEBI,Gruber Vertriebs KG,,GRUBERVERT,Brückenstraße 178,Leipzig,04109,DE,DE,+43 26 9798 2735,buchhaltung@grubervertriebskg.de,DE440881329,,,DE221968428,,,2016-01-14
0002000229,DEBI,Lehmann Großhandel GmbH 17,,LEHMANNGRO,Marktplatz 27,Wuppertal,42103,DE,DE,+41 91 8838 8343,einkauf@lehmanngroßhandelg.de,DE497219868,,,DE341503259,,,2020-05-22
0002000230,DEBI,Böhm Großhandel GmbH,,BÖHMGROSSH,Schulstraße 119,Basel,4051,CH,DE,+41 82 1309 327,einkauf@böhmgroßhandelgmbh.ch,,,,,,,2019-05-26
0002000231,KUNA,Bäckerei Sievers,,BÄCKEREISI,Gewerbepark 126,Dortmund,44135,DE,DE,+48 26 2844 6325,info@bäckereisievers.de,,,,DE952445288,,,2011-10-08
0002000232,DEBI,Clemens Großhandel GmbH 10,Zentrale,CLEMENSGRO,Feldweg 219,Freiburg,79098,DE,DE,+31 41 1884 295,buchhaltung@clemensgroßhandelg.de,,,,DE212812702,,,2016-07-23
0002000233,KUNA,Ziegler Handels GmbH & Co. KG,,ZIEGLERHAN,Marktplatz 39,Zürich,8001,CH,DE,+49 22 6299 9797,buchhaltung@zieglerhandelsgmbh.ch,,,,,,,2024-02-04
0002000234,ZCUS,Kiosk Sommer Zürich,,KIOSKSOMME,Am Hafen 122,Zürich,8001,CH,DE,+31 39 1480 2476,einkauf@kiosksommerzürich.ch,,,,,,,2021-12-17
0002000235,KUNA,Bäckerei Ullrich 5,,BÄCKEREIUL,Bahnhofstraße 83,Wien,1010,AT,DE,+41 81 4887 5158,einkauf@bäckereiullrich5.at,,,,,,,2010-09-26
0002000236,DEBI,Bergmann Vertriebs KG,,BERGMANNVE,Am Hafen 119,Warszawa,00-001,PL,EN,+48 50 2941 2103,einkauf@bergmannvertriebsk.pl,,,,PL803482243,,,2011-08-15
0002000237,KUNA,Gruber Partnermarkt Wuppertal,Zentrale,GRUBERPART,Ringstraße 231,Wuppertal,42103,DE,DE,+49 47 8259 3004,einkauf@gruberpartnermarkt.de,,,,DE664770019,,,2016-08-07
0002000238,DEBI,Rohde Großhandel GmbH 17,,ROHDEGROSS,Schulstraße 6,Bremen,28195,DE,DE,+31 89 2229 3004,bestellung@rohdegroßhandelgmb.de,,,,DE757519385,,,2018-03-23
0002000239,ZCUS,Kiosk Rohde Lille,,KIOSKROHDE,Am Hafen 179,Lille,59000,FR,FR,+43 28 7164 7856,einkauf@kioskrohdelille.fr,,,,,,,2021-07-22
0002000240,KUNA,Amann Partnermarkt Freiburg,,AMANNPARTN,Schulstraße 98,Freiburg,79098,DE,DE,+43 52 2390 2339,buchhaltung@amannpartnermarktf.de,DE504989732,,,DE564464967,,,2024-02-25
0002000241,KUNA,Frank Gastronomie GmbH 3,,FRANKGASTR,Hauptstraße 40,Karlsruhe,76133,DE,DE,+43 62 9539 7280,bestellung@frankgastronomiegm.de,DE573849844,,,DE519823481,,,2012-03-13
0002000242,KUNA,Lehmann Partnermarkt Münster,,LEHMANNPAR,Talstraße 55,Münster,48143,DE,DE,+31 49 6319 4706,einkauf@lehmannpartnermark.de,DE335859441,,,DE595593662,,,2012-06-19
0002000243,KUNA,Krause Partnermarkt Wien,Zentrale,KRAUSEPART,Marktplatz 181,Wien,1010,AT,DE,+48 59 5423 2846,bestellung@krausepartnermarkt.at,,,,AT344079960,,,2016-11-18
0002000244,KUNA,Metzgerei Hartmann,Zentrale,METZGEREIH,Bahnhofstraße 58,Hannover,30159,DE,DE,+41 82 9362 7166,buchhaltung@metzgereihartmann.de,DE374175126,,,DE167105778,,,2012-12-24
0002000245,KUNA,Betriebskantine Lehmann AG,,BETRIEBSKA,Hauptstraße 207,Kraków,30-001,PL,EN,+49 89 3708 270,info@betriebskantineleh.pl,,,,PL645752427,,,2022-06-22
0002000246,KUNA,Hotel Brandes Rotterdam,,HOTELBRAND,Am Hafen 26,Rotterdam,3011 AA,NL,EN,+48 98 6529 3409,bestellung@hotelbrandesrotter.nl,,,,NL600610883,,,2014-04-27
0002000247,DEBI,Clemens Vertriebs KG,,CLEMENSVER,Lindenweg 24,Warszawa,00-001,PL,EN,,buchhaltung@clemensvertriebskg.pl,,,,,,,2022-03-16
0002000248,KUNA,Eckert Gastronomie GmbH,,ECKERTGAST,Industriering 78,Amsterdam,1012 AB,NL,EN,+43 92 1379 8165,info@eckertgastronomieg.nl,,,,NL351902974,,,2023-09-14
0002000249,ZCUS,Kiosk Gruber Bochum,,KIOSKGRUBE,Lindenweg 9,Bochum,44787,DE,DE,+33 39 8986 6753,info@kioskgruberbochum.de,,,,DE200145014,,,2014-04-03
0002000250,KUNA,Radtke Gastronomie GmbH,,RADTKEGAST,Industriering 137,Duisburg,47051,DE,DE,+31 95 1766 9002,bestellung@radtkegastronomieg.de,,,,DE121219064,,,2023-12-26
0002000251,DEBI,Winkler Großhandel GmbH 6,,WINKLERGRO,Brückenstraße 121,Bielefeld,33602,DE,DE,+48 52 1716 7689,bestellung@winklergroßhandelg.de,,,,DE019167698,,,2024-11-17
0002000252,KUNA,Bäckerei Lehmann,,BÄCKEREILE,Brückenstraße 234,Köln,50667,DE,DE,+43 51 9987 3361,info@bäckereilehmann.de,DE651278682,,,DE716832023,,,2014-01-03
0002000253,KUNA,Bäckerei Wendt,,BÄCKEREIWE,Ringstraße 43,Essen,45127,DE,DE,+33 93 3829 3759,info@bäckereiwendt.de,,,,DE206141794,,,2025-07-13
0002000254,KUNA,Ullrich Gastronomie GmbH,,ULLRICHGAS,Ringstraße 55,Bremen,28195,DE,DE,+43 59 4840 3500,buchhaltung@ullrichgastronomie.de,,,,DE523219511,,,2017-11-10
0002000255,ZCUS,Kiosk Ullrich Bochum,,KIOSKULLRI,Feldweg 226,Bochum,44787,DE,DE,+31 77 5297 9052,buchhaltung@kioskullrichbochum.de,,,,DE858993064,,,2014-08-06
0002000256,KUNA,Betriebskantine Wendt AG 13,,BETRIEBSKA,Marktplatz 90,Lille,59000,FR,FR,+49 54 1193 8585,bestellung@betriebskantinewen.fr,,,,,,,2015-07-12
0002000257,DEBI,Clemens Vertriebs KG 5,Zentrale,CLEMENSVER,Feldweg 201,Stuttgart,70173,DE,DE,+41 50 7444 8273,info@clemensvertriebskg.de,,,,DE525925499,,,2021-12-22
0002000258,KUNA,Dittrich Partnermarkt Dresden,,DITTRICHPA,Lindenweg 221,Dresden,01067,DE,DE,+43 92 9020 3695,buchhaltung@dittrichpartnermar.de,DE880177094,,,DE675037283,,,2021-03-01
0002000259,KUNA,Bäckerei Clemens 16,,BÄCKEREICL,Feldweg 117,Hamburg,20095,DE,DE,+48 35 4468 1506,,DE374536115,,,DE327327046,,,2011-03-04
0002000260,KUNA,Metzgerei Kaufmann,,METZGEREIK,Marktplatz 176,Hannover,30159,DE,DE,+41 91 3224 2288,einkauf@metzgereikaufmann.de,,,,DE481225415,,,2019-08-01
