KUNNR,VKORG,WAERS,ZTERM,INCO1,MINBW,SPERM,LOEVM
0002000445,S200,EUR,0001,EXW,2500,,
0002000446,S100,EUR,0001,DAP,0,,
0002000447,S100,EUR,0001,FCA,0,,
0002000447,S300,EUR,NT30,EXW,2500,,
0002000448,S200,EUR,0001,EXW,250,,
0002000449,S300,EUR,Z014,EXW,0,,
0002000450,S300,EUR,Z014,EXW,1000,,
0002000451,S100,EUR,0001,FCA,250,,
0002000452,S300,EUR,0001,DDP,1000,,
0002000453,S100,EUR,Z014,DAP,1000,,
0002000453,S200,EUR,Z030,EXW,2500,,
0002000454,S300,EUR,0001,DDP,0,,
0002000455,S100,EUR,Z030,DDP,0,,
0002000455,S200,EUR,0001,EXW,2500,,
0002000456,S300,EUR,Z030,DAP,2500,,
0002000457,S300,EUR,Z014,FCA,500,,
0002000457,S100,EUR,Z014,EXW,0,,
0002000458,S100,EUR,NT30,FCA,1000,,
0002000459,S300,EUR,0001,FCA,0,,
0002000459,S100,EUR,0001,DAP,500,,
0002000460,S100,EUR,0001,FCA,0,,
0002000461,S200,EUR,0001,DAP,0,,
0002000461,S300,EUR,0001,FCA,1000,,
0002000462,S100,EUR,Z030,DDP,250,,
0002000463,S200,EUR,0001,FCA,0,,
0002000463,S300,EUR,Z014,EXW,1000,,
0002000464,S300,CHF,NT30,FCA,1000,,
0002000465,S100,EUR,0001,FCA,2500,,
0002000466,S200,EUR,Z030,DAP,500,,
0002000467,S200,EUR,Z030,DAP,0,,
0002000467,S300,EUR,Z030,DAP,500,,
0002000468,S200,EUR,Z030,DAP,0,,
0002000469,S100,EUR,Z030,EXW,0,,
0002000469,S200,EUR,Z014,FCA,0,,
0002000470,S200,EUR,NT30,FCA,0,,
0002000471,S200,EUR,0001,EXW,250,,
0002000472,S100,EUR,0001,FCA,250,,
0002000473,S100,EUR,NT30,DDP,2500,,
0002000473,S300,EUR,Z014,DDP,1000,,
0002000474,S200,EUR,Z014,DAP,2500,,
0002000475,S300,CHF,NT30,DDP,0,,
0002000475,S100,CHF,Z030,FCA,250,,
0002000476,S200,EUR,0001,DDP,250,,
0002000476,S100,EUR,NT30,EXW,1000,,
0002000477,S200,EUR,Z014,DAP,250,,
0002000478,S100,EUR,Z030,DAP,250,,
0002000479,S100,EUR,Z030,DDP,2500,,
0002000479,S200,EUR,Z030,EXW,0,,
0002000480,S100,EUR,Z030,EXW,500,,
0002000481,S200,EUR,Z014,FCA,0,,
0002000481,S300,EUR,0001,DAP,0,,
0002000482,S300,EUR,NT30,FCA,0,,
0002000483,S200,EUR,NT30,FCA,500,,
0002000484,S300,EUR,Z014,EXW,1000,,
0002000485,S200,EUR,NT30,DDP,2500,,
0002000486,S300,EUR,0001,FCA,2500,,
0002000486,S200,EUR,NT30,FCA,1000,,
0002000487,S200,CHF,NT30,DDP,1000,,
0002000488,S200,EUR,Z030,EXW,1000,,
0002000489,S200,EUR,Z014,DAP,250,,
0002000490,S100,EUR,0001,EXW,2500,,
0002000490,S200,EUR,Z030,FCA,500,,
0002000491,S200,EUR,NT30,EXW,0,,
0002000492,S100,CHF,Z030,DDP,1000,,
0002000493,S200,EUR,0001,DAP,1000,,
0002000493,S100,EUR,Z014,FCA,500,,
0002000494,S100,EUR,Z014,DAP,0,,
0002000495,S200,EUR,0001,FCA,500,,
0002000496,S200,EUR,Z014,DDP,0,,
0002000497,S100,EUR,Z030,DDP,500,,
0002000498,S200,EUR,Z014,DAP,1000,,
0002000498,S300,EUR,NT30,FCA,0,,
0002000499,S200,EUR,NT30,EXW,0,,
0002000500,S300,EUR,0001,DDP,2500,,
0002000500,S200,EUR,0001,EXW,250,,
0002000501,S100,EUR,NT30,EXW,0,,
0002000502,S300,EUR,NT30,DDP,1000,,
0002000503,S100,EUR,NT30,FCA,500,,
0002000504,S100,EUR,NT30,DDP,0,,
0002000505,S200,EUR,0001,DDP,0,,
0002000506,S100,EUR,NT30,EXW,0,,
0002000507,S200,EUR,Z030,EXW,0,,
0002000507,S300,EUR,NT30,EXW,500,,
0002000508,S300,EUR,Z014,FCA,1000,,
0002000509,S300,CHF,NT30,EXW,0,,
0002000510,S100,EUR,NT30,FCA,0,,
0002000511,S300,EUR,Z014,DAP,2500,,
0002000512,S100,EUR,Z030,EXW,0,,
0002000513,S200,EUR,Z030,DAP,500,,
0002000514,S300,EUR,Z030,EXW,0,,
0002000515,S100,EUR,Z030,EXW,0,,
0002000515,S300,EUR,Z030,EXW,250,,
0002000516,S100,EUR,0001,FCA,500,,
0002000517,S300,EUR,Z014,DDP,1000,,
0002000518,S200,EUR,Z014,DDP,1000,,
0002000519,S200,EUR,Z014,FCA,500,,
0002000520,S200,EUR,Z014,DDP,0,,
0002000521,S300,EUR,0001,DDP,0,,
0002000521,S100,EUR,Z030,FCA,1000,,
0002000522,S200,EUR,NT30,FCA,0,,
0002000523,S200,EUR,NT30,EXW,1000,,
0002000523,S300,EUR,Z030,DDP,0,,
0002000524,S100,EUR,Z030,DDP,2500,,
0002000525,S100,EUR,Z030,EXW,1000,,
0002000526,S200,EUR,0001,EXW,250,,
0002000526,S100,EUR,NT30,EXW,2500,,
0002000527,S200,EUR,Z030,EXW,0,,
0002000528,S100,EUR,NT30,EXW,250,,
0002000529,S200,EUR,0001,DDP,1000,,
0002000530,S100,EUR,Z014,DAP,1000,,
0002000530,S200,EUR,0001,DAP,1000,,
0002000531,S300,EUR,Z014,EXW,2500,,
0002000532,S200,EUR,0001,DDP,2500,,
0002000533,S200,EUR,Z014,FCA,500,,
0002000534,S100,EUR,0001,FCA,0,,
0002000535,S300,EUR,Z014,FCA,0,,
0002000536,S100,EUR,NT30,DAP,2500,,
0002000537,S200,PLN,NT30,FCA,500,,
0002000538,S100,CHF,0001,EXW,500,,
0002000539,S200,EUR,NT30,DDP,0,,
0002000540,S100,EUR,0001,DAP,1000,,
0002000541,S200,EUR,NT30,DDP,0,,
0002000541,S100,EUR,NT30,EXW,0,,
0002000542,S200,EUR,Z014,DAP,1000,,
0002000543,S300,CHF,Z030,EXW,2500,,
0002000543,S200,CHF,Z030,EXW,250,,
0002000544,S300,PLN,Z030,FCA,2500,,
0002000544,S100,PLN,Z014,DDP,0,,
0002000545,S200,EUR,0001,DDP,1000,,
0002000546,S200,EUR,NT30,DDP,1000,,
0002000547,S300,EUR,NT30,DAP,250,,
0002000548,S300,EUR,Z014,EXW,250,,
0002000549,S200,EUR,Z014,DDP,0,,
0002000550,S300,EUR,Z030,FCA,500,,
0002000551,S200,EUR,Z030,EXW,2500,,
0002000552,S300,EUR,Z030,DAP,500,,
0002000553,S300,EUR,Z030,FCA,500,,
0002000554,S100,EUR,0001,DAP,250,,
0002000555,S200,EUR,NT30,DAP,1000,,
0002000555,S300,EUR,Z014,DDP,500,,
0002000556,S300,EUR,NT30,DAP,250,,
0002000556,S100,EUR,Z014,EXW,1000,,
0002000557,S100,EUR,Z014,DDP,500,,
0002000557,S200,EUR,Z030,DAP,0,,
0002000558,S300,EUR,Z030,DAP,250,,
0002000558,S100,EUR,NT30,FCA,0,,
0002000559,S200,EUR,0001,DDP,1000,,
0002000560,S300,EUR,Z014,EXW,250,,
0002000561,S100,EUR,Z014,FCA,0,,
0002000562,S300,EUR,Z014,DAP,1000,,
0002000563,S100,EUR,0001,EXW,0,,
0002000563,S300,EUR,Z014,DDP,500,,
0002000564,S200,EUR,0001,EXW,0,,
0002000565,S200,EUR,NT30,EXW,250,,
0002000566,S300,EUR,Z030,DDP,500,,
0002000567,S300,EUR,NT30,DDP,0,,
0002000568,S300,EUR,Z030,FCA,250,,
0002000569,S200,EUR,0001,DDP,1000,,
0002000570,S300,EUR,0001,DAP,0,,
0002000570,S200,EUR,Z014,DDP,2500,,
0002000571,S100,EUR,NT30,EXW,0,,
0002000572,S300,EUR,Z014,EXW,2500,,
0002000573,S200,EUR,Z030,EXW,2500,,
0002000574,S200,EUR,0001,DDP,1000,,
0002000575,S200,EUR,NT30,FCA,1000,,
0002000576,S300,EUR,0001,FCA,0,,
0002000576,S200,EUR,0001,DAP,1000,,
0002000577,S200,EUR,NT30,FCA,2500,,
0002000578,S300,EUR,0001,FCA,2500,,
0002000579,S200,EUR,0001,FCA,500,,
0002000579,S300,EUR,NT30,FCA,250,,
0002000580,S200,EUR,Z030,EXW,500,,
0002000581,S200,EUR,NT30,FCA,250,,
0002000582,S200,EUR,NT30,DAP,250,,
0002000582,S100,EUR,0001,FCA,2500,,
0002000583,S200,EUR,0001,EXW,250,,
0002000584,S200,EUR,Z014,DAP,1000,,
0002000584,S300,EUR,Z014,FCA,0,,
0002000585,S200,EUR,NT30,FCA,500,,
0002000586,S200,EUR,NT30,EXW,250,,
0002000586,S100,EUR,NT30,EXW,1000,,
0002000587,S200,EUR,0001,DDP,500,,
0002000587,S100,EUR,Z014,EXW,250,,
0002000588,S300,PLN,Z014,FCA,0,,
0002000588,S100,PLN,0001,DAP,0,,
0002000589,S100,EUR,0001,DAP,0,,
0002000590,S300,EUR,Z030,DDP,250,,
0002000591,S300,EUR,0001,EXW,2500,,
0002000591,S200,EUR,NT30,DDP,250,,
0002000592,S100,EUR,0001,EXW,2500,,
0002000593,S200,EUR,NT30,DAP,0,,
0002000593,S100,EUR,0001,DAP,0,,
0002000594,S100,EUR,Z014,DDP,500,,
0002000594,S300,EUR,Z030,DDP,2500,,
0002000595,S100,EUR,0001,FCA,2500,,
0002000596,S300,EUR,Z030,DDP,0,,
0002000596,S100,EUR,NT30,DDP,2500,,
0002000597,S100,EUR,0001,FCA,0,,
0002000598,S200,EUR,0001,FCA,500,,
0002000598,S300,EUR,0001,DAP,0,,
0002000599,S200,EUR,Z030,EXW,0,,
0002000600,S100,EUR,Z030,DAP,0,,
0002000601,S200,EUR,Z030,DAP,0,,
0002000601,S100,EUR,0001,EXW,500,,
0002000602,S300,EUR,NT30,DAP,500,,
0002000603,S100,EUR,0001,EXW,250,,
0002000604,S200,EUR,Z030,DAP,0,,
0002000604,S100,EUR,Z030,DAP,2500,,
0002000605,S300,EUR,0001,DDP,250,,
0002000605,S100,EUR,NT30,DDP,500,,
0002000606,S200,EUR,Z014,FCA,500,,
0002000607,S300,EUR,0001,DAP,500,,
0002000607,S200,EUR,0001,DDP,500,,
0002000608,S300,PLN,Z030,DDP,250,,
0002000609,S100,EUR,Z014,DAP,250,,
0002000610,S300,EUR,Z014,DAP,2500,,
0002000610,S100,EUR,Z030,FCA,0,,
0002000611,S100,EUR,Z030,DAP,250,,
0002000612,S100,EUR,NT30,EXW,1000,,
0002000613,S200,EUR,NT30,DAP,250,,
0002000614,S200,EUR,NT30,EXW,0,,
0002000614,S300,EUR,Z030,FCA,0,,
0002000615,S300,EUR,Z014,DAP,500,,
0002000616,S200,EUR,0001,DDP,500,,
0002000616,S100,EUR,Z014,DDP,0,,
0002000617,S200,EUR,NT30,DAP,250,,
0002000617,S300,EUR,0001,DAP,500,,
0002000618,S300,EUR,Z030,FCA,0,,
0002000619,S100,EUR,NT30,FCA,1000,,
0002000619,S200,EUR,NT30,FCA,500,,
0002000620,S200,EUR,Z030,EXW,0,,
0002000621,S100,EUR,NT30,DDP,500,,
0002000622,S300,EUR,Z030,DAP,0,,
0002000623,S200,EUR,Z030,EXW,1000,,
0002000624,S100,EUR,0001,FCA,500,,
0002000625,S300,CHF,Z014,DDP,250,,
0002000625,S100,CHF,NT30,DAP,2500,,
0002000626,S100,EUR,NT30,EXW,2500,,
0002000626,S200,EUR,Z014,DAP,1000,,
0002000627,S100,EUR,0001,EXW,0,,
0002000628,S100,CHF,NT30,FCA,500,,
0002000629,S100,EUR,Z014,DAP,1000,,
0002000630,S200,EUR,Z030,DAP,0,,
0002000630,S300,EUR,Z014,EXW,1000,,
0002000631,S100,PLN,NT30,DAP,0,,
0002000632,S300,EUR,NT30,FCA,250,,
0002000632,S100,EUR,Z014,DAP,0,,
0002000633,S200,EUR,0001,FCA,500,,
0002000634,S100,EUR,NT30,FCA,0,,
0002000635,S100,EUR,0001,DDP,0,,
0002000636,S200,CHF,0001,EXW,500,,
0002000637,S300,EUR,Z030,FCA,500,,
0002000638,S100,EUR,Z014,EXW,0,,
0002000639,S300,EUR,0001,DAP,500,,
0002000639,S100,EUR,Z014,DDP,2500,,
0002000640,S100,EUR,Z014,DAP,500,,
0002000640,S200,EUR,NT30,DDP,250,,
0002000641,S200,EUR,0001,EXW,250,,
0002000642,S200,EUR,0001,DDP,0,,
0002000643,S200,EUR,NT30,EXW,250,,
0002000644,S300,EUR,NT30,DDP,250,,
0002000645,S300,EUR,NT30,DAP,250,,
0002000645,S100,EUR,Z030,EXW,1000,,
0002000646,S300,EUR,Z030,DDP,1000,,
0002000647,S300,EUR,0001,FCA,0,,
0002000647,S100,EUR,Z030,FCA,1000,,
0002000648,S100,EUR,Z014,DDP,2500,,
0002000648,S200,EUR,NT30,FCA,1000,,
0002000649,S200,EUR,Z014,FCA,500,,
0002000650,S200,EUR,NT30,EXW,250,,
0002000650,S300,EUR,NT30,DAP,250,,
0002000651,S200,EUR,Z014,DAP,250,,
0002000651,S100,EUR,0001,EXW,250,,
0002000652,S300,EUR,Z014,DAP,0,,
0002000652,S200,EUR,Z014,FCA,500,,
0002000653,S200,EUR,0001,DAP,2500,,
0002000654,S100,EUR,Z030,DAP,0,,
0002000655,S200,EUR,Z014,DAP,2500,,
0002000655,S300,EUR,NT30,FCA,250,,
0002000656,S100,EUR,Z030,EXW,250,,
0002000657,S300,EUR,NT30,FCA,250,,
0002000657,S200,EUR,Z030,FCA,1000,,
0002000658,S200,EUR,NT30,FCA,500,,
0002000659,S300,EUR,NT30,DAP,250,,
0002000660,S100,EUR,Z030,EXW,0,,
0002000660,S200,EUR,0001,DAP,500,,
0002000661,S100,EUR,0001,EXW,1000,,
0002000661,S200,EUR,Z014,FCA,0,,
0002000662,S100,EUR,Z014,FCA,0,,
0002000663,S200,EUR,Z030,DDP,1000,,
0002000663,S100,EUR,NT30,DDP,500,,
0002000664,S300,EUR,Z014,FCA,500,,
0002000665,S100,EUR,Z014,FCA,2500,,
0002000665,S300,EUR,NT30,EXW,250,,
0002000666,S200,EUR,Z014,FCA,500,,
0002000667,S200,EUR,0001,DDP,0,,
0002000668,S200,EUR,0001,DDP,500,,
0002000668,S300,EUR,Z014,DDP,1000,,
0002000669,S100,EUR,Z014,DAP,2500,,
0002000670,S100,EUR,Z014,DAP,2500,,
0002000671,S100,EUR,Z014,FCA,1000,,
0002000672,S100,EUR,Z014,FCA,0,,
0002000673,S100,EUR,Z030,EXW,250,,
0002000673,S300,EUR,0001,FCA,0,,
0002000674,S100,EUR,0001,DAP,250,,
0002000675,S200,EUR,Z014,EXW,0,,
0002000676,S100,EUR,0001,FCA,0,,
0002000677,S300,EUR,NT30,EXW,1000,,
0002000678,S300,EUR,Z014,FCA,1000,,
0002000679,S200,EUR,NT30,DDP,250,,
0002000680,S200,EUR,Z014,FCA,2500,,
0002000681,S200,EUR,NT30,FCA,0,,
0002000682,S100,EUR,NT30,EXW,1000,,
0002000683,S100,EUR,0001,DAP,0,,
0002000684,S300,EUR,0001,DDP,500,,
0002000685,S100,EUR,Z014,DDP,500,,
0002000685,S300,EUR,Z014,EXW,2500,,
0002000686,S100,EUR,NT30,EXW,0,,
0002000687,S100,EUR,NT30,DAP,2500,,
0002000687,S300,EUR,0001,DAP,250,,
0002000688,S300,EUR,Z014,DDP,0,,
0002000689,S100,EUR,Z030,FCA,250,,
0002000690,S200,EUR,0001,DAP,250,,
0002000691,S200,EUR,NT30,DAP,2500,,
0002000692,S100,EUR,Z030,DAP,2500,,
0002000693,S100,PLN,NT30,DDP,250,,
0002000693,S300,PLN,0001,DDP,2500,,
0002000694,S300,EUR,Z030,DAP,0,,
0002000695,S300,EUR,Z030,DAP,2500,,
0002000696,S100,EUR,Z014,FCA,250,,
0002000697,S200,EUR,0001,DAP,0,,
0002000697,S100,EUR,NT30,EXW,250,,
0002000698,S300,EUR,0001,DDP,0,,
0002000699,S200,EUR,0001,DDP,500,,
0002000699,S300,EUR,0001,DDP,0,,
0002000700,S200,EUR,NT30,DDP,0,,
0002000700,S300,EUR,0001,EXW,1000,,
0002000701,S300,EUR,Z014,DDP,2500,,
0002000701,S200,EUR,Z014,DDP,1000,,
0002000702,S300,EUR,Z014,DAP,500,,
0002000703,S100,EUR,Z030,DAP,250,,
0002000704,S100,EUR,0001,DAP,0,,
0002000704,S200,EUR,NT30,DDP,1000,,
0002000705,S300,EUR,Z030,DAP,2500,,
0002000705,S200,EUR,Z014,DDP,0,,
0002000706,S200,EUR,0001,DAP,0,,
0002000706,S300,EUR,Z014,DAP,0,,
0002000707,S100,EUR,Z030,DDP,2500,,
0002000707,S300,EUR,Z014,DDP,0,,
0002000708,S100,EUR,NT30,FCA,0,,
0002000709,S200,EUR,Z030,DAP,1000,,
0002000710,S100,EUR,NT30,DAP,0,,
0002000710,S200,EUR,0001,DAP,2500,,
0002000711,S300,EUR,Z030,DAP,2500,,
0002000712,S100,EUR,NT30,DAP,500,,
0002000713,S300,CHF,Z030,DDP,0,,
0002000714,S200,EUR,Z030,EXW,1000,,
0002000715,S300,PLN,0001,DAP,500,,
0002000716,S100,EUR,NT30,DAP,0,,
0002000716,S300,EUR,Z014,DDP,0,,
0002000717,S200,EUR,0001,DAP,500,,
0002000718,S200,EUR,Z030,DAP,1000,,
0002000719,S200,EUR,Z014,DAP,0,,
0002000720,S300,EUR,Z030,DDP,1000,,
0002000721,S100,EUR,NT30,FCA,500,,
0002000721,S200,EUR,Z014,DAP,2500,,
0002000722,S100,EUR,Z030,FCA,0,,
0002000723,S200,EUR,0001,EXW,1000,,
0002000723,S300,EUR,NT30,DAP,250,,
0002000724,S300,EUR,0001,FCA,1000,,
0002000724,S100,EUR,Z030,DDP,0,,
0002000725,S100,EUR,NT30,FCA,0,,
0002000726,S200,EUR,Z030,DDP,1000,,
0002000727,S100,EUR,Z030,DDP,1000,,
0002000727,S200,EUR,0001,EXW,1000,,
0002000728,S100,EUR,NT30,DDP,500,,
0002000729,S200,EUR,0001,EXW,0,,
0002000730,S200,EUR,0001,DDP,2500,,
0002000730,S100,EUR,Z030,FCA,0,,
0002000731,S300,EUR,0001,DDP,1000,,
0002000731,S100,EUR,NT30,EXW,2500,,
0002000732,S200,EUR,NT30,DAP,250,,
0002000733,S300,EUR,NT30,DAP,250,,
0002000734,S300,CHF,NT30,DAP,500,,
0002000735,S300,EUR,Z030,DDP,2500,,
0002000735,S200,EUR,Z014,FCA,500,,
0002000736,S200,EUR,Z014,DAP,2500,,
0002000737,S300,EUR,Z014,FCA,1000,,
0002000737,S200,EUR,0001,EXW,0,,
0002000738,S200,PLN,Z014,FCA,0,,
0002000738,S100,PLN,NT30,DDP,500,,
0002000739,S300,EUR,0001,EXW,0,,
0002000740,S100,EUR,0001,FCA,500,,
0002000741,S200,EUR,0001,DDP,2500,,
0002000742,S200,EUR,0001,FCA,0,,
0002000743,S300,EUR,Z030,DAP,0,,
0002000743,S200,EUR,Z014,EXW,0,,
0002000744,S200,EUR,Z014,DDP,500,,
0002000744,S300,EUR,Z014,DAP,1000,,
0002000745,S200,PLN,Z014,FCA,2500,,
0002000745,S100,PLN,Z014,EXW,0,,
0002000746,S300,EUR,0001,DDP,2500,,
0002000747,S100,EUR,0001,EXW,500,,
0002000748,S300,EUR,0001,EXW,0,,
0002000748,S100,EUR,0001,DAP,0,,
0002000749,S100,EUR,Z014,DDP,0,,
0002000750,S100,EUR,NT30,DAP,1000,,
0002000751,S200,EUR,Z030,FCA,0,,
0002000751,S100,EUR,NT30,DAP,250,,
0002000752,S200,EUR,0001,DAP,250,,
0002000753,S200,EUR,NT30,DAP,0,,
0002000754,S100,EUR,Z014,DDP,0,,
0002000754,S300,EUR,NT30,DDP,500,,
0002000755,S300,EUR,Z030,DAP,500,,
0002000756,S100,EUR,Z014,DAP,2500,,
0002000757,S100,EUR,0001,DAP,2500,,
0002000758,S200,EUR,Z014,EXW,1000,,
0002000759,S100,EUR,0001,FCA,0,,
0002000760,S300,EUR,Z030,DDP,0,,
0002000760,S100,EUR,Z030,DDP,0,,
0002000761,S100,EUR,0001,EXW,0,,
0002000761,S300,EUR,NT30,EXW,500,,
0002000762,S200,EUR,0001,FCA,2500,,
0002000762,S300,EUR,Z014,DDP,0,,
0002000763,S300,EUR,0001,DDP,0,,
0002000764,S100,EUR,0001,DDP,2500,,
0002000765,S300,EUR,Z030,DAP,0,,
0002000766,S200,EUR,NT30,DAP,1000,,
0002000766,S300,EUR,Z014,EXW,2500,,
0002000767,S300,CHF,NT30,FCA,250,,
0002000768,S300,EUR,Z014,DAP,250,,
0002000768,S100,EUR,Z014,DAP,2500,,
0002000769,S300,EUR,Z014,DDP,500,,
0002000770,S300,EUR,0001,EXW,2500,,
0002000770,S200,EUR,Z014,FCA,0,,
0002000771,S100,EUR,0001,DAP,1000,,
0002000772,S300,CHF,Z030,DAP,2500,,
0002000773,S200,EUR,0001,DDP,2500,,
0002000773,S100,EUR,Z014,EXW,2500,,
0002000774,S100,EUR,Z030,DDP,0,,
0002000774,S300,EUR,Z014,FCA,250,,
0002000775,S200,EUR,NT30,DDP,1000,,
0002000776,S200,EUR,Z014,DDP,2500,,
0002000776,S100,EUR,0001,FCA,0,,
0002000777,S300,PLN,Z030,DAP,500,,
0002000777,S200,PLN,0001,EXW,500,,
0002000778,S100,CHF,Z014,FCA,0,,
0002000779,S300,EUR,Z030,EXW,2500,,
0002000780,S100,PLN,0001,DAP,0,,
0002000781,S300,EUR,Z030,FCA,2500,,
0002000782,S100,EUR,NT30,DDP,0,,
0002000783,S300,EUR,NT30,DDP,0,,
0002000784,S300,EUR,Z014,DAP,0,,
0002000785,S300,EUR,0001,EXW,1000,,
0002000786,S300,EUR,Z030,EXW,1000,,
0002000787,S300,EUR,0001,FCA,500,,
0002000787,S200,EUR,NT30,FCA,2500,,
0002000788,S200,EUR,NT30,DDP,250,,
0002000788,S300,EUR,0001,EXW,2500,,
0002000789,S300,EUR,Z014,EXW,0,,
0002000790,S200,EUR,Z014,EXW,250,,
0002000791,S100,EUR,Z014,DDP,0,,
0002000792,S100,EUR,Z014,EXW,1000,,
0002000793,S100,EUR,Z030,DDP,500,,
0002000793,S300,EUR,Z030,DDP,0,,
0002000794,S100,EUR,Z030,EXW,0,,
0002000795,S200,EUR,Z030,DAP,0,,
0002000795,S300,EUR,NT30,DAP,0,,
0002000796,S100,EUR,NT30,FCA,0,,
0002000797,S100,EUR,NT30,EXW,0,,
0002000798,S100,EUR,NT30,FCA,1000,,
0002000799,S300,EUR,0001,DDP,0,,
0002000799,S100,EUR,Z014,FCA,2500,,
0002000800,S100,CHF,Z014,EXW,0,,
0002000801,S100,EUR,Z014,EXW,0,,
0002000801,S200,EUR,Z014,EXW,500,,
0002000802,S200,EUR,NT30,DAP,0,,
0002000803,S300,EUR,Z014,FCA,0,,
0002000804,S300,EUR,Z030,DDP,2500,,
0002000805,S300,EUR,Z030,DDP,1000,,
0002000806,S100,EUR,0001,FCA,0,,
0002000806,S200,EUR,Z030,DAP,0,,
0002000807,S100,EUR,Z030,DDP,0,,
0002000807,S200,EUR,NT30,EXW,2500,,
0002000808,S300,EUR,Z030,DAP,0,,
0002000809,S100,EUR,0001,DDP,0,,
0002000810,S100,EUR,Z030,EXW,250,,
0002000810,S300,EUR,NT30,FCA,0,,
0002000811,S300,EUR,NT30,DAP,2500,,
0002000812,S100,EUR,0001,DDP,1000,,
0002000812,S300,EUR,NT30,EXW,250,,
0002000813,S100,EUR,NT30,EXW,2500,,
0002000814,S100,EUR,Z030,FCA,2500,,
0002000814,S300,EUR,Z030,FCA,0,,
0002000815,S300,EUR,Z014,DDP,0,,
0002000816,S200,EUR,Z030,FCA,500,,
0002000817,S200,EUR,Z014,EXW,500,,
0002000818,S300,EUR,0001,EXW,0,,
0002000819,S300,EUR,0001,DAP,250,,
0002000820,S200,EUR,Z014,DAP,1000,,
0002000821,S200,CHF,Z014,FCA,250,,
0002000822,S200,EUR,Z030,DDP,0,,
0002000823,S300,EUR,NT30,DAP,2500,,
0002000823,S200,EUR,Z030,EXW,1000,,
0002000824,S200,EUR,Z030,EXW,500,,
0002000824,S100,EUR,Z014,DDP,500,,
0002000825,S100,CHF,NT30,DDP,0,,
0002000826,S300,CHF,NT30,DDP,2500,,
0002000827,S100,EUR,NT30,DDP,0,,
0002000827,S200,EUR,Z014,EXW,0,,
0002000828,S200,EUR,0001,EXW,0,,
0002000828,S300,EUR,Z014,EXW,2500,,
0002000829,S200,EUR,Z014,DDP,250,,
0002000829,S300,EUR,Z014,EXW,0,,
0002000830,S300,EUR,Z030,DDP,0,,
0002000831,S200,EUR,Z030,DAP,2500,,
0002000831,S300,EUR,0001,FCA,0,,
0002000832,S300,EUR,Z030,DAP,0,,
0002000833,S200,EUR,Z030,DDP,500,,
0002000834,S300,EUR,Z014,FCA,0,,
0002000834,S100,EUR,Z030,FCA,1000,,
0002000835,S200,EUR,Z014,DAP,500,,
0002000835,S300,EUR,NT30,DAP,500,,
0002000836,S300,EUR,0001,DAP,250,,
0002000837,S300,EUR,NT30,DDP,500,,
0002000837,S200,EUR,Z030,DDP,500,,
0002000838,S200,EUR,Z030,DDP,0,,
0002000839,S300,EUR,Z030,DDP,0,,
0002000840,S100,EUR,0001,DAP,0,,
0002000841,S300,EUR,0001,DDP,2500,,
0002000842,S300,EUR,NT30,DAP,1000,,
0002000843,S100,EUR,0001,FCA,250,,
0002000844,S300,EUR,Z014,FCA,250,,
0002000844,S100,EUR,Z030,EXW,250,,
0002000845,S100,PLN,NT30,FCA,0,,
0002000846,S100,EUR,Z030,DAP,0,,
0002000847,S100,CHF,Z014,FCA,2500,,
0002000848,S100,EUR,0001,DAP,250,,
0002000849,S100,EUR,Z014,DDP,250,,
0002000850,S300,EUR,NT30,EXW,1000,,
0002000851,S200,EUR,NT30,DDP,0,,
0002000851,S300,EUR,Z014,EXW,2500,,
0002000852,S200,EUR,NT30,DDP,500,,
0002000853,S300,EUR,Z014,DAP,2500,,
0002000854,S300,EUR,Z014,EXW,0,,
0002000855,S200,EUR,0001,DDP,500,,
0002000856,S200,EUR,NT30,DAP,1000,,
0002000857,S200,EUR,NT30,FCA,250,,
0002000857,S300,EUR,0001,DAP,2500,,
0002000858,S100,EUR,Z030,DAP,500,,
0002000858,S300,EUR,NT30,EXW,1000,,
0002000859,S200,EUR,Z030,DDP,2500,,
0002000860,S300,EUR,0001,DAP,2500,,
0002000861,S200,EUR,Z014,FCA,0,,
0002000862,S100,EUR,Z014,FCA,0,,
0002000862,S200,EUR,NT30,DDP,0,,
0002000863,S100,EUR,Z014,EXW,250,,
0002000863,S200,EUR,NT30,DAP,500,,
0002000864,S300,EUR,0001,FCA,250,,
0002000865,S300,EUR,0001,DDP,2500,,
0002000866,S100,EUR,Z014,EXW,1000,,
0002000867,S200,EUR,Z014,DDP,0,,
0002000868,S300,EUR,Z014,FCA,250,,
0002000869,S100,EUR,Z014,DDP,1000,,
0002000870,S100,PLN,NT30,EXW,0,,
0002000871,S200,EUR,Z014,DAP,2500,,
0002000871,S100,EUR,Z014,EXW,0,,
0002000872,S100,CHF,0001,EXW,250,,
0002000872,S300,CHF,Z030,FCA,1000,,
0002000873,S200,EUR,Z014,DDP,250,,
0002000873,S100,EUR,Z014,DAP,250,,
0002000874,S200,EUR,Z030,EXW,0,,
0002000875,S300,EUR,Z014,DDP,0,,
0002000876,S200,CHF,Z014,DAP,2500,,
0002000877,S100,EUR,0001,FCA,1000,,
0002000878,S300,EUR,Z014,DDP,250,,
0002000878,S100,EUR,Z014,FCA,250,,
0002000879,S100,EUR,Z014,DDP,0,,
0002000880,S200,EUR,Z030,FCA,2500,,
